dates,nzd0502-0000,nzd0502-0001,nzd0502-0002,nzd0502-0003,nzd0502-0004,nzd0502-0005,nzd0502-0006,nzd0502-0007,nzd0502-0008,nzd0502-0009,nzd0502-0010,nzd0502-0011,nzd0502-0012,nzd0502-0013,nzd0502-0014,nzd0502-0015,nzd0502-0016,nzd0502-0017,nzd0502-0018,nzd0502-0019,nzd0502-0020,nzd0502-0021,nzd0502-0022,nzd0502-0023,nzd0502-0024,nzd0502-0025,nzd0502-0026,satname
1999-08-26 22:07:32+00:00,,,,,,,288.38,,,309.33,225.11,,,288.35,271.92,314.93,293.79,302.78,309.71,321.07,314.43,320.51,319.15,318.0,319.61,319.96,317.7,L7
2000-05-08 22:06:44+00:00,,,,,,,,,,,264.92,295.72,299.71,288.33,280.92,315.98,294.26,312.82,316.24,324.11,322.21,320.6,323.84,322.95,326.58,327.73,328.91,L7
2000-06-25 22:06:19+00:00,,,,,,,,,,320.36,280.655,298.86,303.195,298.435,286.185,316.82500000000005,295.515,311.03,315.03,321.27,322.13,323.925,323.84,323.685,322.99,325.925,325.26,L7
2000-07-11 22:06:05+00:00,,,,,,,266.44,,,320.36,280.655,298.86,303.195,298.435,286.185,316.82500000000005,289.0733333333333,311.03,315.03,321.27,322.13,323.925,323.84,323.685,322.99,325.925,325.26,L7
2000-09-20 22:11:14+00:00,,,,,,,266.44,,350.25,320.36,280.655,295.05333333333334,300.83,293.44666666666666,282.40000000000003,319.86333333333334,291.195,313.7133333333333,315.9766666666667,319.99666666666667,320.4166666666667,320.82666666666665,321.16999999999996,322.12,324.46,328.14000000000004,325.26,L7
2000-12-18 22:05:01+00:00,,329.82,,319.29,313.74,,287.88,322.08,342.52,308.21500000000003,273.365,291.48333333333335,298.27,290.81,283.14,321.805,290.17333333333335,314.15999999999997,315.845,317.94,315.1566666666667,310.9166666666667,313.11,318.77333333333337,319.6566666666667,325.73333333333335,308.275,L7
2001-04-09 22:04:41+00:00,,329.82,,319.29,313.74,292.13,295.635,337.47,334.79,296.35,257.38,290.055,296.985,286.385,283.21,314.82,293.39,315.42,317.05,324.95,313.65999999999997,305.86,314.47,316.14,315.85,322.04999999999995,307.66499999999996,L7
2001-06-28 22:03:56+00:00,,,,,314.59,308.62,278.375,352.86,347.4,298.14,266.235,295.39,300.05,293.67,284.015,313.5,290.42499999999995,295.94500000000005,311.69,324.95,320.89,320.85,320.9,315.44,320.2,323.575,320.39,L7
2001-07-14 22:03:57+00:00,,,,,314.59,308.62,278.375,352.86,347.4,299.8233333333333,267.27,296.1166666666667,301.26,293.8066666666667,285.99666666666667,314.53,290.6266666666666,299.3433333333333,313.75333333333333,324.95,320.89,320.85,320.9,315.44,320.2,323.575,313.33,L7
2001-08-15 22:03:26+00:00,331.25,,,,314.59,308.62,274.31,352.86,347.4,299.8233333333333,267.27,296.1166666666667,301.26,293.8066666666667,285.99666666666667,314.53,289.6725,299.18,311.695,317.15,315.245,316.71000000000004,319.06333333333333,314.40000000000003,317.87333333333333,322.71666666666664,313.1066666666666,L7
