dates,satname,nzd0503-0000,nzd0503-0001,nzd0503-0002,nzd0503-0003,nzd0503-0004,nzd0503-0005
1999-08-26 22:07:32.686000,L7,203.44,200.90,256.41,200.98,233.23,160.83
1999-12-16 22:07:33.708000,L7,,206.19,241.06,243.34,239.19,251.82
2000-05-08 22:06:44.900000,L7,204.17,188.30,256.03,252.06,257.28,264.82
2000-06-25 22:06:19.852000,L7,192.15,159.91,,210.91,255.01,262.37
2000-07-11 22:06:05.496000,L7,,,,,,165.41
2000-12-18 22:05:01.704000,L7,318.38,236.94,258.21,254.45,152.92,243.58
2001-01-03 22:05:00.181000,L7,248.85,234.75,212.74,,,241.57
2001-02-20 22:05:00.525000,L7,393.83,387.95,377.53,377.81,260.51,460.49
2001-04-09 22:04:41.882000,L7,206.32,223.51,268.69,264.67,244.21,255.73
2001-06-28 22:03:56.771000,L7,170.42,174.99,,254.08,157.94,166.90
2001-07-14 22:03:57.537000,L7,185.76,171.81,130.63,236.30,234.53,244.69
2001-08-15 22:03:26.328000,L7,188.68,179.10,248.33,225.84,,167.43
2001-10-02 22:02:52.358000,L7,339.24,371.21,286.76,366.30,371.72,370.55
2001-11-03 22:02:58.699000,L7,499.18,290.06,300.69,302.54,305.99,443.63
2002-02-23 22:03:31.354000,L7,310.92,314.31,316.33,314.07,327.27,333.58
2002-03-11 22:03:31.366000,L7,215.74,223.26,169.04,226.69,204.85,180.49
2002-04-12 22:03:25.302000,L7,219.59,522.61,471.34,429.42,393.80,406.55
2002-06-15 22:03:07.576000,L7,,,,181.37,241.07,248.62
2002-12-08 22:02:51.522000,L7,437.03,299.34,294.53,292.00,292.68,424.25
2002-12-24 22:02:57.022000,L7,357.56,354.43,342.12,339.57,333.34,335.81
2003-08-29 21:51:49.928000,L5,,,281.20,281.32,281.26,248.05
2003-09-30 21:52:18.101000,L5,263.17,265.53,281.23,286.51,279.30,261.47
2003-11-17 21:52:57.120000,L5,347.88,330.43,342.40,347.86,347.21,340.27
2004-06-12 21:55:59.429000,L5,181.22,163.70,131.72,267.33,277.42,283.13
2004-07-14 21:56:54.881000,L5,256.69,185.86,193.95,283.35,285.02,292.65
2004-07-30 21:57:15.668000,L5,190.69,168.48,275.58,281.06,282.22,290.46
2004-10-18 21:59:11.702000,L5,302.95,289.11,301.57,308.03,301.81,313.60
2005-02-07 22:01:03.020000,L5,270.46,261.21,274.71,256.92,255.07,251.89
2005-03-11 22:01:31.683000,L5,251.26,253.60,269.95,270.69,267.45,267.75
2005-04-12 22:01:42.862000,L5,398.99,344.93,328.28,327.56,339.96,325.68
2005-05-14 22:01:54.308000,L5,179.68,167.66,241.76,257.96,263.52,272.14
2005-09-19 22:02:44.739000,L5,331.06,297.34,307.69,327.05,301.88,305.25
2005-10-05 22:02:41.026000,L5,302.62,291.77,306.06,310.96,306.28,310.53
2005-11-06 22:02:46.848000,L5,253.29,234.35,244.27,251.68,256.02,254.54
2006-02-26 22:05:22.928000,L5,313.74,303.26,316.56,310.75,302.45,305.26
2006-03-14 22:05:42.635000,L5,300.23,299.39,309.72,312.00,294.96,293.34
2006-04-15 22:06:18.610000,L5,195.78,188.70,270.99,276.53,275.61,270.32
2006-11-25 22:09:07.763000,L5,289.04,258.14,277.11,276.83,275.79,280.26
2006-12-11 22:09:16.015000,L5,285.18,260.65,278.08,272.96,272.54,256.24
2008-11-14 21:57:52.281000,L5,329.15,282.62,304.31,310.03,313.77,303.34
2009-01-17 21:59:44.398000,L5,286.28,262.66,281.41,284.28,280.59,260.38
2010-02-05 22:05:29.575000,L5,300.56,274.57,293.95,299.15,295.82,278.94
2010-12-22 22:04:29.137000,L5,315.13,278.35,297.56,301.31,298.05,276.65
2011-02-08 22:04:35.159000,L5,277.81,260.17,278.60,280.97,277.39,274.45
2011-03-12 22:04:31.079000,L5,267.95,262.29,283.43,282.12,282.82,269.36
2013-06-05 22:16:38.960000,L8,205.68,157.32,,272.74,278.79,277.48
2013-07-07 22:16:35.929000,L8,,,,279.13,285.95,309.34
2013-07-23 22:16:34.633000,L8,209.31,190.46,236.20,287.34,288.48,316.09
2013-08-08 22:16:37.441000,L8,210.20,194.44,268.46,283.00,284.95,304.25
2013-09-25 22:16:28.938000,L8,267.51,261.17,272.93,281.38,285.37,289.25
2013-10-11 22:16:29.291000,L8,257.86,270.70,279.50,281.09,289.16,299.16
2013-10-27 22:16:19.549000,L8,313.21,285.26,331.31,308.21,297.28,297.34
2013-12-30 22:16:01.055000,L8,260.95,250.55,265.43,267.58,270.42,262.31
2014-02-23 22:21:32.043000,L8,254.45,266.19,276.75,282.43,282.22,283.32
2014-03-11 22:21:19.920000,L8,242.26,257.34,269.80,273.47,274.19,270.70
2014-03-20 22:15:01.497000,L8,233.64,258.08,268.01,272.91,275.58,269.40
2014-04-21 22:14:29.865000,L8,201.18,210.93,271.91,273.81,277.41,277.83
2014-08-11 22:14:39.696000,L8,203.29,190.32,270.00,275.28,277.94,281.56
2014-09-28 22:14:44.621000,L8,238.19,257.37,269.13,269.95,272.45,273.97
2014-11-15 22:14:49.314000,L8,260.85,260.87,269.46,269.77,272.73,274.39
2015-02-10 22:20:38.674000,L8,250.33,251.64,264.82,264.40,267.15,265.91
2015-06-11 22:13:52.284000,L8,231.35,259.88,280.65,286.79,298.45,308.56
2015-06-27 22:13:58.027000,L8,222.09,181.91,182.24,271.23,285.73,316.60
2015-07-29 22:14:13.585000,L8,204.62,176.55,195.73,265.28,270.76,275.34
