dates,satname,nzd0506-0000,nzd0506-0001,nzd0506-0002,nzd0506-0003,nzd0506-0004,nzd0506-0005,nzd0506-0006,nzd0506-0007,nzd0506-0008,nzd0506-0009,nzd0506-0010,nzd0506-0011,nzd0506-0012,nzd0506-0013,nzd0506-0014,nzd0506-0015,nzd0506-0016,nzd0506-0017,nzd0506-0018,nzd0506-0019,nzd0506-0020,nzd0506-0021,nzd0506-0022,nzd0506-0023,nzd0506-0024,nzd0506-0025,nzd0506-0026,nzd0506-0044,nzd0506-0045,nzd0506-0046,nzd0506-0027,nzd0506-0028,nzd0506-0029,nzd0506-0030,nzd0506-0031,nzd0506-0032,nzd0506-0033,nzd0506-0034,nzd0506-0035,nzd0506-0036,nzd0506-0037,nzd0506-0038,nzd0506-0039,nzd0506-0040,nzd0506-0041,nzd0506-0042,nzd0506-0043
2000-12-18 22:05:01.704000,L7,281.49,280.09,275.54,337.43,348.66,338.74,312.62,306.03,307.61,321.62,318.06,324.05,330.74,328.67,322.06,324.04,309.92,329.23,309.38,335.20,314.17,281.33,296.65,300.51,304.32,309.97,304.83,33.71,63.46,194.15,,,,,,,,,,,,,,,,,
2001-01-03 22:05:00.181000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,263.02,137.62,231.66,228.50,271.33,275.68,280.01,285.89,287.10,292.70,288.86,284.95,282.44,286.28,281.91,283.76,274.09,,,,
2001-02-20 22:05:00.525000,L7,311.36,316.94,307.95,303.39,297.18,297.87,301.43,304.50,309.04,317.54,325.98,329.52,319.17,319.58,323.02,321.10,329.22,322.60,326.23,319.69,315.31,267.52,271.65,277.04,278.63,280.37,281.47,289.48,272.48,183.09,284.49,291.73,298.47,303.65,305.56,303.90,303.03,297.58,302.08,304.22,304.96,305.13,304.78,303.78,300.11,304.20,298.43
2001-11-03 22:02:58.699000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.60,,,,,,,,,,,,,,,,,,,123.21
2002-03-11 22:03:31.366000,L7,313.92,339.36,352.07,347.81,279.66,276.64,283.76,296.08,289.70,297.40,372.65,369.59,373.20,339.35,330.91,337.79,348.80,352.48,356.82,365.38,370.15,265.98,269.33,274.50,279.29,276.66,278.79,394.11,267.88,225.48,278.45,283.91,282.14,286.97,286.59,297.08,296.89,292.41,295.80,298.32,393.70,405.29,379.69,378.00,377.48,391.89,396.95
2002-11-22 22:02:45.529000,L7,,,,354.08,354.52,343.42,308.36,340.21,351.40,361.86,357.43,360.36,356.73,,,336.29,344.48,340.59,341.04,344.37,333.66,321.70,352.44,348.58,362.77,356.27,367.75,285.47,270.26,191.71,357.86,350.99,340.68,336.65,343.66,354.50,374.91,362.78,357.63,351.20,293.25,290.26,288.86,289.65,293.31,289.85,285.50
2002-12-24 22:02:57.022000,L7,297.15,298.70,306.34,301.88,295.47,245.78,291.99,295.49,292.15,297.67,299.45,298.85,300.56,291.81,360.34,388.49,386.17,336.78,385.09,286.42,296.05,297.91,302.48,300.93,304.86,302.76,304.26,290.16,339.29,375.38,277.21,305.63,303.89,300.92,303.56,310.08,317.15,312.72,321.06,318.42,322.75,315.25,305.71,,,310.29,323.05
2003-09-30 21:52:18.101000,L5,295.07,294.46,291.40,289.70,289.92,287.51,287.41,288.31,292.91,298.58,300.88,300.02,301.22,297.73,305.54,301.94,305.69,304.83,308.14,306.71,312.63,320.40,324.73,338.56,329.52,321.42,326.71,99.24,117.36,164.75,331.01,330.90,327.01,322.10,329.82,339.95,340.14,338.26,338.13,337.86,340.72,336.65,331.43,328.80,330.58,323.09,315.26
2003-11-17 21:52:57.120000,L5,319.34,311.96,292.29,284.60,277.11,280.60,281.26,283.52,287.88,316.86,326.64,322.43,319.41,335.74,334.35,335.42,310.88,315.91,315.45,319.31,320.68,331.12,327.40,354.51,367.76,369.75,360.20,346.24,333.56,346.13,352.79,353.32,355.07,345.07,344.87,347.86,347.73,341.44,330.61,336.28,353.80,359.37,357.25,357.32,351.20,343.53,338.02
2004-01-20 21:53:24.777000,L5,253.96,276.30,295.98,293.41,303.45,281.44,288.03,282.63,275.90,272.33,276.16,273.08,357.76,316.84,287.66,294.57,294.85,299.26,295.18,296.66,303.15,309.59,301.33,316.73,386.91,398.35,389.44,317.27,306.45,321.37,336.07,310.60,326.67,341.13,332.16,331.30,335.93,334.72,331.08,322.43,321.01,319.53,320.21,319.31,318.82,315.16,315.50
