dates,nzd0506-0000,nzd0506-0001,nzd0506-0002,nzd0506-0003,nzd0506-0004,nzd0506-0005,nzd0506-0006,nzd0506-0007,nzd0506-0008,nzd0506-0009,nzd0506-0010,nzd0506-0011,nzd0506-0012,nzd0506-0013,nzd0506-0014,nzd0506-0015,nzd0506-0016,nzd0506-0017,nzd0506-0019,nzd0506-0020,nzd0506-0021,nzd0506-0022,nzd0506-0023,nzd0506-0024,nzd0506-0025,nzd0506-0026,nzd0506-0027,nzd0506-0028,nzd0506-0029,nzd0506-0030,nzd0506-0031,nzd0506-0032,nzd0506-0033,nzd0506-0034,nzd0506-0035,nzd0506-0036,nzd0506-0037,nzd0506-0038,nzd0506-0039,nzd0506-0040,nzd0506-0041,nzd0506-0042,nzd0506-0043,nzd0506-0044,nzd0506-0045,nzd0506-0018,nzd0506-0046
2004-06-12 21:55:59+00:00,,,,264.77,259.11,,256.69,260.48,,,262.93,,260.99,272.35,264.19,264.14,,,,,,,,,,,,,,,,309.16,,303.28,,,,295.78,294.13,298.33,299.31,298.17,285.16,,,,
2004-10-18 21:59:11+00:00,,285.29,297.87,283.09000000000003,278.515,298.0,276.65999999999997,280.48,297.64,304.05,280.565,294.2,279.695,286.22,281.755,281.99,303.15,306.74,308.72,310.24,313.81,320.66,317.71,314.35,319.58,317.22,321.87,323.46,325.6,334.0,336.54,326.99,342.87,303.28,340.45,340.46,338.76,315.335,311.375,313.29999999999995,314.405,311.185,302.025,314.14,314.63,310.18,324.88
2005-01-22 22:00:50+00:00,326.8,283.005,292.995,295.11,300.015,299.565,298.08500000000004,301.125,302.435,306.015,302.955,294.34000000000003,298.315,299.12,299.225,297.42999999999995,299.67499999999995,303.78999999999996,313.165,314.43,317.735,323.68,323.55499999999995,320.76,318.235,317.19000000000005,318.985,321.91499999999996,325.15,329.505,332.485,344.82,342.87,,340.45,340.46,338.76,338.645,330.31,327.06,327.01,323.195,318.94,317.195,315.825,312.105,323.95
2005-02-07 22:01:03+00:00,319.08000000000004,280.9166666666667,290.8866666666667,292.0133333333333,294.48333333333335,292.9433333333333,293.23,302.8666666666667,304.62666666666667,308.31666666666666,305.96,299.6066666666666,302.8666666666667,303.95,296.30333333333334,294.50666666666666,296.5133333333333,300.4766666666667,307.12,308.16,318.2,324.25333333333333,325.6233333333333,323.23333333333335,321.76,321.29,321.34,319.21999999999997,323.5466666666667,325.8966666666667,329.28000000000003,336.16499999999996,335.365,325.82,342.18,342.745,342.71500000000003,340.72666666666663,334.75666666666666,331.15333333333336,331.09,322.6766666666667,317.66,314.37666666666667,313.31333333333333,306.42333333333335,322.43
2005-05-14 22:01:54+00:00,319.08000000000004,278.73,287.39500000000004,276.9866666666666,280.21,280.3666666666666,279.87666666666667,290.5233333333333,308.12,310.45000000000005,309.84000000000003,302.30999999999995,305.1,305.88,282.51666666666665,291.84000000000003,293.195,284.10999999999996,290.4866666666667,307.12,320.395,326.04999999999995,329.5799999999999,327.675,322.85,323.32500000000005,321.075,317.1,322.52,321.845,313.32666666666665,311.5,309.065,325.82,343.91,345.03,346.67,343.645,337.825,332.595,331.885,311.00333333333333,306.62,314.495,312.65500000000003,304.54499999999996,321.205
2005-10-05 22:02:41+00:00,300.5,296.17,305.32,278.28,255.1,260.27,256.57,263.45,,,,307.15,,,257.96,298.04,302.46,257.64,283.495,307.4,312.08,316.91,320.87,324.52,324.99,322.94,332.11,334.51,338.81,338.03,312.255,316.815,315.35,341.47,336.45,341.2,338.45,340.29,,,,289.18,285.77,322.64,316.81,306.73,332.42
2006-03-14 22:05:42+00:00,290.78,288.675,297.35,295.87,290.22,290.25,291.25,292.65,304.7,312.23,313.95,307.445,311.65,310.02,313.18,293.24,296.655,300.47,306.67,305.315,312.31,320.515,325.7,326.16499999999996,325.78999999999996,324.07,331.20500000000004,332.71000000000004,331.025,331.655,332.235,335.12,337.695,337.88,336.78499999999997,343.345,341.38,344.765,341.8,338.59,334.32,,316.46,317.03499999999997,315.135,305.855,332.42
2006-04-15 22:06:18+00:00,281.06,286.26,295.91499999999996,295.68,297.555,297.095,297.145,300.6,306.74,312.76,312.905,312.365,309.365,309.83,312.59000000000003,296.75,297.96500000000003,307.12,309.625,312.065,316.99,324.495,328.91999999999996,326.35,328.30499999999995,323.96500000000003,331.675,330.765,329.45500000000004,332.36,333.075,337.89,339.88,341.265,341.555,345.46500000000003,346.905,348.77,341.61,339.78999999999996,335.94,,319.935,315.74,316.335,310.115,343.93
2006-11-25 22:09:07+00:00,,289.79,307.11,308.16,310.31,305.59,308.8,305.78,,303.01,302.32,299.07,298.51,301.0,300.04,301.95,303.32,318.59,323.6,321.34,324.65,318.84,319.25,316.1,319.1,317.09,323.29,321.06,340.05,342.03,350.38,347.67,355.99,351.98,,,,,,,,,,,,317.33,
2011-03-12 22:04:31+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.25,,,369.22,,360.23,,,,,,
