dates,satname,nzd0508-0000,nzd0508-0001,nzd0508-0002,nzd0508-0003,nzd0508-0004,nzd0508-0006,nzd0508-0007,nzd0508-0008,nzd0508-0009,nzd0508-0010,nzd0508-0011,nzd0508-0012,nzd0508-0013,nzd0508-0014,nzd0508-0015,nzd0508-0016,nzd0508-0019,nzd0508-0020,nzd0508-0021,nzd0508-0022,nzd0508-0005,nzd0508-0017,nzd0508-0018,nzd0508-0023,nzd0508-0024,nzd0508-0025
1999-12-16 22:07:33.708000,L7,283.93,294.69,282.23,243.21,,,,,,,,,,,,,,,,,,,,,,
2000-12-18 22:05:01.704000,L7,,,,,,,,,,,,,,317.60,327.49,310.49,,,,,,336.16,338.13,,333.92,361.60
2001-01-03 22:05:00.181000,L7,285.92,296.85,296.06,274.95,249.26,360.17,365.19,356.42,349.92,352.59,360.29,355.64,361.87,364.75,370.81,375.69,367.70,343.43,337.60,322.44,,,,,,
2001-11-03 22:02:58.699000,L7,,,343.07,326.00,280.81,352.75,346.15,347.44,350.02,340.43,344.81,349.09,347.88,347.50,345.44,351.73,356.93,292.00,350.54,365.81,346.28,351.39,364.88,344.83,307.71,307.44
2002-03-11 22:03:31.366000,L7,,334.31,343.95,340.97,336.52,316.79,346.84,343.95,345.92,346.36,349.36,344.90,350.68,357.08,354.73,349.74,358.73,362.80,358.20,351.79,344.39,351.71,351.82,352.12,356.38,371.60
2002-12-08 22:02:51.522000,L7,267.49,301.23,294.12,,,,,,,,,,,,,,,,,,,,,,,
2002-12-24 22:02:57.022000,L7,280.15,306.45,294.24,258.76,244.87,,,,,,,,,,,,,,,,,,,,,
2003-08-29 21:51:49.928000,L5,261.43,308.22,308.51,298.01,307.18,348.85,345.52,339.85,330.37,331.19,332.34,323.34,334.18,334.77,338.03,336.73,337.06,328.42,326.61,321.30,341.83,337.50,342.44,321.86,333.24,332.02
2003-09-30 21:52:18.101000,L5,,,,,,,,,,,,,,,,,309.29,303.42,291.42,290.12,,275.03,315.49,288.38,292.40,300.21
2003-11-17 21:52:57.120000,L5,320.54,325.07,326.44,313.13,307.59,347.69,344.52,339.11,329.63,328.84,328.09,329.19,337.66,336.75,341.37,342.22,346.08,341.63,335.12,334.09,335.10,345.92,349.63,333.77,344.58,341.24
2004-01-20 21:53:24.777000,L5,309.72,317.86,313.14,300.74,301.66,342.07,342.63,338.81,330.94,330.21,330.82,330.88,330.01,329.34,328.37,325.80,315.67,314.82,303.63,306.86,333.37,324.62,328.76,,,
2004-04-25 21:54:35.260000,L5,242.44,267.68,281.98,270.94,289.66,331.78,318.28,311.35,305.44,304.87,309.86,308.16,301.63,,,,,,,,321.81,,,,,
2004-07-30 21:57:15.668000,L5,,,,,,,,,,,,,,,,,258.67,297.04,286.61,291.88,,,306.12,289.90,299.32,298.09
2004-10-18 21:59:11.702000,L5,320.27,331.98,324.45,310.71,317.01,353.24,350.36,346.41,335.92,337.00,336.67,334.55,339.48,342.41,339.89,336.73,340.42,334.28,326.38,321.69,344.45,337.72,341.36,323.73,331.94,333.46
2005-01-22 22:00:50.292000,L5,,,,,259.07,316.16,311.77,305.97,298.77,297.87,297.22,303.78,309.37,306.79,304.39,303.25,293.77,293.15,286.59,285.47,295.19,305.19,303.72,288.48,293.81,288.71
2005-02-07 22:01:03.020000,L5,288.29,300.82,301.24,269.24,274.69,318.38,310.73,308.70,286.58,,,,,,,,,,,,304.64,,,,,
2005-03-11 22:01:31.683000,L5,,,,,,291.89,291.31,264.65,286.47,278.77,288.91,298.80,298.23,276.07,285.97,279.32,286.93,288.56,284.11,286.00,248.70,286.41,298.95,287.07,291.41,288.72
