dates,nzd0509-0000,nzd0509-0001,nzd0509-0002,nzd0509-0003,nzd0509-0004,nzd0509-0005,nzd0509-0006,nzd0509-0007,nzd0509-0008,nzd0509-0009,nzd0509-0010,nzd0509-0011,nzd0509-0012,nzd0509-0013,nzd0509-0014
2003-08-29 21:51:49+00:00,,,,,,184.83,,186.21,257.11,215.42,,,,,
2003-11-17 21:52:57+00:00,,,,,138.36,195.28500000000003,271.32,192.39,259.46500000000003,227.3,218.52,,,,
2004-06-12 21:55:59+00:00,,,,,,,,,266.27,244.19,218.96,,,,
2004-10-18 21:59:11+00:00,,,,,149.92,233.99,286.73,222.41,270.065,247.06,223.97,,,,
2005-10-05 22:02:41+00:00,,,,,,267.51,308.33,,305.85,,,,,,
2006-03-14 22:05:42+00:00,,,,,185.36,250.245,300.03999999999996,241.64,299.375,,256.14,,,,
2006-04-15 22:06:18+00:00,,,,,185.36,220.44,291.75,241.64,273.54499999999996,233.07,256.14,,,,
2006-06-02 22:07:00+00:00,,,,,185.36,220.67,287.645,241.64,274.3333333333333,233.07,241.67,,,,
2006-07-27 22:13:58+00:00,,,,,221.53,220.67,287.645,241.64,274.3333333333333,233.07,241.67,,,,
2006-12-11 22:09:16+00:00,,,308.67,311.32,278.37,,,,307.25,,,,,,
2013-05-11 22:22:42+00:00,,,,,,,,,275.61,259.65,205.64,,,,
2013-07-07 22:16:35+00:00,,,,,,,,,275.61,255.475,220.85,,,,
2013-07-23 22:16:34+00:00,,,,,,,271.24,215.56,272.56,255.88333333333333,222.96333333333334,,,,
2013-08-31 22:22:50+00:00,,,,,,,267.53,197.57999999999998,270.1433333333334,255.88333333333333,222.96333333333334,,,,
2013-10-02 22:22:40+00:00,314.92,,300.02,301.47,298.78,,275.5,232.22333333333333,276.2125,265.7925,222.96333333333334,245.15,,,
2013-10-11 22:16:29+00:00,314.92,,303.75,307.285,301.73,,280.9125,250.3825,281.12399999999997,273.20799999999997,222.96333333333334,252.45,,,
2013-11-19 22:22:25+00:00,314.92,,301.25333333333333,305.3966666666667,301.62333333333333,,282.44,259.896,284.626,280.18399999999997,231.625,251.52999999999997,,,
2014-02-23 22:21:32+00:00,307.875,,301.25333333333333,305.3966666666667,301.62333333333333,184.6,282.306,273.154,285.656,292.505,,251.52999999999997,,,
2014-07-17 22:20:39+00:00,300.83,,,,,184.6,270.57,281.85,271.095,263.1,235.62,,,,
2014-08-11 22:14:39+00:00,300.02,,,,,184.6,278.805,288.96500000000003,278.16333333333336,263.1,235.62,,,,
2014-08-18 22:20:51+00:00,300.02,,,,,167.16,275.36,288.96500000000003,275.045,259.62333333333333,230.98000000000002,,,,
2014-09-19 22:20:54+00:00,299.21,,301.12,302.94,,149.72,277.755,296.08,275.17333333333335,250.885,230.98000000000002,,178.73,253.88,
2015-01-02 22:14:38+00:00,299.21,,299.38,302.61,304.52,149.72,281.75,298.085,279.835,265.31666666666666,230.98000000000002,264.26,178.73,253.88,
2015-04-15 22:20:10+00:00,,,297.64,302.28,304.52,160.75,280.375,272.6,284.365,290.525,247.8,264.26,,,
2015-05-01 22:20:00+00:00,,,297.64,302.28,304.52,155.185,277.7633333333333,260.66333333333336,280.6066666666666,282.18666666666667,243.4,264.26,,,
2015-08-21 22:20:33+00:00,,,,,,149.20333333333335,271.78333333333336,240.95000000000002,272.8433333333333,276.18999999999994,241.91333333333333,,,,
2015-10-08 22:20:48+00:00,,,,,,153.0075,269.1075,241.9333333333333,272.8433333333333,275.56666666666666,239.6975,,,,
2016-04-26 22:14:08+00:00,,,,,,131.68,246.38,,264.55,,,,,,
2016-06-04 22:20:28+00:00,,,,,,131.68,246.38,,264.55,253.11,244.18,,,,
2016-07-06 22:20:41+00:00,269.82,,,,,131.68,267.425,255.11,264.55,253.11,248.965,,,,
2016-07-15 22:14:34+00:00,269.82,,,,,131.68,267.425,255.11,266.15999999999997,254.47000000000003,247.00333333333333,,,,
2017-01-30 22:20:50+00:00,,,,,,186.45,269.05,283.08,274.97,275.58,255.89,,,,
2017-04-20 22:20:11+00:00,,,,,,174.39499999999998,265.84000000000003,283.08,268.74,265.175,229.975,,,,
2017-05-06 22:20:07+00:00,,,,,,165.42333333333332,268.48333333333335,283.08,267.98333333333335,261.9166666666667,234.1833333333333,,,,
2017-08-03 22:14:35+00:00,,,,,,154.91,268.20000000000005,,264.52,253.11,227.71,,,,
2017-09-27 22:21:00+00:00,291.54,,,,,163.62666666666667,268.20000000000005,,264.52,253.11,227.71,,,,
2017-10-29 22:21:05+00:00,296.64,293.44,293.94,296.35,298.81,164.26999999999998,282.845,301.71,276.12,266.5466666666667,239.535,255.08,,,
2017-12-25 22:14:47+00:00,296.64,293.44,293.94,296.35,298.81,180.07999999999998,277.02,301.71,276.94,272.15000000000003,235.175,255.08,,,
2018-03-06 22:20:26+00:00,300.49,294.635,296.005,299.375,301.35,180.07999999999998,282.32666666666665,303.72,287.99666666666667,289.0633333333333,233.88,256.91,171.37,262.81,256.1
2018-03-15 22:14:10+00:00,298.6975,289.2,292.5566666666667,294.63,293.90000000000003,180.07999999999998,281.1825,301.6766666666667,287.46750000000003,288.8925,233.88,256.91,171.37,262.81,256.1
2018-04-16 22:13:54+00:00,302.09000000000003,284.215,292.5566666666667,276.0,288.46,179.1,280.902,301.7575,288.252,290.35,233.88,256.91,171.37,262.81,256.1
2018-05-02 22:13:45+00:00,302.2066666666667,281.13999999999993,291.865,269.21666666666664,285.01,179.1,278.1475,301.7733333333333,281.102,280.84000000000003,233.88,258.74,171.37,262.81,256.1
2018-05-18 22:13:34+00:00,302.2066666666667,281.13999999999993,291.865,269.21666666666664,285.01,179.1,277.466,301.7733333333333,279.685,275.8016666666667,236.155,258.74,171.37,262.81,256.1
2018-07-12 22:19:56+00:00,302.2066666666667,281.13999999999993,291.865,269.21666666666664,285.01,,281.3025,301.7733333333333,279.53833333333336,276.52,238.43,258.74,171.37,262.81,256.1
2018-07-21 22:13:49+00:00,293.665,281.13999999999993,291.865,269.21666666666664,285.01,,282.008,301.7733333333333,279.91285714285715,274.76666666666665,243.825,258.74,171.37,262.81,256.1
2018-08-29 22:20:19+00:00,293.665,281.13999999999993,291.865,269.21666666666664,285.01,153.38,277.88666666666666,301.7733333333333,278.27125,272.4985714285714,243.825,258.74,171.37,262.81,256.1
2018-09-30 22:20:31+00:00,286.57500000000005,269.26,,220.11,272.14,179.16,274.46999999999997,297.79499999999996,274.94,267.49666666666667,248.34666666666666,,,,
2019-02-21 22:20:30+00:00,,,,,,182.45000000000002,265.6233333333334,288.80499999999995,273.0366666666667,273.18666666666667,255.64,,,,
2019-09-10 22:14:51+00:00,304.7,241.72,,256.75,267.42,212.26,276.14,294.46,280.09,292.49,265.43,,,,
2019-09-26 22:14:56+00:00,302.47,260.29,283.96,258.6,269.425,221.495,278.155,295.31,284.655,292.58000000000004,269.9,,,,
2019-11-13 22:14:57+00:00,302.7266666666667,271.94,289.03,272.18333333333334,279.77,221.495,283.49666666666667,298.03333333333336,289.9633333333333,294.99,278.6766666666667,250.11,,,
2019-12-22 22:21:03+00:00,302.7266666666667,271.94,289.03,272.18333333333334,279.77,221.495,279.7025,293.2575,286.95,290.65,278.6766666666667,250.11,,,
2020-01-23 22:20:55+00:00,303.095,277.47,290.1433333333334,278.615,284.435,221.495,281.008,295.316,288.36199999999997,291.882,282.185,253.815,,,
2020-05-30 22:20:16+00:00,304.2,294.06,292.37,297.91,298.43,232.18,280.65333333333336,291.23999999999995,287.65333333333336,287.22,273.16499999999996,257.52,,,
2020-06-08 22:14:11+00:00,304.2,294.06,292.37,297.91,298.43,232.18,280.65333333333336,291.23999999999995,287.65333333333336,287.22,263.21999999999997,257.52,,,
2020-07-26 22:14:32+00:00,,,,,,226.56,284.07500000000005,,282.65,264.07,248.02666666666667,,,,
2020-08-27 22:14:44+00:00,,,,,,226.56,284.07500000000005,,279.1566666666667,262.745,245.1225,,,,
2020-10-14 22:14:56+00:00,,,,,,214.17666666666665,279.15000000000003,,277.57,265.69666666666666,243.368,,,,
2020-11-22 22:21:06+00:00,303.36,294.1,296.26,301.6,301.85,214.17666666666665,283.775,307.27,282.418,274.41,252.15833333333333,250.93,232.44,265.13,252.74
2021-07-13 22:14:31+00:00,,,,,267.73,,288.14,,,294.84,257.94,,,,
2021-08-05 22:20:52+00:00,,,,,267.73,150.55,284.93,,279.65,288.15,251.06,,,,
2021-08-14 22:14:45+00:00,,,,,267.73,152.38,282.33666666666664,,282.54999999999995,288.15,248.82000000000002,,,,
2021-08-30 22:14:49+00:00,297.56,,,,267.73,165.39666666666668,282.1275,296.34,285.56333333333333,288.15,250.2825,,,,
2022-01-28 22:20:55+00:00,300.625,294.02,294.85,298.15,298.38,165.39666666666668,283.1675,301.34,288.09999999999997,287.28999999999996,247.73000000000002,253.87,,,
2022-04-10 22:20:41+00:00,303.69,294.02,294.85,298.15,298.38,173.9,283.07,300.155,283.575,279.675,239.77,253.87,,,
2022-05-05 22:14:18+00:00,303.69,294.02,294.85,298.15,298.38,173.9,283.07,300.155,277.95,269.47,239.77,253.87,,,
2022-06-05 22:20:51+00:00,303.69,294.02,294.85,298.15,298.38,173.9,284.70666666666665,280.97333333333336,279.8825,267.615,244.62,253.87,,,
2022-06-30 22:14:51+00:00,303.69,294.02,294.85,298.15,298.38,173.9,285.5625,271.525,279.8825,269.534,248.0566666666667,253.87,,,
2022-07-15 22:20:36+00:00,303.69,294.02,294.85,298.15,298.38,173.9,285.54,264.508,279.8825,267.84499999999997,247.23250000000002,253.87,,,
2022-07-23 22:21:07+00:00,303.69,294.02,294.85,298.15,298.38,173.9,285.59499999999997,260.8183333333333,279.8825,267.84499999999997,246.794,253.87,,,
2022-08-09 22:14:46+00:00,,,,,,173.9,284.254,251.71400000000003,274.5025,262.8633333333333,245.35833333333335,,,,
2022-08-24 22:21:19+00:00,,,,,,161.435,281.1616666666667,251.71400000000003,274.5025,262.8633333333333,245.35833333333335,,,,
2022-10-19 22:21:14+00:00,,,,,,148.97,281.15333333333336,241.15000000000003,275.3625,264.51166666666666,246.45333333333335,,,,
2022-10-28 22:15:03+00:00,304.79,297.26,297.15,305.79,302.57,148.97,283.36857142857144,241.15000000000003,280.298,264.51166666666666,246.45333333333335,249.33,257.12,266.98,243.89
2023-03-05 22:14:49+00:00,304.79,297.26,297.15,305.79,302.57,,282.3733333333334,,285.04333333333335,282.245,254.40500000000003,249.33,257.12,266.98,243.89
2023-03-12 22:20:56+00:00,304.79,297.26,297.15,305.79,302.57,188.07,279.785,243.86,280.99,276.5466666666667,254.40500000000003,249.33,257.12,266.98,243.89
2023-04-06 22:14:33+00:00,304.79,297.26,297.15,305.79,249.6,182.625,279.188,243.86,280.696,279.49,251.53333333333333,249.33,257.12,266.98,243.89
2023-04-14 22:14:09+00:00,304.79,297.26,297.15,305.79,249.6,170.51333333333332,279.188,243.86,274.68666666666667,279.49,251.53333333333333,249.33,257.12,266.98,243.89
2023-04-29 22:20:31+00:00,,252.65,,,195.315,170.51333333333332,277.435,251.645,271.552,282.7625,242.24,,,,
2023-05-15 22:20:23+00:00,,252.65,,,195.315,170.51333333333332,277.435,251.645,270.83166666666665,282.7625,227.7225,,,,
2023-05-23 22:20:05+00:00,,252.65,,,195.315,170.51333333333332,277.435,251.645,270.64714285714285,282.7625,219.756,,,,
2023-05-24 22:14:04+00:00,,252.65,,,195.315,170.51333333333332,277.435,243.10666666666668,271.58875,276.304,223.87,,,,
2023-06-01 22:13:55+00:00,,252.65,,,195.315,170.51333333333332,278.298,238.08,271.80555555555554,272.35499999999996,225.91714285714286,,,,
2023-06-09 22:14:00+00:00,,252.65,,,195.315,170.51333333333332,278.298,238.08,271.592,268.5857142857143,227.62375,,,,
2023-07-03 22:14:15+00:00,,252.65,,,195.315,170.51333333333332,279.09833333333336,230.22600000000003,271.592,266.35125,229.73000000000002,,,,
2023-07-11 22:14:12+00:00,,252.65,,,195.315,170.51333333333332,279.09833333333336,230.22600000000003,271.592,264.36888888888893,229.73000000000002,,,,
2023-08-12 22:14:23+00:00,281.28,253.025,,,194.43999999999997,167.4325,278.99857142857144,230.25,272.1545454545454,264.481,231.635,,,,
2023-08-27 22:20:47+00:00,280.575,253.025,,,194.99,166.99200000000002,277.85,230.25,272.4166666666667,264.4509090909091,232.46363636363637,,,,
2023-09-05 22:14:34+00:00,286.24333333333334,256.0466666666667,,241.86,195.74,168.00333333333333,277.07,230.25,272.15333333333336,263.14363636363635,230.9236363636364,,,,
2023-12-09 22:21:02+00:00,286.0075,260.8666666666667,261.08,249.405,199.53,172.41750000000002,274.674,214.58999999999997,275.4375,262.45666666666665,247.4,144.8,,,
2024-01-26 22:21:02+00:00,287.364,265.39750000000004,270.41499999999996,259.65333333333336,199.53,172.41750000000002,273.11800000000005,219.38,275.07599999999996,269.75,250.62400000000002,164.31,,,
2024-02-12 22:14:41+00:00,288.885,269.3966666666667,270.41499999999996,259.65333333333336,202.27,178.90249999999997,269.40999999999997,200.67,272.37399999999997,268.79,251.085,164.31,,,
2024-02-19 22:20:51+00:00,288.885,269.3966666666667,269.18333333333334,261.74,203.72600000000003,180.92399999999998,269.3183333333333,206.89,272.08166666666665,268.44666666666666,251.35999999999999,164.45333333333335,,,
2024-04-16 22:14:07+00:00,289.95,269.48,261.21500000000003,269.6875,207.75,194.485,270.866,206.89,272.37,271.93399999999997,256.2275,164.45333333333335,,,
2024-06-03 22:13:41+00:00,289.95,269.48,261.21500000000003,269.6875,207.75,194.485,271.68333333333334,210.34,272.16833333333335,268.40166666666664,249.08200000000002,164.45333333333335,,,
