dates,nzd0512-0000,nzd0512-0001,nzd0512-0002,nzd0512-0003,nzd0512-0004,nzd0512-0005,nzd0512-0006,nzd0512-0007,nzd0512-0008,nzd0512-0009,nzd0512-0010,nzd0512-0011,nzd0512-0012,nzd0512-0013,nzd0512-0014,nzd0512-0015,nzd0512-0016,nzd0512-0017,nzd0512-0018,nzd0512-0019,nzd0512-0020,nzd0512-0021,nzd0512-0022,nzd0512-0023,nzd0512-0024,nzd0512-0025,nzd0512-0026,nzd0512-0027,nzd0512-0028,nzd0512-0029,nzd0512-0030,nzd0512-0031,nzd0512-0032,nzd0512-0033,nzd0512-0034,nzd0512-0035,nzd0512-0036,nzd0512-0037,nzd0512-0038,nzd0512-0039,nzd0512-0040,nzd0512-0041,nzd0512-0042,nzd0512-0043,nzd0512-0044,nzd0512-0045,nzd0512-0046,nzd0512-0047
1999-12-07 22:13:41+00:00,281.46,274.18,269.47,266.86,261.7,257.58,259.16,265.4,265.45,264.97,258.59,261.49,262.59,268.33,260.28,266.07,263.36,269.27,261.48,259.89,265.52,247.04,247.93,272.72,303.17,295.2,298.9,299.19,297.17,302.69,308.55,306.37,,305.5,305.92,305.59,307.65,307.44,306.21,305.38,307.01,304.96,309.54,308.86,,284.02,284.33,
2000-09-20 22:11:14+00:00,291.65,280.79,272.62,268.9,262.49,260.79,261.9,266.17,267.23,263.26,262.44,261.85,267.26,270.59,259.89,266.27,269.7,275.39,273.52,277.31,268.44,249.09,285.9,290.93,305.31,268.6,274.56,269.93,265.0,270.89,315.29,315.46,308.52,,,,313.72,316.37,316.79,315.75,312.03,310.79,312.72,313.19,,288.28,,238.63
2001-01-03 22:05:00+00:00,291.65,280.79,272.62,268.9,262.49,260.79,261.9,266.17,267.23,263.26,262.44,261.515,263.49,268.815,259.89,266.27,269.7,275.39,273.52,277.31,265.41999999999996,247.805,267.11,280.935,299.765,259.635,285.27,283.805,272.805,280.815,308.595,308.595,297.85,299.45,300.58,301.04,308.88,311.2,310.61,309.91499999999996,307.45,305.59000000000003,307.71000000000004,309.645,314.47,287.955,288.39,255.81
2001-12-12 22:09:26+00:00,,,,,,,,,279.11,277.64,,,,,,,,,,,,,,,,,,,,,,,306.83,,,312.43,,,314.78,,,,,,,,,
2002-01-29 22:09:33+00:00,285.56,275.8,271.88,266.99,261.88,257.74,251.0,262.55,270.425,271.845,262.73,262.98,265.77,267.84,260.93,262.76,269.46,270.75,264.87,265.28,260.7,246.15,245.51,271.5,305.54,221.3,290.48,301.17,304.38,304.49,306.98,304.14,301.135,303.08,305.47,304.72,299.0,303.77,309.21,301.24,299.14,299.8,,305.42,312.7,,,264.89
2002-09-10 22:08:43+00:00,293.26,285.96,279.26,278.72,270.87,267.61,264.03,269.71,267.87,277.19,274.59,271.13,271.11,269.94,263.23,268.74,279.24,,,284.6,276.06,250.05,288.32,286.62,,,,,304.86,309.49,312.78,,,309.86,,,307.64,316.65,314.0,314.74,309.54,309.28,,312.73,,,,
2002-12-24 22:02:57+00:00,287.44,281.405,276.015,274.5,267.68,265.255,264.755,271.575,269.88,273.94,270.325,268.4,271.39,271.195,265.565,270.95000000000005,275.935,,,284.6,276.06,250.05,288.32,286.62,,,,,304.86,309.49,307.645,300.02,300.63,308.515,293.35,301.01,307.64,316.65,314.0,314.74,309.54,309.28,,312.73,319.33,289.74,295.68,292.46
2003-02-01 22:09:21+00:00,287.44,281.405,276.015,274.5,249.01,265.255,264.755,271.07,271.93,273.79333333333335,269.90333333333336,268.98333333333335,272.14000000000004,271.8066666666667,266.58,272.5366666666667,275.37,280.17,268.89,277.735,272.94,252.67000000000002,276.08,286.055,299.4,291.58,304.09,300.75,300.98,302.875,306.0433333333333,299.395,301.685,308.51666666666665,296.855,301.12,304.31,312.86,312.46000000000004,311.07500000000005,307.525,309.28,,312.73,319.33,289.74,295.68,292.46
2003-08-13 21:51:32+00:00,277.53,265.56,271.07,258.29,249.57,254.12,255.45,258.36,253.28,253.89,251.39,261.74,259.97,261.14,257.69,259.52,260.78,273.16,279.29,269.08,246.55,248.19,283.49,291.21,299.58,310.69,318.81,317.55,311.57,312.06,312.75,313.24,302.49,311.04,313.93,314.5,308.85,315.41,313.87,311.81,303.51,299.64,303.7,,,,,
2003-08-29 21:51:49+00:00,288.345,277.59000000000003,278.41999999999996,274.70500000000004,266.47,268.03499999999997,273.03499999999997,272.45500000000004,273.725,270.21,268.85,276.46500000000003,274.415,277.455,273.695,277.37,280.58,287.27,288.72,284.17999999999995,263.33500000000004,259.40999999999997,296.62,303.59000000000003,312.72,310.69,318.81,325.015,320.46500000000003,321.435,321.09000000000003,313.24,313.08500000000004,311.04,313.93,314.5,308.85,321.70500000000004,322.15,319.685,312.03499999999997,307.19,313.68,,,319.62,317.76,299.51
