dates,satname,nzd0515-0000,nzd0515-0001,nzd0515-0002,nzd0515-0003,nzd0515-0004,nzd0515-0005,nzd0515-0006,nzd0515-0007,nzd0515-0008,nzd0515-0009,nzd0515-0010,nzd0515-0011,nzd0515-0012,nzd0515-0013,nzd0515-0014,nzd0515-0015,nzd0515-0016,nzd0515-0017,nzd0515-0018,nzd0515-0019,nzd0515-0020,nzd0515-0021,nzd0515-0022,nzd0515-0023,nzd0515-0024,nzd0515-0025,nzd0515-0026,nzd0515-0027,nzd0515-0043,nzd0515-0044,nzd0515-0028,nzd0515-0029,nzd0515-0030,nzd0515-0031,nzd0515-0032,nzd0515-0033,nzd0515-0034,nzd0515-0035,nzd0515-0036,nzd0515-0037,nzd0515-0038,nzd0515-0039,nzd0515-0040,nzd0515-0041,nzd0515-0042
1999-08-17 22:13:37.953000,L7,281.53,257.89,283.91,264.00,292.47,295.09,296.84,306.18,319.90,315.06,296.04,279.19,304.52,265.90,282.98,289.71,307.24,303.78,320.85,312.47,323.53,305.73,319.65,313.02,301.44,295.11,295.34,266.71,264.85,279.17,,,,,,,,,,,,,,,
1999-12-07 22:13:41.663000,L7,,,,327.09,328.93,329.09,328.29,,,344.36,340.59,338.33,337.99,322.82,323.20,330.80,348.46,343.86,361.19,342.60,355.23,321.95,342.45,,335.29,317.49,315.01,314.90,344.55,364.17,330.59,331.39,331.42,,331.96,330.01,341.54,331.29,321.90,330.65,349.21,357.46,350.55,335.20,333.01
1999-12-16 22:07:33.708000,L7,360.55,309.69,303.41,296.92,296.93,294.27,299.30,309.75,314.73,311.98,295.39,282.43,299.74,265.18,280.93,289.13,305.74,308.20,320.28,319.90,329.61,308.36,315.33,320.77,300.55,292.93,294.58,260.38,278.44,284.28,276.39,304.94,298.69,302.62,295.18,282.88,266.53,,,,,,,,
2000-05-08 22:06:44.900000,L7,305.05,313.17,307.58,297.82,299.31,298.98,296.57,314.74,322.96,318.63,294.37,292.35,301.98,266.05,285.98,289.89,306.14,297.24,328.83,326.56,332.13,316.39,321.14,317.75,303.32,296.93,291.16,280.16,266.60,286.31,287.03,303.69,304.45,309.93,301.75,288.75,284.85,276.22,270.95,,,,,,
2000-05-15 22:12:54.183000,L7,317.97,362.66,,365.42,330.28,341.67,338.98,366.96,367.30,373.85,339.98,338.75,312.64,334.45,341.58,342.99,333.10,358.60,364.02,395.97,387.48,368.27,381.30,347.96,357.88,344.82,332.56,302.88,342.19,370.84,357.54,360.45,369.06,378.17,369.37,356.91,345.04,285.91,326.21,343.95,370.56,370.74,366.48,348.62,315.28
2000-06-25 22:06:19.852000,L7,,351.55,312.78,335.20,311.38,305.28,307.77,321.25,341.11,324.52,310.64,316.29,350.93,327.73,334.41,328.06,365.92,327.47,334.30,334.05,340.66,317.39,357.95,332.32,320.12,291.38,301.41,283.42,390.69,,288.68,329.79,320.76,363.98,392.51,357.74,343.27,337.39,307.44,349.77,367.96,378.90,382.12,344.49,354.30
2000-07-27 22:05:48.258000,L7,,,341.72,302.63,307.87,292.74,291.96,322.95,318.34,314.11,297.33,302.46,310.11,278.23,286.62,296.99,312.44,287.07,330.16,323.40,285.23,284.29,305.45,,,,,269.27,275.24,291.06,293.79,307.32,310.21,312.31,309.15,297.99,290.12,352.92,347.09,359.89,396.44,372.25,382.37,268.60,
2000-09-20 22:11:14.930000,L7,313.77,317.93,369.44,358.75,340.89,363.87,299.19,308.45,325.03,342.21,294.25,298.44,300.27,268.06,281.93,290.54,307.13,312.61,330.41,326.60,328.03,312.96,331.01,322.85,303.46,297.72,292.98,273.18,268.90,276.48,286.63,303.64,305.21,306.95,306.09,297.25,290.52,279.42,276.51,289.06,313.35,309.26,295.15,265.97,272.99
2001-01-03 22:05:00.181000,L7,300.58,322.23,373.15,366.96,363.10,379.75,357.48,369.41,369.45,358.96,362.48,359.11,361.89,351.48,358.90,363.63,345.03,350.29,379.98,377.94,379.82,380.06,375.57,363.16,291.07,344.37,349.46,347.86,268.41,277.88,277.46,295.17,297.95,369.21,364.02,342.07,335.45,,340.36,365.18,375.45,382.84,397.43,376.96,381.76
2001-02-20 22:05:00.525000,L7,,,,316.61,325.94,331.05,311.03,336.58,343.68,344.25,340.01,339.39,309.67,331.92,323.21,330.21,337.26,348.72,325.70,327.30,365.61,355.93,341.86,,307.78,314.20,317.32,326.95,379.66,,335.82,345.25,348.69,347.69,342.48,330.87,332.08,338.61,338.93,363.90,380.60,387.69,380.31,363.68,366.03
2001-02-27 22:11:06.137000,L7,,,,329.00,334.81,342.36,347.99,342.00,345.03,348.53,347.89,346.82,341.19,336.36,331.23,332.95,349.56,354.88,368.53,375.68,375.88,366.80,346.56,,337.34,327.96,329.20,334.66,398.62,,287.28,316.95,310.98,320.29,314.33,307.68,293.36,286.32,274.35,363.22,390.88,389.05,380.03,366.78,371.59
2001-04-16 22:10:54.636000,L7,,,,,,,,,,,333.86,329.14,325.11,321.39,308.67,325.68,318.64,334.65,,383.88,355.84,336.11,346.70,,,,,,368.25,370.39,,,324.48,310.23,331.17,327.15,288.84,321.67,320.61,341.74,374.44,375.32,369.73,353.17,355.26
2001-06-19 22:10:17.246000,L7,,,,317.46,321.72,295.67,295.87,315.40,319.58,312.57,298.90,293.79,302.63,273.20,287.01,281.48,248.83,,,,,,,,,381.82,373.25,296.07,274.67,276.99,306.42,307.03,311.40,307.80,309.11,291.68,280.51,,,,,,,,
2001-06-28 22:03:56.771000,L7,306.16,297.82,302.67,291.60,286.03,288.52,284.13,279.15,301.54,293.30,276.59,290.58,311.49,253.70,293.05,305.95,315.40,326.29,336.52,319.85,308.59,316.51,318.14,320.15,304.87,299.21,296.70,,,,264.14,301.04,304.58,325.86,296.99,286.11,,,,,,,,,
2001-08-15 22:03:26.328000,L7,,364.92,349.37,352.80,323.03,304.74,312.88,,,,335.82,343.95,368.77,345.92,298.07,303.00,316.45,326.61,343.62,339.06,349.45,370.59,362.65,337.64,330.25,382.81,391.62,362.09,283.77,294.69,,,,,,,387.06,382.33,353.78,304.26,333.41,325.67,327.01,318.91,318.56
2001-11-26 22:09:21.320000,L7,,,,,,,,,,333.14,322.38,323.44,316.16,310.25,320.41,332.60,331.40,344.08,360.47,354.26,355.19,352.90,335.52,,321.05,315.54,318.56,323.31,316.48,330.76,324.06,342.11,362.81,360.72,346.88,332.40,334.48,333.64,326.30,343.56,367.53,372.31,349.59,319.17,305.02
2001-12-12 22:09:26.650000,L7,,,,302.70,329.59,304.55,310.15,393.93,374.38,323.55,298.83,284.61,295.84,267.48,283.98,298.34,316.17,309.02,322.92,321.85,329.51,373.53,349.00,328.87,341.54,359.57,297.34,274.93,268.60,276.81,287.92,295.80,296.15,298.32,286.97,,,,,,,,,,
2002-01-29 22:09:33.112000,L7,,,,,,,,,,,,,,272.05,292.58,330.34,331.74,317.53,353.64,358.49,359.87,351.18,336.95,,,,,,284.97,287.86,,330.55,333.72,333.59,333.31,321.59,333.47,324.29,297.52,320.34,345.49,357.16,345.86,320.76,311.29
2002-02-23 22:03:31.354000,L7,,,,,,,,,,,321.00,329.97,329.49,297.68,323.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-11 22:03:31.366000,L7,,,,366.70,302.18,297.87,304.31,315.53,336.64,346.11,342.96,348.11,343.81,339.03,339.55,347.73,355.46,361.21,329.64,326.30,332.25,317.50,370.67,357.51,344.93,320.19,325.66,325.73,281.14,290.31,332.60,331.28,369.43,384.52,387.60,375.05,368.44,368.73,,385.57,372.87,382.30,367.23,346.57,331.71
2002-04-12 22:03:25.302000,L7,306.73,319.06,306.23,295.02,297.75,295.83,298.87,313.19,321.58,320.02,293.11,278.57,303.06,265.79,287.35,291.51,308.39,308.02,324.82,319.45,326.30,308.67,321.65,318.77,303.45,294.57,288.42,267.44,270.91,280.07,275.72,295.49,299.95,303.31,297.60,285.88,272.16,273.26,,,,,,,
2002-05-05 22:09:37.985000,L7,299.61,296.07,299.86,293.46,301.39,299.55,293.03,299.22,315.21,320.49,295.02,289.22,304.21,265.57,281.49,290.42,328.76,302.85,318.55,328.20,331.60,317.97,328.52,329.19,321.41,317.28,287.33,299.99,274.29,280.30,296.21,294.98,298.58,309.69,297.28,290.61,282.57,278.05,,,,,,,
2002-05-14 22:03:19.418000,L7,313.08,332.48,317.51,299.34,302.00,302.59,300.12,307.37,336.89,326.69,295.68,365.95,376.40,327.68,330.83,339.62,343.82,351.78,357.12,323.89,332.24,328.25,364.95,347.35,383.19,357.89,356.11,357.27,279.08,290.95,298.68,305.44,307.89,317.33,307.64,298.43,280.21,277.90,,,,,,,
2002-06-15 22:03:07.576000,L7,296.40,297.83,300.83,287.82,292.53,295.12,288.49,295.56,314.67,318.01,,283.72,311.15,268.20,285.04,290.85,316.06,304.59,332.12,319.67,329.68,305.73,324.59,318.76,304.36,283.51,279.26,269.68,269.91,284.25,,292.45,313.69,301.70,309.38,287.57,284.48,,,,,,,,
2002-06-22 22:09:15.051000,L7,314.19,314.65,357.31,294.81,306.05,298.50,305.43,319.15,326.85,318.24,,296.55,319.69,269.13,292.64,294.34,322.67,305.12,337.40,325.62,325.78,316.20,314.13,314.32,301.60,310.10,296.62,274.26,282.35,290.64,291.79,302.96,315.57,313.74,304.32,287.98,284.60,276.78,,273.32,304.08,299.10,289.98,271.72,273.19
2002-09-10 22:08:43.416000,L7,297.32,304.46,302.12,292.79,288.75,288.52,291.97,303.41,322.76,306.07,287.08,283.56,291.50,263.62,282.01,284.85,298.91,301.79,318.88,318.15,313.35,305.97,317.21,321.37,305.61,293.04,280.44,265.29,,,290.10,292.04,293.71,299.07,289.95,283.34,270.31,,,,,,,,
