dates,satname,nzd0519-0000,nzd0519-0001,nzd0519-0002,nzd0519-0007,nzd0519-0008,nzd0519-0009,nzd0519-0010,nzd0519-0011,nzd0519-0012,nzd0519-0013,nzd0519-0014,nzd0519-0015,nzd0519-0016,nzd0519-0017,nzd0519-0018,nzd0519-0019,nzd0519-0020,nzd0519-0021,nzd0519-0022,nzd0519-0023,nzd0519-0024,nzd0519-0025,nzd0519-0026,nzd0519-0027,nzd0519-0028,nzd0519-0029,nzd0519-0030,nzd0519-0031,nzd0519-0032,nzd0519-0033,nzd0519-0034,nzd0519-0035,nzd0519-0036,nzd0519-0037,nzd0519-0038,nzd0519-0039,nzd0519-0040,nzd0519-0041,nzd0519-0042,nzd0519-0043,nzd0519-0044,nzd0519-0045,nzd0519-0046,nzd0519-0047,nzd0519-0048,nzd0519-0049,nzd0519-0050,nzd0519-0051,nzd0519-0052,nzd0519-0053,nzd0519-0054,nzd0519-0055,nzd0519-0060,nzd0519-0061,nzd0519-0062,nzd0519-0063,nzd0519-0064,nzd0519-0065,nzd0519-0066,nzd0519-0067,nzd0519-0068,nzd0519-0069,nzd0519-0070,nzd0519-0071,nzd0519-0003,nzd0519-0004,nzd0519-0005,nzd0519-0006,nzd0519-0056,nzd0519-0057,nzd0519-0058,nzd0519-0059,nzd0519-0072,nzd0519-0073,nzd0519-0074,nzd0519-0075,nzd0519-0076,nzd0519-0077,nzd0519-0078,nzd0519-0079
1999-08-17 22:13:37.953000,L7,,,,330.19,358.63,355.59,361.00,369.45,360.70,357.16,362.83,367.55,365.92,378.42,373.50,386.07,391.88,344.95,366.91,377.76,362.38,354.71,366.16,357.93,364.95,380.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.84,358.47,358.59,347.76,354.97,352.93,359.35,355.83,390.47,301.51,308.85,320.44,,,,,350.80,358.96,353.19,368.56,341.63,339.78,,
1999-11-05 22:13:40.966000,L7,321.96,285.55,344.11,315.98,337.32,348.36,362.26,357.48,345.32,336.68,350.88,352.85,360.17,381.55,353.35,331.54,340.86,330.33,335.80,350.55,347.51,386.81,372.72,358.22,366.69,350.03,353.14,350.81,345.56,339.58,335.09,335.22,360.19,346.94,310.97,307.67,289.20,320.09,322.73,340.18,334.64,353.06,357.16,340.49,339.69,338.26,346.16,341.32,349.95,345.68,337.49,280.09,331.77,350.56,293.25,345.26,352.11,335.12,329.33,335.03,333.28,333.36,330.93,327.51,,,,,,,,,,,,,,,,
1999-12-07 22:13:41.663000,L7,,,,326.47,344.67,347.88,356.28,358.32,352.70,353.50,360.44,365.64,361.60,363.62,363.13,349.20,347.57,339.36,349.68,369.09,355.66,348.90,360.77,358.77,364.17,356.92,364.52,366.67,365.62,361.05,358.89,356.34,,389.72,351.68,354.28,357.81,357.77,354.53,361.70,356.10,363.11,362.77,358.15,387.81,378.22,388.00,378.93,381.95,381.51,,,,,383.10,377.94,376.86,374.67,372.89,362.04,377.58,384.09,384.85,379.60,345.56,293.90,306.40,318.24,,,,,371.91,366.49,360.50,359.41,352.88,358.50,370.05,358.67
1999-12-16 22:07:33.708000,L7,,,,332.77,346.69,348.59,358.76,359.65,352.65,351.55,361.53,366.38,361.40,363.96,362.11,353.32,348.80,340.15,349.73,365.62,358.96,351.56,361.53,364.08,366.84,367.62,,,,,,,,,373.91,385.42,366.16,362.91,362.56,396.80,397.15,369.98,367.10,376.19,377.98,377.09,382.00,367.09,371.83,368.25,375.10,363.63,359.02,365.50,365.23,358.90,379.43,,370.09,347.93,389.82,360.52,350.23,386.83,,376.38,309.94,319.43,368.38,369.02,362.29,368.48,381.24,375.90,368.96,357.21,338.15,336.44,332.77,327.28
2000-05-08 22:06:44.900000,L7,,,,334.92,356.75,356.40,362.82,381.77,360.93,356.71,369.54,370.87,373.34,368.70,364.56,382.51,373.71,,,,,,,,,,,,,,,,,381.61,379.72,376.37,380.27,,,,,,,,,,,,,383.53,383.66,376.33,374.01,367.67,375.46,376.82,386.89,,,,,,,,349.28,315.18,318.18,318.77,377.07,377.24,380.54,366.02,,,,,349.29,344.68,338.31,350.01
2000-05-15 22:12:54.183000,L7,,,,349.77,361.74,362.73,371.87,371.40,368.19,368.72,380.87,379.99,378.06,378.12,378.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.94,370.01,372.19,,,,,,,,,,,360.69,325.57,320.87,320.84,369.16,370.58,370.31,365.73,,,,,,353.90,353.77,346.46
2000-06-16 22:12:38.425000,L7,,,,,,,,,,,,,,,,,,,,,,,,390.56,347.25,334.17,319.37,347.13,300.88,295.64,277.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-25 22:06:19.852000,L7,,,,,349.72,339.13,359.48,332.01,280.08,361.08,358.51,362.24,364.16,361.70,358.32,344.16,385.87,340.80,357.34,365.97,360.34,346.90,371.39,356.20,362.89,362.04,,,,,,,376.81,355.45,347.40,351.80,376.92,362.48,361.26,353.34,353.33,358.15,363.20,355.01,348.18,354.69,365.41,368.38,380.93,369.68,354.67,352.82,360.90,364.82,375.97,349.19,353.05,341.33,345.72,340.10,356.33,346.02,352.63,333.21,,,,,363.30,370.93,353.34,367.01,371.34,354.32,365.10,365.71,336.99,340.59,336.35,320.43
2000-07-27 22:05:48.258000,L7,,,,,,,,,,,,,338.46,345.90,349.67,,358.58,340.26,344.14,360.46,354.29,349.25,358.78,355.38,384.38,360.08,366.90,364.12,363.75,364.17,355.30,364.88,,,,,,,,,,,,377.39,361.21,373.93,376.16,365.92,367.48,376.01,366.48,357.42,360.68,356.77,359.07,357.32,350.75,344.16,337.01,339.83,347.07,349.05,345.99,339.32,,,,,388.17,364.63,358.31,361.50,345.34,343.55,339.40,331.48,329.62,327.27,330.61,316.34
2000-09-04 22:11:34.434000,L7,,,,292.88,324.00,315.55,338.97,337.98,319.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.77,293.73,334.89,295.37,288.67,332.33,314.27,320.65,302.17,292.31,292.95,294.60,294.01,328.82,324.58,324.45,332.24,331.06,306.13,326.83,312.21,333.88,328.98,313.14,338.70,,,,,314.25,364.56,341.63,259.84,342.00,336.20,328.57,314.66,305.26,303.80,313.08,
2000-09-20 22:11:14.930000,L7,375.57,352.64,357.72,,332.47,335.70,344.86,343.74,310.25,329.51,342.13,340.21,344.12,318.76,342.23,328.12,332.62,326.17,336.20,343.93,333.69,334.84,347.08,343.02,343.12,338.78,339.57,350.35,350.59,348.96,341.72,338.32,340.17,341.81,327.01,334.92,334.86,340.21,338.09,355.58,329.21,349.24,350.03,335.63,340.51,341.44,348.15,347.91,340.83,332.60,344.68,333.74,342.72,344.69,342.93,342.76,334.58,328.50,326.68,331.34,334.84,341.29,338.73,338.05,296.05,270.69,288.42,294.14,344.69,352.67,345.49,342.98,333.65,341.08,333.10,320.76,319.18,323.23,319.19,300.99
