dates,nzd0519-0000,nzd0519-0001,nzd0519-0002,nzd0519-0003,nzd0519-0004,nzd0519-0005,nzd0519-0006,nzd0519-0007,nzd0519-0008,nzd0519-0009,nzd0519-0010,nzd0519-0011,nzd0519-0012,nzd0519-0013,nzd0519-0014,nzd0519-0015,nzd0519-0016,nzd0519-0017,nzd0519-0018,nzd0519-0019,nzd0519-0020,nzd0519-0021,nzd0519-0022,nzd0519-0023,nzd0519-0024,nzd0519-0025,nzd0519-0026,nzd0519-0027,nzd0519-0028,nzd0519-0029,nzd0519-0030,nzd0519-0031,nzd0519-0032,nzd0519-0033,nzd0519-0034,nzd0519-0035,nzd0519-0036,nzd0519-0037,nzd0519-0038,nzd0519-0039,nzd0519-0040,nzd0519-0041,nzd0519-0042,nzd0519-0043,nzd0519-0044,nzd0519-0045,nzd0519-0046,nzd0519-0047,nzd0519-0048,nzd0519-0049,nzd0519-0050,nzd0519-0051,nzd0519-0052,nzd0519-0053,nzd0519-0054,nzd0519-0055,nzd0519-0056,nzd0519-0057,nzd0519-0058,nzd0519-0059,nzd0519-0060,nzd0519-0061,nzd0519-0062,nzd0519-0063,nzd0519-0064,nzd0519-0065,nzd0519-0066,nzd0519-0067,nzd0519-0068,nzd0519-0069,nzd0519-0070,nzd0519-0071,nzd0519-0072,nzd0519-0073,nzd0519-0074,nzd0519-0075,nzd0519-0076,nzd0519-0077,nzd0519-0078,nzd0519-0079
1999-08-17 22:13:37+00:00,,,,302.95,272.99,269.95,295.81,193.66,326.64,337.41,,,,333.61,347.7,,,339.98,,308.44,,,,,,,,,200.83,,,,,,,,,,214.43,208.62,217.97,202.09,189.03,,,,,,,332.2,,,,334.67,,286.89,303.68,,,,,,,,,,,,,,,,,347.65,,,,,,
2000-05-08 22:06:44+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.94,193.25,192.8,179.66,162.65,,,,,,,,,,,,,269.08,264.47,,219.66,257.89,,,292.11,270.07,270.75,255.38,,,,,,,,,,,,,,
2000-05-15 22:12:54+00:00,,,,,,,,,352.34,352.81,,320.28,283.26,344.51,353.77,358.25,361.62,367.55,,,,,,,,,,,,,,,,,,,,,198.94,193.25,192.8,179.66,162.65,,,,,,,,,,,,,269.08,264.47,,219.66,257.89,,,292.11,270.07,270.75,255.38,,,,,,,,,,,,,,
2000-06-25 22:06:19+00:00,,,,,,244.24,297.62,199.49,351.95,346.5,,320.28,283.26,344.51,356.71,361.22,363.0,363.03499999999997,359.24,345.57,,,,,,,,,,,356.87,,,,,,,342.88,198.94,193.25,192.8,179.66,162.65,343.04,,,,,,,,,,,,269.08,264.47,,219.66,257.89,,,292.11,270.07,270.75,255.38,,,,,,334.45,,,,339.26,,,,
2000-07-27 22:05:48+00:00,,,,,,244.24,297.62,199.49,351.95,332.59,,320.28,283.26,344.51,356.71,361.22,352.8833333333334,347.4433333333333,359.24,345.57,,,,,,,,,,,356.87,,,,,,,342.88,198.94,193.25,192.8,179.66,162.65,343.04,,,,,,,,,,,,269.08,264.47,,219.66,257.89,,,292.11,270.07,270.75,255.38,,,,,,334.45,,,,339.26,,,,
2000-09-04 22:11:34+00:00,,,,,,244.24,297.62,248.19,351.95,330.1625,,332.825,291.89,344.51,356.71,361.22,352.8833333333334,341.425,359.24,345.57,,,,,,307.29,,,,,356.87,,,,,,,342.88,198.94,193.25,192.8,233.365,162.65,323.63,301.09,,307.76,305.84,,,,,303.8,,301.22,269.08,264.47,,219.66,257.89,,,292.11,270.07,270.75,255.38,,317.6,,337.45,322.56,339.895,,,,339.26,,,318.49,
2000-09-20 22:11:14+00:00,,,,,270.65,261.745,293.32,251.09,351.95,331.686,347.98,337.95,297.33666666666664,338.61,352.8666666666666,355.98333333333335,351.635,337.942,352.305,339.35,,,,325.26,,307.29,,,,,356.87,,,,,,,342.88,198.94,193.25,192.8,233.365,162.65,323.63,301.09,,307.76,305.84,,,,,303.8,,301.22,269.08,264.47,,219.66,257.89,,,292.11,270.07,270.75,255.38,,317.6,,341.655,333.255,340.6933333333333,337.9,345.03,,339.26,,,320.655,
2000-12-18 22:05:01+00:00,,,,,270.65,261.745,293.32,251.09,351.56,332.548,347.98,346.78499999999997,304.375,332.71,352.41499999999996,354.85,348.3066666666667,330.54,352.305,339.35,,,,325.26,,307.29,,,,,356.87,,,,,,,342.88,,,,287.07,,323.63,301.09,,307.76,305.84,,,,,303.8,,301.22,,,,,,,,,,,,,317.6,,341.655,333.255,340.6933333333333,337.9,345.03,,339.26,,,320.655,
2001-01-03 22:05:00+00:00,,,,299.0,255.375,270.245,284.78499999999997,273.0566666666667,,329.93199999999996,340.69500000000005,341.62000000000006,315.5233333333333,333.17499999999995,345.03,344.42499999999995,341.90333333333336,326.2525,343.22,331.315,,,,335.345,,317.8,,,,,,,,,,334.15,,337.27,285.98,277.01,311.89,308.15999999999997,,307.14,302.745,,307.76,305.84,,,,,303.8,,301.22,248.07,,258.21,251.22,250.45,,,,275.56,277.86,242.16,,316.905,,328.13,328.9633333333333,337.03,333.09,345.03,,,,,320.655,
2001-02-20 22:05:00+00:00,,,,299.0,255.375,270.245,284.78499999999997,273.0566666666667,,336.22249999999997,340.69500000000005,343.265,321.51,334.8833333333333,346.70666666666665,347.53666666666663,347.1666666666667,335.4375,343.22,331.315,,,,335.345,,317.8,198.19,184.23,213.21,203.51,,,,,,334.15,,337.27,285.98,277.01,311.89,308.15999999999997,,307.14,302.745,,307.76,305.84,,,,,303.8,,301.22,248.07,,258.21,251.22,250.45,,,,275.56,277.86,242.16,,316.905,,328.13,328.9633333333333,337.03,333.09,345.03,,,,,320.655,
