dates,nzd0521-0000,nzd0521-0010,nzd0521-0011,nzd0521-0012,nzd0521-0013,nzd0521-0014,nzd0521-0015,nzd0521-0016,nzd0521-0026,nzd0521-0027,nzd0521-0028,nzd0521-0029,nzd0521-0030,nzd0521-0031,nzd0521-0032,nzd0521-0033,nzd0521-0034,nzd0521-0035,nzd0521-0036,nzd0521-0037,nzd0521-0038,nzd0521-0039,nzd0521-0041,nzd0521-0042,nzd0521-0043,nzd0521-0044,nzd0521-0045,nzd0521-0046,nzd0521-0047,nzd0521-0048,nzd0521-0049,nzd0521-0050,nzd0521-0051,nzd0521-0052,nzd0521-0053,nzd0521-0054,nzd0521-0055,nzd0521-0056,nzd0521-0057,nzd0521-0058,nzd0521-0059,nzd0521-0060,nzd0521-0061,nzd0521-0062,nzd0521-0063,nzd0521-0064,nzd0521-0065,nzd0521-0069,nzd0521-0070,nzd0521-0071,nzd0521-0078,nzd0521-0079,nzd0521-0080,nzd0521-0081,nzd0521-0082,nzd0521-0083,nzd0521-0084,nzd0521-0085,nzd0521-0086,nzd0521-0087,nzd0521-0089,nzd0521-0090,nzd0521-0091,nzd0521-0092,nzd0521-0093,nzd0521-0094,nzd0521-0095,nzd0521-0096,nzd0521-0097,nzd0521-0098,nzd0521-0099,nzd0521-0100,nzd0521-0066,nzd0521-0067,nzd0521-0068,nzd0521-0072,nzd0521-0073,nzd0521-0074,nzd0521-0075,nzd0521-0076,nzd0521-0077,nzd0521-0001,nzd0521-0020,nzd0521-0021,nzd0521-0022,nzd0521-0023,nzd0521-0003,nzd0521-0004,nzd0521-0005,nzd0521-0006,nzd0521-0007,nzd0521-0008,nzd0521-0009,nzd0521-0017,nzd0521-0018,nzd0521-0019,nzd0521-0025,nzd0521-0040,nzd0521-0088,nzd0521-0002,nzd0521-0024,satname
1999-08-17 22:13:37+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.69,,,,,,,,,,,,,,,,,,,,L7
1999-12-07 22:13:41+00:00,,,,,,,,,351.05,347.59,344.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.69,,,,,,,,,,,,,354.83,,,,,,,L7
2000-05-08 22:06:44+00:00,,,,,,,,,351.05,352.69,350.07,349.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.9,415.71,431.85,,,,,,,,,,,,,,,,,,,,324.97,,,,,,,,354.83,,,,,,,L7
2000-05-15 22:12:54+00:00,211.54,,,,,,,,351.05,352.69,350.07,349.27,,,,,,326.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.9,415.71,431.85,,,,,,,,,,,,,,,,,,,,324.97,,,,,,,,354.83,,,,,,,L7
2000-06-25 22:06:19+00:00,255.20499999999998,,,,,,,,,357.79,355.4,349.27,,,,,,325.56,,,316.38,319.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.765,424.435,431.85,,,,,,,,,,,,,,,242.58,,,,,324.97,,,,,,,,,,,,,,,L7
2000-09-20 22:11:14+00:00,255.20499999999998,,297.03,,,,354.91,348.7,334.09,347.15999999999997,344.88,336.605,324.92,315.86,305.57,300.64,301.04,309.7033333333333,,305.63,312.175,319.79,300.65,311.29,312.59,301.7,,,,287.73,292.69,285.46,,277.18,,,,,,276.41,,303.19,301.89,295.92,290.86,298.12,,,,,,,,,,,,,,,355.57,356.84,349.99,366.51,399.49666666666667,424.435,431.85,,,,,,,,,,,,,,,242.58,347.68,332.41,326.8,343.8,314.535,326.8,332.47,,,,,347.33,332.56,305.69,336.79,303.58,375.06,,341.5,L7
2000-12-18 22:05:01+00:00,298.87,,297.03,318.93,338.52,,358.285,352.06,334.09,336.53,338.31,331.525,328.985,322.385,311.15999999999997,303.6,299.90999999999997,294.1933333333333,297.47,311.99,313.73333333333335,317.055,301.63,313.57500000000005,312.59,301.7,,,,290.18,292.69,291.855,305.81,292.28499999999997,310.95,268.0,270.29,273.17,283.68,283.85,,303.19,301.89,302.425,297.5,296.9,,,,,,,,,,,,,,,355.57,356.84,352.765,366.01,395.05,422.855,,,,,,,,,,,,,,,,242.58,346.16499999999996,338.285,331.045,347.945,315.91,336.865,332.47,,,357.22,366.98,347.33,332.56,322.14,336.79,306.595,375.06,,341.5,L7
2001-04-16 22:10:54+00:00,,,,318.93,338.52,,361.66,355.42,,357.71,342.26,339.11,333.05,328.91,316.75,306.56,298.78,280.085,303.22,318.35,316.85,314.32,302.61,315.86,,,,,,292.63,,298.25,305.81,307.39,310.95,268.0,270.29,273.17,283.68,291.29,,,,308.93,304.14,295.68,,,,,,,,,,,,,,,,,355.54,365.51,381.56,412.55,,,,,,,,,,,,,,,,,344.65,344.16,335.29,352.09,327.72,346.93,,,,357.22,366.98,,,338.59,,309.61,,368.55,,L7
2001-08-15 22:03:26+00:00,,,,,,,,,351.59,356.66999999999996,346.76,,,,,,,280.385,308.95000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.55,327.02,,,,,,,,,368.37,366.16,360.18,372.13,381.95,,,424.66,,,,,,,,,,327.83,320.12,314.47,,,,,,,333.2,,,,,,,,,,,,382.96,368.55,,L7
2002-04-12 22:03:25+00:00,,,330.66,328.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.16,329.26,304.74,,,,,,,329.27,,,,,,,,,,,,,,,L7
