dates,nzd0522-0000,nzd0522-0008,nzd0522-0009,nzd0522-0010,nzd0522-0011,nzd0522-0035,nzd0522-0036,nzd0522-0037,nzd0522-0038,nzd0522-0039,nzd0522-0040,nzd0522-0041,nzd0522-0042,nzd0522-0043,nzd0522-0044,nzd0522-0045,nzd0522-0046,nzd0522-0047,nzd0522-0048,nzd0522-0049,nzd0522-0050,nzd0522-0051,nzd0522-0052,nzd0522-0053,nzd0522-0054,nzd0522-0055,nzd0522-0056,nzd0522-0057,nzd0522-0058,nzd0522-0059,nzd0522-0060,nzd0522-0061,nzd0522-0062,nzd0522-0063,nzd0522-0064,nzd0522-0065,nzd0522-0066,nzd0522-0067,nzd0522-0068,nzd0522-0069,nzd0522-0070,nzd0522-0071,nzd0522-0072,nzd0522-0073,nzd0522-0074,nzd0522-0075,nzd0522-0076,nzd0522-0077,nzd0522-0078,nzd0522-0079,nzd0522-0080,nzd0522-0081,nzd0522-0093,nzd0522-0094,nzd0522-0095,nzd0522-0112,nzd0522-0113,nzd0522-0114,nzd0522-0115,nzd0522-0132,nzd0522-0133,nzd0522-0134,nzd0522-0135,nzd0522-0136,nzd0522-0137,nzd0522-0155,nzd0522-0156,nzd0522-0157,nzd0522-0158,nzd0522-0159,nzd0522-0160,nzd0522-0161,nzd0522-0162,nzd0522-0168,nzd0522-0169,nzd0522-0170,nzd0522-0171,nzd0522-0173,nzd0522-0174,nzd0522-0175,nzd0522-0176,nzd0522-0177,nzd0522-0178,nzd0522-0179,nzd0522-0180,nzd0522-0181,nzd0522-0182,nzd0522-0183,nzd0522-0184,nzd0522-0185,nzd0522-0186,nzd0522-0187,nzd0522-0188,nzd0522-0189,nzd0522-0190,nzd0522-0191,nzd0522-0192,nzd0522-0210,nzd0522-0211,nzd0522-0212,nzd0522-0001,nzd0522-0002,nzd0522-0003,nzd0522-0004,nzd0522-0006,nzd0522-0007,nzd0522-0084,nzd0522-0085,nzd0522-0086,nzd0522-0143,nzd0522-0144,nzd0522-0145,nzd0522-0146,nzd0522-0147,nzd0522-0148,nzd0522-0149,nzd0522-0150,nzd0522-0151,nzd0522-0152,nzd0522-0153,nzd0522-0154,nzd0522-0193,nzd0522-0194,nzd0522-0195,nzd0522-0196,nzd0522-0197,nzd0522-0198,nzd0522-0199,nzd0522-0200,nzd0522-0201,nzd0522-0202,nzd0522-0203,nzd0522-0204,nzd0522-0205,nzd0522-0206,nzd0522-0207,nzd0522-0208,nzd0522-0209,nzd0522-0213,nzd0522-0214,nzd0522-0215,nzd0522-0216,nzd0522-0217,nzd0522-0218,nzd0522-0219,nzd0522-0220,nzd0522-0221,nzd0522-0222,nzd0522-0223,nzd0522-0224,nzd0522-0225,nzd0522-0226,nzd0522-0227,nzd0522-0228,nzd0522-0229,nzd0522-0230,nzd0522-0231,nzd0522-0232,nzd0522-0233,nzd0522-0234,nzd0522-0235,nzd0522-0236,nzd0522-0237,nzd0522-0238,nzd0522-0239,nzd0522-0005,nzd0522-0012,nzd0522-0013,nzd0522-0014,nzd0522-0015,nzd0522-0016,nzd0522-0098,nzd0522-0099,nzd0522-0100,nzd0522-0101,nzd0522-0102,nzd0522-0110,nzd0522-0111,nzd0522-0116,nzd0522-0117,nzd0522-0118,nzd0522-0119,nzd0522-0120,nzd0522-0121,nzd0522-0125,nzd0522-0126,nzd0522-0127,nzd0522-0128,nzd0522-0129,nzd0522-0130,nzd0522-0139,nzd0522-0140,nzd0522-0141,nzd0522-0142,nzd0522-0163,nzd0522-0165,nzd0522-0166,nzd0522-0167,nzd0522-0172,nzd0522-0082,nzd0522-0087,nzd0522-0088,nzd0522-0089,nzd0522-0090,nzd0522-0164,nzd0522-0017,nzd0522-0018,nzd0522-0019,nzd0522-0020,nzd0522-0021,nzd0522-0022,nzd0522-0023,nzd0522-0024,nzd0522-0025,nzd0522-0026,nzd0522-0027,nzd0522-0028,nzd0522-0083,nzd0522-0131,nzd0522-0138,nzd0522-0029,nzd0522-0030,nzd0522-0031,nzd0522-0032,nzd0522-0034,nzd0522-0096,nzd0522-0097,nzd0522-0122,nzd0522-0123,nzd0522-0124,nzd0522-0033,nzd0522-0091,nzd0522-0108,nzd0522-0109,nzd0522-0103,nzd0522-0092,nzd0522-0104,nzd0522-0105,nzd0522-0106,nzd0522-0107
1999-12-30 22:19:45+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.77,240.78,,,201.07,,217.14,,272.14,227.27,220.11,203.0,,221.72,205.97,187.68,246.11,246.98,,209.11,214.72,218.64,230.81,244.89,242.65,194.19,210.62,205.36,250.78,253.46,267.92,257.19,,243.59,228.11,230.73,201.04,,,,,,,,,,,,,,190.34,246.86,274.95,294.85,,,,,,,237.44,259.57,259.28,,,,,,,287.49,251.16,,,,,214.05,,,189.0,251.83,,,249.93,,277.13,,,,,233.85,,,,356.23,358.19,,,,,,,276.07,236.72,251.75,,,272.61,,,,,,,,,,,,,,211.23,172.26,194.84,,,,230.83,234.69,,,,315.52,284.77,239.13,,194.65,209.51,235.69,207.19,,244.22,,196.63,258.99,,,216.37,,,,,,,,,,,,,,251.25,254.02,,,,,,,,,,173.84,,,,,,,,,,
2000-05-22 22:18:57+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.77,240.78,,,201.07,,217.14,,272.14,227.27,220.11,203.0,,221.72,205.97,187.68,246.11,246.98,,209.11,214.72,218.64,230.81,244.89,242.65,194.19,210.62,205.36,250.78,253.46,267.92,257.19,,243.59,228.11,230.73,201.04,,,,,,,,,,,,,,190.34,246.86,274.95,294.85,,,,,,,237.44,259.57,259.28,,,,,,,287.49,251.16,,267.31,,325.71,214.05,,,189.0,251.83,,,249.93,,277.13,,,,,233.85,,,,356.23,358.19,,,,,,,276.07,236.72,251.75,,,272.61,,,,,,,,,,,,,,211.23,172.26,194.84,,,,230.83,234.69,,,,315.52,284.77,239.13,,194.65,209.51,235.69,207.19,,244.22,,196.63,258.99,,,216.37,,,,,,,,,,,,,,251.25,254.02,,,,,,,,,,173.84,,,,,,,,,,
2000-09-27 22:17:24+00:00,,,,,,,,,,,,,,,,,,,245.99,180.16,239.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.63,,228.15,202.54,220.34,205.81,,,,,199.32,,263.67,,223.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.16,272.62,,,,313.35,,,,,313.73,284.74,,263.89,,325.71,219.04,,,,,250.01,,196.87,,,,306.37,201.1,172.92,206.01,210.93,,,,,,,,,,228.88,,,,,,,,,,,,,,,,,,,,216.42,207.19,195.99,,,,290.96,225.94,178.5,,,,,,,,,,,,,,,,,250.0,,,,,,,,,,,,,,278.44,,,,,,,,,,,,255.27,,,,,,,,,,
2000-10-29 22:17:19+00:00,,,,,,,,,,,,,,,,,170.61,208.27,216.325,185.365,232.325,230.14,203.47,225.33,,,,178.89,223.86,265.01,296.38,,,,,164.89,172.24,208.49,200.75,266.03,,,,,212.7,250.05,,,228.995,180.03,203.535,192.20999999999998,220.34,205.81,250.71,,,205.77,208.84,279.12,281.775,171.47,204.79000000000002,,,219.19,215.52,215.65,208.66,223.97,213.64,202.96,231.25,,,291.56,,207.26,228.95,240.49,227.34,224.63,184.5,236.22,232.32,237.67,204.91,257.14,,,,276.08,,,,,,189.24,212.66,,,,,,,,192.28,209.11,201.99,239.05,249.94,269.7,,269.96,,262.93,296.55,239.16,272.62,231.16,220.84,,315.49,198.84,,,174.74,313.73,284.74,186.95,250.66666666666666,,271.84,234.82,235.5,250.77,209.23,178.01,264.75,,248.225,,296.35,319.62,313.855,233.91500000000002,211.65499999999997,224.0,235.97,294.91,273.96,251.75,239.11,231.31,231.81,228.11,224.55,,244.95499999999998,258.18,276.46,213.85,238.68,251.56,263.95,,,,,,,174.85,167.44,205.59,211.09,175.3,205.79,,228.33999999999997,210.70999999999998,185.625,,,,269.63,211.58499999999998,208.655,317.31,292.83,264.91,,,,195.42,315.55,,,,221.65,180.43,181.16,226.6,204.43,231.135,,,,,,,,,,,,,,230.265,296.18,,,,,,,,168.59,172.19,235.49,267.565,,316.39,,194.36,184.49,,197.01,171.44,189.4,
2001-03-22 22:17:09+00:00,,,,,,,,,,,,,,,,,170.61,208.27,216.325,185.365,232.325,230.14,203.47,225.33,,,,178.89,223.86,265.01,296.38,,,,,164.89,172.24,208.49,200.75,266.03,,,,,212.7,250.05,,,228.995,180.03,203.535,192.20999999999998,220.34,205.81,250.71,,,205.77,208.84,279.12,242.75333333333333,186.85500000000002,197.35333333333332,,,219.19,215.52,215.65,208.66,223.97,213.64,202.96,231.25,,,291.56,,205.505,220.48,240.49,227.34,224.63,184.5,236.22,232.32,237.67,204.91,257.14,,,,276.08,,,,,,189.24,212.66,,,,,,,,192.28,213.255,201.99,239.05,249.94,269.7,,269.96,,262.93,296.55,239.16,272.62,231.16,220.84,,315.49,198.84,,,174.74,313.73,284.74,186.95,242.345,,217.97,234.82,235.5,250.77,209.23,178.01,264.75,,248.225,,296.35,319.62,313.855,233.91500000000002,211.65499999999997,224.0,235.97,294.91,273.96,251.75,239.11,231.31,231.81,228.11,224.55,,244.95499999999998,258.18,276.46,213.85,238.68,251.56,263.95,,,,,,,174.85,167.44,205.59,211.09,175.3,205.79,,228.33999999999997,210.70999999999998,185.625,,192.62,217.34,269.63,203.17999999999998,208.8166666666667,263.54,230.265,227.38500000000002,,,,195.42,315.55,,,,235.10000000000002,180.43,228.495,208.31,204.43,231.135,,,,,,,,,,,,,,218.30666666666664,287.27,,,,,,,,168.59,184.135,219.125,267.565,,316.39,,194.36,184.49,,197.01,171.44,189.4,
2001-04-07 22:17:01+00:00,,,,,,,,,,,,,,,,,170.61,208.27,186.66,190.57,225.24,230.14,203.47,225.33,,,,178.89,231.23000000000002,228.855,306.705,329.58,282.69,216.74,202.11,186.325,204.46,208.49,200.75,266.03,,,,,212.7,250.05,273.12,254.41,213.29000000000002,222.42000000000002,210.845,198.01,,,250.71,,,205.77,218.36,293.41499999999996,259.15333333333336,213.76333333333332,184.10999999999996,,301.3,219.19,215.52,215.65,208.66,223.97,275.485,202.96,231.25,290.21,291.92,291.56,,227.99666666666667,230.84333333333333,240.49,227.34,224.63,184.5,236.22,232.32,237.67,204.91,257.14,,318.17,246.95,276.08,,,,,,189.24,212.66,,,,,,,,192.28,213.255,201.99,239.05,249.94,269.7,,287.53,,289.44,296.62,285.45,261.96,231.16,220.84,,317.63,198.84,,,174.74,,,186.95,224.22,,217.97,250.6,235.5,250.77,209.23,178.01,279.49,,299.58,,296.35,319.62,321.34,266.73,250.39,241.99,261.01,294.91,273.96,251.75,239.11,231.31,231.81,228.11,224.55,,261.03,258.18,276.46,213.85,238.68,251.56,263.95,,,,,,,174.85,167.44,205.59,211.09,175.3,205.79,,240.26,214.23,175.26,,192.62,217.34,248.3,191.79999999999998,223.97500000000002,263.54,230.265,227.38500000000002,268.1,240.45,289.33,195.42,315.55,334.05,314.3,,235.10000000000002,188.265,228.495,208.31,204.43,212.27,,,,,,,,,,,,,,188.23999999999998,287.27,260.05,,,,,,,168.59,184.135,219.125,279.86,,316.39,,194.36,184.49,,197.01,171.44,189.4,
2001-12-19 22:15:37+00:00,,304.6,225.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.44,,,,,,,,,,,,,,,,,,,,,,,,,233.74,192.27,180.81,210.27,220.69,187.31,175.99,196.94,206.63,,,270.89,256.63,,,,,,,,,,,,,,,,197.21,206.31,191.11,178.9,172.57,159.68,,,199.19,,,185.34,,,156.55,225.53,215.25,222.5,210.23,208.15,,,218.24,,,179.21,202.88,220.7,201.04,202.1,232.04,184.92,245.54,248.09,210.79,244.3,260.63,225.6,184.59,171.74,,219.16,,209.84,223.83,227.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-07-31 22:15:11+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.02,,262.15,,,,,,241.09,204.1,,,,,,,,,,,,,,,,,,252.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.94,,,,,,,,,,,,,,,,,,291.69,293.0,,,,,,,,,,,,,,321.68,,,,,,,,,,,,,,,198.65,,,,,,,271.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-24 22:15:37+00:00,,,,,,,258.18,,,,,,,,,,,,,,,,,,,,188.72,222.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-13 22:15:43+00:00,,,,,,,258.18,,,,,,,,,,,,,,,,,,,,188.72,222.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.24,203.31,187.15,,,,157.59,,231.15,,,,191.39,218.66,220.76,216.46,221.19,239.46,222.26,204.06,,244.25,262.73,301.76,313.93,258.94,241.17,250.22,283.96,302.17,327.29,,279.525,,,306.05,313.64,327.77,332.91,340.71,,,255.76,282.96,,,,,,,,,,225.95,231.5,,262.98,299.67,,220.58,,214.93,194.02,,,,,333.35,315.84,,233.05,,,225.18,215.24,242.07,281.75,,,288.3,241.44,255.27,262.99,345.37,,366.45,,233.75,,,,,,,,,,,,221.87,183.02,211.38,248.77,261.35,254.56,237.51,,210.01,,,,,,,,,,,273.92,170.09,,,160.39,242.1,264.92,246.25,233.51,240.23,,,,,,,220.26,263.62,,228.85,319.69,213.53,249.79,231.64,225.46,,,,,,335.98,,,,,,,,,,,,,,,230.07,,,,,,,,,,,,,255.73,251.4,265.95,,243.31,239.78,241.75,234.0
