dates,satname,nzd0524-0000,nzd0524-0001,nzd0524-0002,nzd0524-0003,nzd0524-0004,nzd0524-0005,nzd0524-0006,nzd0524-0007,nzd0524-0008,nzd0524-0009,nzd0524-0010,nzd0524-0011,nzd0524-0012,nzd0524-0013,nzd0524-0014,nzd0524-0015,nzd0524-0016,nzd0524-0017,nzd0524-0019,nzd0524-0020,nzd0524-0021,nzd0524-0022,nzd0524-0023,nzd0524-0024,nzd0524-0025,nzd0524-0026,nzd0524-0027,nzd0524-0028,nzd0524-0029,nzd0524-0030,nzd0524-0031,nzd0524-0032,nzd0524-0033,nzd0524-0034,nzd0524-0035,nzd0524-0036,nzd0524-0037,nzd0524-0038,nzd0524-0039,nzd0524-0040,nzd0524-0041,nzd0524-0042,nzd0524-0043,nzd0524-0044,nzd0524-0045,nzd0524-0046,nzd0524-0047,nzd0524-0048,nzd0524-0049,nzd0524-0050,nzd0524-0051,nzd0524-0052,nzd0524-0053,nzd0524-0054,nzd0524-0055,nzd0524-0056,nzd0524-0057,nzd0524-0058,nzd0524-0059,nzd0524-0060,nzd0524-0018
1999-11-05 22:13:40.966000,L7,,309.34,320.11,323.81,319.49,311.29,321.52,331.88,321.46,326.38,,,,,,,,,,325.26,330.76,334.04,339.00,338.38,340.33,325.06,,,,301.79,317.36,328.48,337.95,329.00,338.35,338.16,342.87,329.49,345.29,355.00,344.09,340.94,334.97,335.20,315.32,320.72,304.77,310.63,303.44,,,,,,,,,,,,
1999-12-07 22:13:41.663000,L7,,376.74,390.74,335.99,329.36,315.56,326.71,328.50,330.02,326.81,329.78,322.99,322.25,324.85,323.43,315.86,325.10,346.28,337.21,388.03,404.64,376.01,367.90,,,,411.06,407.43,405.34,419.68,412.56,408.55,395.96,395.51,408.35,361.04,370.03,376.10,379.25,389.09,396.34,346.51,373.92,377.68,373.55,379.63,375.74,365.60,355.65,346.07,316.94,,,369.53,342.21,333.82,332.22,331.43,328.84,345.98,
1999-12-16 22:07:33.708000,L7,357.56,320.21,326.56,333.65,328.30,320.80,329.41,324.82,330.03,324.22,324.71,315.47,316.91,320.91,320.46,312.20,325.89,344.62,333.97,298.84,336.68,341.19,356.12,353.65,352.66,349.39,345.35,337.61,345.89,342.74,338.70,346.86,349.57,346.95,350.45,357.98,364.70,333.86,366.13,361.03,349.16,367.93,333.63,335.53,332.55,323.45,319.61,305.44,312.91,319.10,314.71,340.07,340.24,334.10,327.41,323.29,321.36,325.70,322.77,348.20,
2000-05-08 22:06:44.900000,L7,357.62,300.37,290.54,296.20,290.39,277.58,334.70,337.31,331.11,314.90,290.16,318.65,323.11,314.77,298.37,293.17,333.47,351.01,,344.01,344.96,339.05,340.10,366.43,334.50,361.92,349.58,343.59,327.35,309.80,310.33,335.55,343.97,322.97,341.50,334.15,342.02,332.28,338.58,345.68,349.76,336.06,337.75,342.07,341.14,335.80,354.47,334.89,325.63,332.62,316.88,338.64,348.88,340.53,324.55,312.88,310.37,311.13,306.66,339.42,
2000-05-15 22:12:54.183000,L7,357.59,303.49,293.90,296.31,287.21,267.50,323.68,325.87,308.22,293.57,295.19,307.18,312.17,299.79,292.75,294.46,330.93,313.15,,,,,,,,,,,303.16,311.15,309.18,320.44,337.43,311.45,331.50,324.94,329.56,331.27,337.91,358.11,329.86,340.72,336.60,345.96,341.36,338.99,332.09,335.48,334.02,330.43,300.83,336.60,361.69,359.63,332.91,298.94,308.63,303.55,308.08,336.13,
2000-06-16 22:12:38.425000,L7,368.28,305.14,297.46,298.12,293.92,275.89,315.32,333.84,305.92,285.60,284.05,319.96,318.84,335.74,295.44,298.17,341.99,329.60,,,,,,,,,,291.48,303.08,305.30,311.20,318.83,327.61,322.27,332.88,323.72,328.66,331.79,342.52,337.44,339.77,328.70,346.38,356.15,336.29,313.10,303.65,299.91,327.92,331.02,316.33,334.73,314.26,298.74,285.50,296.21,321.59,285.96,277.84,337.94,
2000-09-20 22:11:14.930000,L7,370.85,322.02,315.58,316.69,304.11,288.61,296.37,324.37,314.57,314.71,280.46,311.29,315.51,312.59,314.65,,,,,,,,,,,314.29,317.77,310.77,304.12,308.31,309.00,323.43,329.96,332.37,334.18,332.26,338.99,333.44,341.60,354.68,318.84,329.73,335.62,342.12,329.60,302.36,293.35,299.77,300.09,308.27,310.44,325.63,309.70,295.05,272.36,273.56,294.48,288.05,273.07,292.58,
2000-12-18 22:05:01.704000,L7,379.58,377.00,376.69,,348.64,386.59,367.78,382.00,385.82,381.57,371.58,355.76,359.78,358.50,358.41,363.29,362.95,,435.50,406.64,402.47,395.83,342.96,354.29,372.58,375.31,370.48,363.40,370.21,383.16,368.53,375.87,356.21,397.52,378.93,383.19,347.15,384.48,395.91,407.55,378.00,400.75,385.23,385.37,387.64,371.93,354.34,352.80,353.01,352.84,327.00,356.26,351.69,,,,,,,,363.64
2001-01-03 22:05:00.181000,L7,,363.87,373.17,368.27,364.75,371.36,370.84,347.41,377.65,372.91,369.38,363.63,365.51,366.69,358.39,361.31,365.70,,371.88,361.99,348.82,362.31,,,,415.58,411.28,405.02,397.23,383.54,396.08,402.34,404.22,417.15,,,,403.39,372.48,377.85,396.57,369.88,376.40,375.31,358.21,330.42,372.61,318.90,343.80,350.20,354.39,,,,,,,,,,377.18
2001-02-11 22:11:12.788000,L7,,351.78,334.05,330.44,330.84,318.82,321.73,333.18,335.15,343.54,335.06,330.72,327.59,331.77,331.20,318.94,330.26,383.98,390.21,405.28,427.34,423.88,409.99,401.75,396.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.43
