dates,nzd0524-0000,nzd0524-0001,nzd0524-0002,nzd0524-0003,nzd0524-0004,nzd0524-0005,nzd0524-0006,nzd0524-0007,nzd0524-0008,nzd0524-0009,nzd0524-0010,nzd0524-0011,nzd0524-0012,nzd0524-0013,nzd0524-0014,nzd0524-0015,nzd0524-0016,nzd0524-0017,nzd0524-0019,nzd0524-0020,nzd0524-0021,nzd0524-0022,nzd0524-0023,nzd0524-0024,nzd0524-0025,nzd0524-0026,nzd0524-0027,nzd0524-0028,nzd0524-0029,nzd0524-0030,nzd0524-0031,nzd0524-0032,nzd0524-0033,nzd0524-0034,nzd0524-0035,nzd0524-0036,nzd0524-0037,nzd0524-0038,nzd0524-0039,nzd0524-0040,nzd0524-0041,nzd0524-0042,nzd0524-0043,nzd0524-0044,nzd0524-0045,nzd0524-0046,nzd0524-0047,nzd0524-0048,nzd0524-0049,nzd0524-0050,nzd0524-0051,nzd0524-0052,nzd0524-0053,nzd0524-0054,nzd0524-0055,nzd0524-0056,nzd0524-0057,nzd0524-0058,nzd0524-0059,nzd0524-0060,nzd0524-0018,satname
1999-12-07 22:13:41+00:00,,,,335.99,329.36,315.56,326.71,328.5,330.02,326.81,329.78,322.99,322.25,324.85,323.43,315.86,325.1,346.28,337.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.94,,,,,,,,,,,L7
1999-12-16 22:07:33+00:00,,320.21,326.56,334.82,328.83000000000004,318.18,328.06,326.65999999999997,330.025,325.515,327.245,319.23,319.58000000000004,322.88,321.945,314.03,325.495,345.45,335.59000000000003,,336.68,,,,,,,,,,,,,,,,,,,,,,,,332.55,323.45,319.61,305.44,312.91,319.1,315.825,,,,,,,,,,,L7
2000-05-08 22:06:44+00:00,,310.28999999999996,308.55,321.94666666666666,316.01666666666665,304.6466666666667,330.2733333333333,330.21,330.38666666666666,321.9766666666667,314.8833333333333,319.0366666666667,320.75666666666666,320.1766666666667,314.08666666666664,307.07666666666665,328.15333333333336,347.3033333333333,335.59000000000003,344.01,340.82,339.05,340.1,,,,,,,,,,,,,,,332.28,,,,,,,332.55,323.45,319.61,305.44,312.91,319.1,316.1766666666667,,,,,,,,,,,L7
2000-05-15 22:12:54+00:00,,308.0233333333333,303.6666666666667,315.5375,308.815,295.36,328.625,329.125,324.845,314.875,309.96,316.0725,318.61,315.08000000000004,308.7525,303.9225,328.8475,338.765,335.59000000000003,344.01,340.82,339.05,340.1,,,,,,303.16,,309.18,,,311.45,,324.94,329.56,331.775,337.91,,329.86,,,,332.55,323.45,319.61,305.44,312.91,319.1,312.34,,,,,,,,,,,L7
2000-06-16 22:12:38+00:00,,303.0,293.9666666666667,296.87666666666667,290.50666666666666,273.6566666666667,324.56666666666666,332.34,315.0833333333333,298.02333333333337,289.8,315.2633333333333,318.03999999999996,316.7666666666667,295.52,295.2666666666667,335.46333333333337,331.25333333333333,,344.01,344.96,339.05,340.1,,,,,,303.16,,309.18,,,311.45,,324.33000000000004,329.56,331.775,337.91,,329.86,,,,,,303.65,299.91,,,308.85499999999996,,,,,,,,,,,L7
2000-09-20 22:11:14+00:00,,303.0,299.37,301.83,293.90749999999997,277.395,317.5175,330.3475,314.95500000000004,302.195,287.465,314.27,317.40749999999997,315.7225,300.3025,295.2666666666667,335.46333333333337,331.25333333333333,,344.01,344.96,339.05,340.1,,,,,,303.16,,309.09000000000003,,,311.45,334.18,326.97333333333336,334.275,332.33,339.755,354.68,324.35,329.73,335.62,342.12,329.6,302.36,298.5,299.84000000000003,300.09,308.27,309.3833333333333,,,295.05,272.36,273.56,,288.05,273.07,292.58,,L7
2001-04-16 22:10:54+00:00,,307.63,325.34,323.75,316.75,319.5,329.17,326.15,331.53,331.34,,324.69,321.36,324.66,316.39,305.93,327.32,335.66,335.41,,340.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-08-15 22:03:26+00:00,,308.185,325.21,310.245,305.53,319.5,333.5,329.255,330.68499999999995,316.895,,324.885,320.415,320.865,309.12,305.93,327.32,335.66,335.41,,340.63,,,,,,,,,,,,,,,,,,,,,,,,,,,299.92,,,310.99,,311.52,287.13,,,,271.26,273.55,300.71,,L7
2002-05-14 22:03:19+00:00,,328.31,332.72,335.59,329.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.38,,,,,,330.75,328.75,330.3,,327.82,338.8,,,,,,,,,,L7
2002-06-15 22:03:07+00:00,,328.31,332.72,308.455,299.29999999999995,,,,295.03,286.35,276.97,298.55,315.42,300.04,295.1,,,,334.3,,337.94,,327.93,,,,,,,,,,,,,321.51,329.17,332.87,345.29,352.23,335.71000000000004,328.47,,,,314.96,317.08000000000004,326.1,323.275,,327.82,340.52,325.52,315.68,309.94,,,,,,,L7
2002-08-09 22:08:57+00:00,,328.31,332.72,311.10999999999996,298.84666666666664,282.4,324.04,,295.03,286.35,276.97,298.55,315.42,300.04,304.71500000000003,,,,334.3,,339.825,,327.93,,309.33,,,296.81,300.22,,,,,,,321.51,329.17,335.045,347.58500000000004,354.36,338.17,334.46000000000004,343.82,341.43,336.72,326.27,320.2,325.3633333333333,323.9633333333333,,327.82,338.24333333333334,333.71500000000003,315.885,306.33500000000004,299.02,,289.18,290.45,305.56,,L7
