dates,nzd0528-0000,nzd0528-0001,nzd0528-0002,nzd0528-0003,nzd0528-0004,nzd0528-0017,nzd0528-0018,nzd0528-0019,nzd0528-0020,nzd0528-0021,nzd0528-0022,nzd0528-0023,nzd0528-0005,nzd0528-0006,nzd0528-0007,nzd0528-0008,nzd0528-0009,nzd0528-0010,nzd0528-0011,nzd0528-0012,nzd0528-0013,nzd0528-0014,nzd0528-0015,nzd0528-0016,nzd0528-0024,nzd0528-0025,nzd0528-0026,nzd0528-0027,nzd0528-0028,nzd0528-0032,nzd0528-0033,nzd0528-0034,nzd0528-0035,nzd0528-0036,nzd0528-0037,nzd0528-0038,nzd0528-0039,nzd0528-0040,nzd0528-0041,nzd0528-0042,nzd0528-0043,nzd0528-0044,nzd0528-0045,nzd0528-0046,nzd0528-0047,nzd0528-0048,nzd0528-0049,nzd0528-0050,nzd0528-0053,nzd0528-0054,nzd0528-0055,nzd0528-0056,nzd0528-0029,nzd0528-0030,nzd0528-0031,nzd0528-0051,nzd0528-0052,satname
1999-08-17 22:13:37+00:00,,,,293.58,,,284.89,281.81,280.63,295.07,299.94,311.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-12-07 22:13:41+00:00,,,,293.58,,,284.89,281.81,280.63,295.07,299.94,311.22,,,,,,,,,,,,,,,,,,,,,,,,,351.88,347.34,344.99,336.52,,,,,,,,,,,,,,,,,,L7
2000-05-08 22:06:44+00:00,,,322.26,308.47,339.26,,,,,,330.61,324.21,354.54,335.33,338.82,,,,,,312.78,,,,312.49,332.76,,327.13,,,,,,268.53,,,351.88,348.335,345.98,336.88,,,,,,,,315.29,,,,,333.72,323.15,306.26,,,L7
2000-06-16 22:12:38+00:00,,,327.35,308.47,339.26,,,,,312.14,328.03499999999997,324.21,343.79,335.33,338.82,,,,,,312.78,,,,312.49,332.76,,327.13,,,,,,268.53,,,,349.33,346.97,337.24,,,,,,,,315.29,,,,,333.72,323.15,306.26,,,L7
2000-09-20 22:11:14+00:00,,,327.35,308.47,339.26,,,,,312.14,331.91,332.65,343.79,335.33,338.82,322.09,328.36,,,,327.885,,,,324.235,335.395,330.93,325.46500000000003,,,,,,268.53,,,,349.33,346.97,333.70500000000004,327.24,322.89,327.15,326.99,330.14,327.5,,331.53499999999997,339.05,335.11,339.01,340.22,333.72,332.135,306.26,332.13,,L7
2001-01-03 22:05:00+00:00,,,,,,,,,,,339.66,341.09,,,,322.09,328.36,,,,342.99,,,,335.98,338.03,330.93,323.8,,,,,,,,,,345.56,,330.17,327.24,327.71500000000003,329.80499999999995,331.25,332.4,329.87,338.15,348.885,339.05,335.11,339.01,340.22,,341.12,,337.255,,L7
2001-07-14 22:03:57+00:00,,,323.77,,,288.71,295.24,294.67,287.85,300.8,306.53,,353.01,320.1,308.05,349.88,,,,329.74,315.25,307.53,310.15,297.74,,,,,,297.89,,,,257.85,,,,,,,,335.19,,289.06,286.6,273.41,315.68,,,,,,,329.28,302.77,,268.84,L7
2001-08-15 22:03:26+00:00,,,325.31,311.9,321.79,296.335,304.645,296.435,292.175,312.255,306.53,,349.81,331.25,320.70000000000005,349.88,346.24,342.88,343.85,333.73,318.77,307.53,316.41499999999996,301.84000000000003,318.95,,,,,297.89,,,,257.85,,,,,,326.28,304.49,328.935,322.21,301.28499999999997,288.92,278.84000000000003,323.0,323.05,,,,,344.96,333.655,304.485,,274.855,L7
2002-05-14 22:03:19+00:00,,,316.58,297.59,343.37,298.31,300.6,298.42,283.2,303.03,307.82,317.73,345.63,339.68,314.19,,343.03,,,,304.76,315.06,310.75,301.18,309.33,312.91,323.99,322.88,,,,,,,342.98,334.08,347.63,342.23,338.21,334.94,,,,326.15,326.45,300.85,,314.86,334.33,338.09,304.58,312.72,337.9,325.96,335.27,,286.23,L7
2002-06-15 22:03:07+00:00,,,317.04999999999995,297.59,343.37,298.31,300.6,298.42,283.2,299.04499999999996,305.615,317.73,345.63,328.125,314.19,,326.095,,336.09,,304.76,315.06,310.75,301.18,309.33,312.91,321.295,319.615,,311.47,,,,265.24,342.98,331.505,347.63,342.23,338.21,334.94,,,331.4,309.78999999999996,326.45,291.45500000000004,328.47,314.86,334.33,338.09,304.58,312.72,337.9,325.335,335.27,,286.23,L7
2002-09-10 22:08:43+00:00,,,317.04999999999995,297.59,343.37,298.31,300.6,298.42,283.2,299.04499999999996,305.615,317.73,349.325,328.125,314.19,,326.095,,336.09,,304.76,315.06,310.75,301.18,309.33,312.91,321.295,319.615,,311.47,,,,265.24,342.98,331.505,347.63,342.23,338.21,334.94,,,331.4,309.78999999999996,326.45,301.5466666666667,329.665,333.40999999999997,337.895,340.15999999999997,322.375,328.71000000000004,337.9,325.335,335.27,338.46,308.62,L7
2003-02-01 22:09:21+00:00,,,,353.11,363.07,,,,,,,,357.54999999999995,,,,,,,,,,,,344.74,,,,,,349.17,350.46,,,,348.08,,,,,,,,336.52,335.26,327.51,336.415,350.57,345.41999999999996,345.34000000000003,345.90999999999997,348.75,,,351.11,341.21,335.28499999999997,L7
2003-08-13 21:51:32+00:00,,,352.06,350.09,,,,,,,,,,,346.36,364.71,,,,,,,,,342.45,345.76,,,,,,358.84,359.64,349.97,350.25,356.04,354.61,349.5,350.02,336.16,331.64,329.8,336.86,340.79,333.77,335.17,345.51,340.48,354.56,,,339.32,357.59,359.06,342.56,349.72,352.31,L5
2003-08-29 21:51:49+00:00,,,352.06,350.09,,,,,,,,,,,350.615,364.71,,,,,,,,,342.45,345.76,,,,,,358.84,363.185,354.235,355.46500000000003,360.555,354.61,357.86,352.825,340.515,337.71,337.32,336.86,341.15999999999997,340.04499999999996,338.5,345.51,340.48,354.56,,,339.32,357.59,359.06,354.84000000000003,349.72,355.51,L5
2003-10-07 21:58:35+00:00,,,352.06,350.09,,,,,,,,,,,350.615,364.71,,,,,,,,,342.45,345.76,,337.38,,,366.76,362.13,363.62999999999994,355.21000000000004,357.1133333333334,360.555,354.61,357.86,352.825,344.96000000000004,341.1066666666666,341.51,344.27,344.40000000000003,343.8533333333333,342.15000000000003,351.16999999999996,348.225,354.56,,364.01,350.83500000000004,357.59,362.40999999999997,356.33,349.72,356.03,L5
2003-12-26 21:59:30+00:00,,,352.06,350.09,,,,,,,,,,,350.615,364.71,,,,,,,,,342.45,345.76,,337.38,,,364.305,360.75666666666666,361.515,355.21000000000004,357.1133333333334,360.555,354.61,357.86,355.2033333333333,346.6725,343.10249999999996,341.51,346.6233333333333,347.21500000000003,346.5225,344.8775,351.16999999999996,348.225,356.78999999999996,357.03,360.935,353.80333333333334,357.59,362.40999999999997,356.33,349.72,355.4,L5
2004-05-02 22:00:57+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.85,358.01,355.17,,,,,,359.96,351.81,349.09,,351.33,355.66,354.53,352.565,,352.5,359.02,358.745,361.595,354.565,,,,,353.51,L5
2004-05-18 22:01:26+00:00,,,340.94,334.89,,,,,,,,346.44,370.6,365.31,339.82,369.14,,,,,,,,,333.47,340.09,345.23,337.93,,,361.85,358.01,355.75,340.01,,,361.41,359.48,358.275,351.81,349.09,,349.53999999999996,354.62,351.855,351.03,,345.66499999999996,359.02,357.72333333333336,358.49,347.7266666666667,354.35,342.18,333.06,,353.51,L5
2004-06-12 21:55:59+00:00,,,338.555,330.895,,,,,,,338.48,340.58500000000004,370.6,365.31,335.4,369.485,,,,,349.94,,344.35,347.88,329.185,335.455,342.63,342.595,,,361.85,358.01,354.1933333333333,322.315,,,362.865,359.48,357.76,351.39,345.54499999999996,339.47,349.53,353.6233333333333,339.03666666666663,341.59,359.59,342.19,357.365,358.84499999999997,350.895,341.4225,353.52,340.32,330.54499999999996,,353.73,L5
2004-07-30 21:57:15+00:00,,,336.4633333333333,329.86999999999995,322.15,,,,,,338.48,340.58500000000004,356.345,353.32,334.07666666666665,364.3766666666667,,350.93,349.03,345.77,338.16499999999996,338.2,338.525,337.66999999999996,329.185,335.455,342.63,342.595,,286.07,,,353.7049999999999,322.315,,,362.865,359.48,356.65999999999997,350.97,342.0,339.47,348.63,352.6049999999999,331.28999999999996,337.76666666666665,359.59,342.19,355.71,359.45,348.57333333333327,335.31666666666666,345.81333333333333,334.6933333333333,330.54499999999996,,353.95,L5
2005-01-13 22:06:52+00:00,,,332.28,327.82,322.15,,,,,,,,342.09,341.33,331.43,354.16,,350.93,349.03,345.77,326.39,338.2,332.7,327.46,,,,,,286.07,,,,,,,,,,,,,,,,,,,,363.07,359.15,363.03,330.4,323.44,,370.98,365.88,L5
2005-02-14 22:07:21+00:00,,,,,,,,,,,,366.1,,,,,,,,,,,,,370.06,368.54,359.11,350.28,,,,359.63,361.83,,,355.17,361.04,359.26,355.96,345.38,339.34,341.28,348.84,355.86,355.46,353.02,360.87,368.09,367.87,366.06,363.965,367.16999999999996,,,,369.135,363.385,L5
2005-06-15 22:02:10+00:00,,,,,,311.52,314.54,339.95,301.66,350.93,325.92,351.83500000000004,,351.41,325.92,,,370.98,365.79,354.12,347.93,357.17,337.14,318.12,350.35,349.555,347.975,342.47,,339.15,362.19,358.18,361.83,289.72,,356.83000000000004,360.24,357.455,353.74,347.87,341.645,341.02,346.45,350.46500000000003,351.88,339.395,358.6,350.255,359.345,361.9266666666667,363.965,367.16999999999996,344.99,340.5,,369.135,363.385,L5
2005-06-22 22:08:22+00:00,,,,329.84,,311.52,314.54,339.95,301.66,350.93,334.71000000000004,351.76666666666665,,351.41,333.595,,,370.98,365.79,354.12,350.1,357.17,333.72,337.885,344.93,344.9266666666667,347.975,340.90000000000003,,349.61,368.15,362.62000000000006,360.42999999999995,324.62,355.19,360.89000000000004,362.7266666666667,357.455,353.74,347.87,341.645,341.02,346.45,351.1466666666667,348.19,343.15333333333336,358.06666666666666,348.3766666666667,366.09999999999997,365.395,362.74333333333334,359.6466666666667,348.36,342.78999999999996,333.58,369.135,363.385,L5
