dates,satname,nzd0529-0000,nzd0529-0001,nzd0529-0002,nzd0529-0003,nzd0529-0004,nzd0529-0005,nzd0529-0006,nzd0529-0007,nzd0529-0008,nzd0529-0009,nzd0529-0010,nzd0529-0011,nzd0529-0012,nzd0529-0013,nzd0529-0014,nzd0529-0015,nzd0529-0016,nzd0529-0017,nzd0529-0018,nzd0529-0019,nzd0529-0020,nzd0529-0021,nzd0529-0022,nzd0529-0023,nzd0529-0024,nzd0529-0025,nzd0529-0026,nzd0529-0027,nzd0529-0028,nzd0529-0029,nzd0529-0030,nzd0529-0031,nzd0529-0032,nzd0529-0033,nzd0529-0034,nzd0529-0035,nzd0529-0036,nzd0529-0037
1999-08-17 22:13:37.953000,L7,,,,,,,,,,,260.64,262.80,268.87,210.57,185.64,182.95,187.10,200.87,201.75,215.45,161.49,173.71,167.54,328.39,445.63,487.40,446.87,459.06,305.07,304.54,290.53,,216.78,217.77,278.82,269.06,286.24,327.95
1999-11-05 22:13:40.966000,L7,,,,,,,,,,,,,,,,247.10,269.13,,,,,,,,,,,,279.51,267.78,277.79,216.64,202.91,227.72,,,,
1999-12-07 22:13:41.663000,L7,,,,,,,,,,268.60,197.55,254.53,267.62,263.96,261.31,320.71,326.19,201.33,263.90,254.27,342.90,335.35,336.57,327.33,326.90,318.77,307.34,300.58,298.60,304.78,305.06,294.07,286.52,249.49,262.85,257.73,271.42,309.66
1999-12-16 22:07:33.708000,L7,,,,,,,,,,257.80,259.82,255.27,268.44,267.01,283.64,320.31,326.46,327.04,338.33,330.57,342.41,334.58,336.20,326.45,323.94,318.26,298.94,300.28,297.17,305.38,304.77,292.31,287.22,267.68,262.97,254.34,270.49,319.14
2000-05-08 22:06:44.900000,L7,,,,,,,,,,,,,,,,170.06,225.83,234.69,,,,,,,,,,,,,,,,,,,,
2000-06-16 22:12:38.425000,L7,,,,,,,,,,,262.21,269.27,274.99,272.49,292.86,319.60,332.59,320.55,325.18,328.88,281.66,264.25,334.95,325.88,348.28,301.55,321.76,284.48,267.83,315.45,302.78,289.58,300.77,278.89,270.56,261.95,291.02,318.40
2000-09-20 22:11:14.930000,L7,,,,,,,,,,267.28,199.82,265.10,278.42,275.47,303.75,321.62,333.07,326.08,331.47,328.81,342.81,334.02,334.54,328.29,323.59,314.62,308.09,311.05,299.69,316.38,305.85,302.91,295.10,306.66,278.45,270.89,295.11,319.18
2001-01-03 22:05:00.181000,L7,317.78,327.17,293.68,289.32,287.22,283.91,285.64,254.71,287.78,291.63,275.06,271.69,288.24,291.88,320.82,338.16,342.29,347.00,349.89,347.07,354.39,349.90,351.26,344.04,341.01,332.51,328.16,329.86,316.73,322.04,319.22,312.09,310.14,287.36,285.54,278.33,316.16,327.22
2001-02-20 22:05:00.525000,L7,494.68,483.12,473.29,413.67,443.51,388.84,275.31,430.12,440.79,445.76,503.68,491.68,481.65,480.68,475.89,479.45,474.64,477.96,482.69,479.12,491.18,484.14,468.29,363.51,405.20,413.63,334.12,362.98,364.64,370.79,367.75,365.66,371.97,365.94,365.92,367.17,365.33,380.07
2001-07-05 22:10:09.496000,L7,,480.28,481.85,505.70,479.35,502.96,496.45,390.39,436.07,466.96,462.04,265.02,415.21,419.92,422.30,407.50,395.13,333.03,340.21,399.16,413.56,391.04,390.80,386.83,381.57,373.03,386.01,425.69,407.77,403.06,404.17,388.38,382.92,331.37,313.27,326.90,370.80,345.79
2001-07-14 22:03:57.537000,L7,,,,,,,,,,,270.72,263.74,229.15,190.20,303.90,323.54,336.16,341.11,360.38,390.42,350.28,366.89,367.22,369.76,334.86,337.84,328.87,348.42,318.21,319.82,318.08,302.43,267.15,273.13,172.09,204.45,285.02,327.50
