dates,satname,nzd0531-0000,nzd0531-0001,nzd0531-0002,nzd0531-0003,nzd0531-0004,nzd0531-0005,nzd0531-0006,nzd0531-0007,nzd0531-0008,nzd0531-0009,nzd0531-0010,nzd0531-0011,nzd0531-0012,nzd0531-0013,nzd0531-0014,nzd0531-0015,nzd0531-0016,nzd0531-0017,nzd0531-0018,nzd0531-0019,nzd0531-0020,nzd0531-0021,nzd0531-0022,nzd0531-0023,nzd0531-0024,nzd0531-0025,nzd0531-0026,nzd0531-0027,nzd0531-0028,nzd0531-0029,nzd0531-0030,nzd0531-0031,nzd0531-0032,nzd0531-0033,nzd0531-0034,nzd0531-0035,nzd0531-0036,nzd0531-0037,nzd0531-0038,nzd0531-0039,nzd0531-0040,nzd0531-0041,nzd0531-0042,nzd0531-0043,nzd0531-0044,nzd0531-0045,nzd0531-0046,nzd0531-0047,nzd0531-0048,nzd0531-0049,nzd0531-0050,nzd0531-0051,nzd0531-0052
1999-08-17 22:13:37.953000,L7,415.72,434.96,471.03,463.51,486.67,469.04,184.11,170.29,173.37,183.57,200.69,198.35,202.60,223.12,228.79,272.43,281.82,263.76,244.58,485.99,509.76,507.14,497.69,501.20,365.81,364.42,449.23,490.57,492.87,511.13,501.94,500.00,506.81,494.11,481.62,477.72,481.36,469.83,408.32,409.85,440.49,387.98,432.80,362.23,368.04,421.87,424.31,360.37,375.84,357.03,320.09,443.16,449.57
1999-11-05 22:13:40.966000,L7,,310.19,308.72,350.18,327.30,477.00,463.83,488.15,356.86,341.25,341.44,348.18,228.56,247.22,264.09,281.33,287.77,279.52,262.77,,,355.85,410.21,,365.68,356.78,,,261.71,338.41,361.71,492.38,485.58,479.64,472.66,474.17,494.42,500.64,509.25,500.62,495.27,505.19,500.91,263.62,242.40,223.03,231.94,290.98,239.44,284.46,266.24,385.33,380.27
1999-12-07 22:13:41.663000,L7,439.22,458.51,524.35,428.16,407.76,407.83,414.13,399.60,399.82,391.57,391.73,392.38,399.08,402.08,402.74,405.77,416.38,426.64,294.54,447.25,381.21,465.68,414.77,460.58,453.71,444.16,351.07,440.51,443.13,453.54,435.75,334.72,336.26,334.22,420.68,420.17,420.94,422.90,419.36,413.13,474.18,475.89,480.22,488.29,490.89,495.46,487.47,483.46,468.95,453.68,440.65,444.28,439.39
1999-12-16 22:07:33.708000,L7,427.57,389.98,417.47,415.80,403.93,400.99,403.72,461.68,496.14,472.74,472.14,473.91,478.94,484.75,488.22,500.84,504.93,510.31,432.01,439.50,381.99,391.41,415.39,452.86,373.25,437.30,429.50,432.44,433.76,473.40,478.95,472.91,513.25,500.32,491.72,487.30,492.29,489.84,498.42,483.78,483.27,489.38,487.25,482.91,396.24,433.27,453.04,403.21,393.11,375.22,370.29,362.78,357.18
2000-05-08 22:06:44.900000,L7,,292.53,295.45,294.13,315.52,335.24,356.66,364.99,358.88,340.35,346.30,335.09,188.73,220.27,247.79,265.12,280.48,259.50,472.54,498.67,507.78,511.23,489.19,479.40,368.58,352.90,466.37,172.65,260.51,367.70,413.61,271.80,259.90,302.51,343.74,383.26,391.15,317.04,307.36,300.83,298.05,271.64,266.15,265.55,484.07,,,,,,400.28,379.04,397.32
2000-06-16 22:12:38.425000,L7,415.75,284.25,241.32,229.30,312.54,230.31,394.41,348.27,368.60,412.99,354.02,358.14,,212.58,224.36,246.44,432.67,427.36,433.19,,,,,434.00,366.47,371.59,409.89,,254.55,266.20,259.17,241.02,230.98,281.58,338.59,384.18,333.13,320.44,309.09,308.66,306.91,277.25,265.79,267.65,220.27,228.52,393.38,401.37,134.78,161.92,219.79,213.83,236.91
2000-09-20 22:11:14.930000,L7,411.14,452.14,447.80,429.35,442.11,434.37,188.00,187.42,189.90,191.92,451.45,440.80,453.43,482.16,483.32,527.45,463.38,470.14,259.62,,,486.65,497.00,492.39,493.04,491.50,491.25,497.37,254.74,394.90,353.58,306.08,305.81,311.07,329.41,384.74,469.66,459.99,449.70,455.88,424.72,450.85,448.93,449.48,454.97,436.33,462.82,457.21,413.63,428.84,419.74,411.91,372.62
2000-12-18 22:05:01.704000,L7,,,,,,,213.35,200.01,204.82,206.32,213.96,223.96,240.97,258.67,281.69,302.38,302.96,295.13,418.41,446.11,470.19,505.29,376.48,418.35,441.90,442.54,249.65,442.74,443.13,444.19,438.94,439.16,440.87,432.05,422.36,418.99,413.12,407.23,469.31,467.63,475.64,474.42,471.80,410.88,319.24,315.03,401.06,399.65,382.17,375.35,372.16,352.54,349.29
2001-01-03 22:05:00.181000,L7,375.67,399.13,401.35,398.91,402.74,404.54,404.79,399.63,401.68,392.36,391.40,346.36,347.14,391.02,397.85,414.98,409.50,416.26,424.23,431.42,439.57,387.70,423.13,387.80,444.35,442.38,442.60,435.37,438.66,436.99,439.17,441.27,440.44,431.86,421.64,418.51,411.22,408.86,473.58,476.22,480.58,483.86,478.00,401.75,413.59,420.16,435.94,430.17,402.57,386.27,374.35,364.27,362.74
2001-02-20 22:05:00.525000,L7,399.00,307.99,406.63,408.46,410.62,413.20,508.08,486.98,468.62,497.22,492.19,473.00,464.62,458.67,458.62,459.48,475.61,447.41,487.55,484.91,488.72,485.72,422.22,389.31,457.46,484.69,478.25,468.90,469.70,462.35,521.31,437.86,438.85,437.79,469.56,472.67,443.94,445.87,415.31,,,,,443.80,451.62,416.73,414.91,416.25,304.15,401.15,384.73,,
