dates,nzd0533-0000,nzd0533-0001,nzd0533-0002,nzd0533-0003,nzd0533-0004,nzd0533-0005,nzd0533-0006,nzd0533-0007,nzd0533-0008,nzd0533-0009,nzd0533-0010,nzd0533-0011,nzd0533-0012,nzd0533-0013,nzd0533-0014,nzd0533-0015,nzd0533-0016,nzd0533-0017,nzd0533-0018,nzd0533-0019,nzd0533-0020,nzd0533-0021,nzd0533-0022,nzd0533-0023,nzd0533-0024,nzd0533-0025,nzd0533-0026,nzd0533-0027,nzd0533-0028,nzd0533-0029,nzd0533-0030,nzd0533-0031,nzd0533-0032,nzd0533-0042,nzd0533-0043,nzd0533-0044,nzd0533-0045,nzd0533-0046,nzd0533-0047,nzd0533-0048,nzd0533-0049,nzd0533-0050,nzd0533-0051,nzd0533-0052,nzd0533-0053,nzd0533-0054,nzd0533-0055,nzd0533-0056,nzd0533-0057,nzd0533-0058,nzd0533-0059,nzd0533-0060,nzd0533-0061,nzd0533-0062,nzd0533-0063,nzd0533-0033,nzd0533-0034,nzd0533-0035,nzd0533-0036,nzd0533-0037,nzd0533-0038,nzd0533-0039,nzd0533-0040,nzd0533-0041,satname
1999-10-27 22:19:51.122,283.34,262.84,251.52,,248.45,221.26,221.15,226.19,,,,,,,,,,,,164.64,,,,,,,,,,,,,,,,,246.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-12-30 22:19:45.690,269.745,258.155,241.02,222.69,229.35,211.675,207.76999999999998,213.32,,176.36,179.05,170.04,157.98,164.49,157.51,,166.44,165.53,169.52,167.425,,,,,,,,,,,,,,,,,246.59,,352.33,367.01,360.3,,,,,328.03,327.45,336.75,328.06,319.96,345.43,361.75,,,,,,,,,,,,,L7
2000-04-20 22:19:15.385,273.81,264.00666666666666,245.06000000000003,237.97,233.38666666666666,219.10666666666665,216.60333333333332,221.07666666666668,245.82,192.76,193.18,183.82,177.26,177.765,176.6,,183.20499999999998,178.785,183.19,167.425,,,,,,,,,,,302.15,302.68,312.27,368.92,371.42,379.29,246.59,387.19,368.525,381.37,372.445,382.52,352.26,,,343.48,338.96000000000004,351.68,341.98,338.04999999999995,361.315,375.91999999999996,390.01,390.72,388.33,317.73,322.56,333.38,319.42,262.83,287.16,348.85,347.19,360.93,L7
2000-05-22 22:18:57.481,269.4,262.13000000000005,242.42999999999998,240.0666666666667,227.61666666666667,218.02999999999997,214.32999999999998,218.52,228.95499999999998,193.23333333333335,194.83,180.87666666666667,177.34,178.2266666666667,178.23666666666668,,183.20499999999998,178.785,183.19,180.185,,,,454.61,458.15,,,,419.61,426.2,289.53,300.58500000000004,305.525,364.505,367.06,377.69,246.85,382.07,370.55,381.05333333333334,373.44,372.105,337.825,,,340.23,338.0566666666667,351.23333333333335,342.8833333333334,342.97666666666663,363.68666666666667,378.8066666666667,386.625,389.915,386.6,313.435,322.81,329.635,323.03,255.85,284.0,335.91,332.08500000000004,353.37,L7
2000-06-07 22:18:48.627,272.84749999999997,263.34250000000003,242.42999999999998,240.0666666666667,227.61666666666667,218.02999999999997,214.32999999999998,218.52,228.95499999999998,193.23333333333335,194.83,180.87666666666667,177.34,178.2266666666667,178.23666666666668,,183.20499999999998,178.785,180.97333333333336,186.57000000000002,,,,436.23,440.705,,,,420.485,428.46000000000004,289.53,300.58500000000004,302.90333333333336,363.28,366.67,378.43,246.85,378.5233333333333,372.9,381.575,378.85249999999996,371.24,337.825,,,345.875,344.915,351.23333333333335,349.275,354.955,367.97249999999997,384.71999999999997,386.625,402.1933333333333,394.3433333333333,309.8,325.3933333333334,329.1666666666667,324.71666666666664,255.85,289.3933333333334,331.63000000000005,332.08500000000004,350.8866666666667,L7
2000-09-27 22:17:24.534,279.95000000000005,265.5425,246.66333333333333,243.48666666666668,233.1833333333333,224.115,224.28500000000003,228.24,220.20000000000002,198.06000000000003,197.50666666666666,183.98000000000002,184.71,183.6,184.28666666666666,156.4,187.505,185.6,183.69333333333336,194.69666666666663,206.83,,,436.23,440.705,213.18,210.78,221.75,420.485,428.46000000000004,274.48333333333335,281.15333333333336,288.87,363.28,366.67,378.43,,375.225,375.95250000000004,383.6375,380.96000000000004,368.2175,331.93333333333334,290.34,315.44,347.115,346.525,353.69,350.96000000000004,357.68999999999994,371.72499999999997,387.1525,382.1766666666667,402.1933333333333,388.8275,294.01,325.3933333333334,329.1666666666667,324.71666666666664,255.85,289.3933333333334,331.63000000000005,332.08500000000004,350.8866666666667,L7
2001-03-22 22:17:09.568,277.58500000000004,260.57,240.83499999999998,230.995,220.93,211.11,208.60000000000002,213.79,200.38,188.17000000000002,188.56,177.565,178.575,176.01,172.57999999999998,158.22,174.08499999999998,176.54500000000002,177.195,191.615,202.52,,,415.63,,211.19,210.09,218.68,,,240.70499999999998,240.355,244.7,296.87,327.65,344.52,350.08,358.82,360.305,371.68,364.065,353.92999999999995,319.38,289.365,316.29499999999996,334.505,333.93,343.88,335.1,331.195,360.44,371.48,373.28,,371.655,246.435,,,,224.24,208.55,218.47,254.41,,L7
2001-04-07 22:17:01.469,272.86,260.03,241.95999999999998,232.735,222.01,214.445,207.185,212.24,200.825,188.375,192.37,177.125,181.76,174.76999999999998,176.285,164.685,176.195,175.595,178.98000000000002,195.79,199.46,202.7,,415.63,,215.255,210.70499999999998,222.41500000000002,,,248.14,252.97499999999997,257.115,316.105,338.135,352.46500000000003,356.885,357.0,361.655,372.675,364.28499999999997,354.245,324.4,296.29999999999995,319.355,337.125,335.095,346.82,336.30499999999995,333.185,360.43,373.4,375.54,375.53,373.52,264.395,,,,231.87,217.66000000000003,231.79500000000002,260.125,322.97,L7
2001-11-01 22:15:17.839,,,,,,,,,,170.68,207.04,,,,,,,,,,,,,,421.06,,,,,453.45,,,,,,,,,403.19,413.03,,398.08,,,,,,,,,377.53,395.57,389.98,384.76,386.75,,,,,,238.88,,,,L7
2001-12-19 22:15:37.819,263.44,256.89,236.01,227.99,219.46,211.25,204.73,209.95,200.81,179.49,198.375,179.56,172.31,177.52,173.35,155.38,175.62,176.23,179.83,189.92,201.33,209.83,208.32,205.0,318.3,210.69,210.58,218.7,,453.45,239.37,238.91,247.45,,,,364.45,360.37,381.015,393.59,371.59,380.35,320.08,285.48,318.61,336.5,335.7,344.46,334.39,328.74,365.94,382.95,380.81,376.41999999999996,375.28999999999996,253.38,255.25,262.0,259.73,,216.70999999999998,212.88,242.69,265.08,L7
2002-07-31 22:15:11.713,271.15,273.84,244.57,236.89,226.06,209.58,204.98,211.92,201.26,192.27,195.11,172.46,181.08,173.33,168.75,164.46,169.44,170.36,172.6,187.36,190.33,192.69,195.5,191.14,206.26,211.44,209.24,213.36,,,259.54,239.89,243.13,339.39,359.32,,380.62,360.89,374.99,380.29,381.32,366.72,347.45,312.4,312.6,364.67,338.67,366.84,347.11,329.61,355.53,383.46,379.07,367.58,366.7,243.54,270.44,255.0,268.65,239.26,188.23,215.75,246.94,282.24,L7
2002-12-06 22:15:13.685,265.15999999999997,263.08,238.25,229.385,220.885,206.21,200.1,206.65499999999997,195.67000000000002,186.405,187.29000000000002,172.66000000000003,174.10500000000002,171.45,165.7,152.9,168.5,165.325,171.415,179.325,191.15,195.425,198.1,194.825,203.745,208.625,206.925,212.92000000000002,,,247.645,236.435,240.45,339.39,359.32,,363.185,353.085,374.99,374.27,370.15,356.95000000000005,327.32,295.21,312.6,364.67,338.67,351.64,336.55,325.32500000000005,355.53,383.46,379.07,363.275,359.385,241.885,259.405,254.3,259.84,239.26,195.76999999999998,214.59,246.165,272.83000000000004,L7
2003-04-13 22:15:43.669,269.04,260.29999999999995,248.54,225.77499999999998,223.35500000000002,210.41500000000002,204.42000000000002,211.175,197.75,188.45,186.20499999999998,179.33,176.11,174.09,170.925,152.22500000000002,172.36,168.175,174.055,184.7,202.54000000000002,198.01999999999998,202.5,207.2,208.85,212.57999999999998,210.99,220.86,431.42,456.59,235.75,232.98,246.385,329.37,356.9,370.71,362.605,356.16999999999996,376.21,376.21500000000003,367.71000000000004,358.615,319.325,287.17499999999995,327.6,338.61,338.89,341.58000000000004,332.475,325.5,349.83,365.36,370.12,360.56,353.53,251.38,258.09000000000003,262.89,263.94,248.82,213.82999999999998,213.43,254.93,276.31,L7
2003-05-15 22:15:40.676,269.48,255.64999999999998,244.08666666666667,226.44666666666663,221.93666666666664,207.28333333333333,205.10333333333332,208.38333333333333,196.83,190.26666666666665,187.92333333333332,179.65666666666667,176.6966666666667,174.01,169.60999999999999,154.28666666666666,171.81000000000003,167.22333333333333,173.12,184.25666666666666,200.63333333333333,198.01999999999998,202.5,207.2,208.85,205.50333333333333,205.91,222.90333333333334,431.42,456.59,241.86,232.42000000000002,239.92666666666665,329.37,356.9,370.71,362.605,356.16999999999996,372.62,375.4633333333333,369.34,364.53999999999996,322.0833333333333,289.56333333333333,321.20500000000004,335.385,331.63,340.56,331.5233333333333,324.23333333333335,350.99,367.46000000000004,371.26,360.9166666666667,354.6933333333333,247.13,258.09000000000003,257.1566666666667,267.76,236.09,213.82999999999998,213.43,254.93,276.31,L7
