dates,nzd0534-0000,nzd0534-0001,nzd0534-0002,nzd0534-0003,nzd0534-0004,nzd0534-0005,nzd0534-0006,nzd0534-0007
1999-11-21 22:13:35+00:00,269.25,262.44,253.21,270.54,,276.68,330.44,
1999-12-07 22:13:41+00:00,261.62,249.57999999999998,241.42000000000002,258.98,231.68,263.225,312.53499999999997,
1999-12-30 22:19:45+00:00,261.62,249.57999999999998,249.94000000000003,258.98,231.68,264.02333333333337,312.53499999999997,
2000-04-13 22:13:06+00:00,261.62,249.57999999999998,249.94000000000003,258.98,231.935,258.9875,305.0466666666667,315.28
2000-04-20 22:19:15+00:00,265.34,251.20000000000002,248.555,242.0,233.82333333333335,256.834,298.8425,307.15999999999997
2000-09-20 22:11:14+00:00,260.33,245.22,238.11,208.04,235.71666666666667,249.95000000000002,291.2566666666667,307.15999999999997
2000-09-27 22:17:24+00:00,262.57666666666665,245.22,223.16,203.435,235.735,249.95000000000002,291.9375,307.15333333333336
2000-10-29 22:17:19+00:00,264.7366666666667,250.455,225.36,198.83,245.99666666666667,258.755,302.96000000000004,307.14
2001-02-11 22:11:12+00:00,260.36,245.38333333333335,225.9225,198.83,242.5225,253.34,302.96000000000004,307.14
2001-03-22 22:17:09+00:00,268.79499999999996,253.77666666666667,231.215,198.83,244.5875,255.01,306.13000000000005,313.03499999999997
2001-04-07 22:17:01+00:00,269.75,254.13750000000002,244.7975,169.23,247.51999999999998,255.01,312.20500000000004,314.42
2001-11-01 22:15:17+00:00,267.68,249.44,237.05,207.0,237.22,254.13,296.77,311.69
2001-11-26 22:09:21+00:00,262.70500000000004,247.065,237.715,232.005,237.22,257.075,306.605,311.69
2001-12-19 22:15:37+00:00,268.88000000000005,252.73333333333335,241.97,244.46666666666667,243.43,258.70666666666665,307.3933333333334,316.71500000000003
2002-12-31 22:09:08+00:00,265.46,249.33,240.7,268.32,254.53,261.6,322.89,
2003-03-21 22:09:27+00:00,263.88,243.87,237.82999999999998,265.68,245.39499999999998,258.505,312.28,
2003-04-13 22:15:43+00:00,265.74333333333334,243.87,237.82999999999998,265.68,243.45666666666668,256.4533333333333,306.49333333333334,307.84
2003-08-11 22:03:51+00:00,263.1133333333333,242.07,235.29000000000002,263.04,234.55000000000004,255.04333333333332,296.69666666666666,309.9
2003-10-07 21:58:35+00:00,264.4533333333333,255.07999999999998,243.28,299.81,244.83333333333334,262.88000000000005,304.2266666666667,309.9
2004-03-31 21:59:59+00:00,252.45499999999998,264.43,250.94,299.81,243.73000000000002,261.485,306.91999999999996,312.85
2004-04-23 22:06:53+00:00,249.345,,,,223.25,245.625,286.895,310.77
2004-05-09 22:07:21+00:00,249.345,,,,223.25,245.625,285.41333333333336,309.51
2004-07-21 22:03:15+00:00,249.345,,,,223.25,245.625,282.715,309.51
2004-08-29 22:10:22+00:00,257.7733333333333,258.04,248.18,264.44,227.12,250.89333333333335,287.796,311.4075
2004-11-01 22:11:49+00:00,286.21999999999997,270.46500000000003,256.905,294.845,249.67000000000002,272.86,296.605,312.0450000000001
2005-05-12 22:14:14+00:00,,,,,,,280.18,295.91
2005-08-16 22:15:00+00:00,280.59,275.36,253.95,315.42,258.43,275.92,294.635,295.91
