dates,nzd0541-0000,nzd0541-0001,nzd0541-0002,nzd0541-0003,nzd0541-0004,nzd0541-0005,nzd0541-0006,nzd0541-0007,nzd0541-0008,nzd0541-0009,nzd0541-0010,nzd0541-0011,nzd0541-0012,nzd0541-0013,nzd0541-0014,nzd0541-0015,nzd0541-0016,nzd0541-0017,nzd0541-0018,nzd0541-0019,nzd0541-0020,nzd0541-0021,nzd0541-0022,nzd0541-0023,nzd0541-0024,nzd0541-0025,nzd0541-0026,nzd0541-0027,nzd0541-0028,nzd0541-0029,nzd0541-0030,nzd0541-0031,nzd0541-0032,nzd0541-0033,nzd0541-0034,satname
1999-12-07 22:13:41.663,,355.8,350.93,353.01,356.12,353.45,354.94,359.3,354.94,357.84,362.83,366.59,374.17,371.0,356.71,356.57,351.94,362.27,360.46,361.91,351.65,348.48,350.19,,,,,,,338.63,334.5,347.33,368.78,376.05,372.85,L7
1999-12-16 22:07:33.708,,350.93,348.875,345.49,337.695,344.49,350.385,352.83500000000004,351.49,352.495,356.355,362.08,364.365,361.595,350.37,350.505,347.16499999999996,355.205,354.605,348.645,344.905,343.555,343.47,338.99,340.64,337.88,,,,334.94,332.445,343.525,364.91499999999996,371.55,367.04,L7
2000-09-20 22:11:14.930,,,,,,,,,,327.13,313.4,322.32,324.59,328.55,338.06,333.28,337.53,334.27,334.76,312.13,303.1,334.35,333.54,332.72,336.16,327.07,,,,302.49,,,,,,L7
2001-01-03 22:05:00.181,,392.49,392.56,398.05,407.36,409.22,410.54,409.43,,366.94,313.4,322.32,324.59,328.55,338.06,333.28,337.53,334.27,334.76,312.13,303.1,361.07000000000005,333.54,389.01,385.83000000000004,385.475,443.26,,,364.83000000000004,,442.78,466.16,470.57,473.77,L7
2001-02-11 22:11:12.788,,406.78,396.95500000000004,397.56,412.46000000000004,402.88,407.235,422.16499999999996,,386.6333333333334,313.4,322.32,324.59,328.55,338.06,333.28,378.885,334.27,334.76,312.13,303.1,387.07666666666665,333.54,416.84666666666664,412.91,412.22333333333336,459.075,489.41,472.75,393.3966666666667,,462.265,469.81,465.905,468.075,L7
2001-02-20 22:05:00.525,,414.8433333333333,396.95500000000004,397.56,425.13000000000005,402.88,407.235,434.3933333333334,,386.6333333333334,313.4,322.32,324.59,328.55,338.06,333.28,389.31,334.27,334.76,312.13,303.1,406.115,333.54,423.3575,422.735,423.1225,463.0566666666667,488.95500000000004,473.07,411.125,,464.09999999999997,470.6033333333333,468.6066666666666,467.43,L7
2001-02-27 22:11:06.137,,408.79,396.7166666666667,398.8233333333333,421.375,405.2066666666667,408.27333333333337,429.7475,371.04,394.65,313.4,322.32,324.59,328.55,338.06,333.28,394.305,352.66999999999996,334.76,312.13,303.1,420.16999999999996,333.54,432.89,430.96999999999997,432.706,468.8375,492.71000000000004,479.99666666666667,426.366,,472.58,474.65999999999997,470.3875,468.105,L7
2001-11-03 22:02:58.699,354.65,357.64,359.19,360.75,369.68,364.84,369.76,372.94,373.19,378.65,365.44,285.06,368.44,,371.57,373.15,363.6,,,308.82,317.6,371.89,,,451.18,422.49,,377.93,,361.78,351.98,370.64,376.25,385.39,476.47,L7
2002-01-29 22:09:33.112,348.125,355.625,357.48,356.885,365.36,363.395,366.225,369.635,370.35,367.14,363.8,325.58000000000004,367.73,363.59,362.86,365.75,363.73,366.72,,335.96000000000004,337.855,365.15999999999997,,,451.18,384.70500000000004,,361.21500000000003,,347.53499999999997,342.355,358.525,366.78499999999997,375.56,476.47,L7
2002-03-11 22:03:31.366,347.2033333333334,356.09666666666664,358.73333333333335,360.00333333333333,365.35999999999996,364.5,365.1033333333333,367.24666666666667,366.8733333333333,365.28999999999996,363.90333333333336,339.20666666666665,367.2133333333333,363.28,362.89333333333326,362.4266666666667,360.78000000000003,364.36,365.8,345.6166666666666,346.16333333333336,361.0233333333333,,,451.18,373.23,,355.60999999999996,,343.51,339.34666666666664,354.84,365.3566666666666,373.06666666666666,476.47,L7
