dates,satname,nzd0546-0000,nzd0546-0020,nzd0546-0021,nzd0546-0022,nzd0546-0023,nzd0546-0024,nzd0546-0025,nzd0546-0026,nzd0546-0027,nzd0546-0028,nzd0546-0029,nzd0546-0030,nzd0546-0031,nzd0546-0032,nzd0546-0033,nzd0546-0034,nzd0546-0035,nzd0546-0036,nzd0546-0037,nzd0546-0038,nzd0546-0039,nzd0546-0040,nzd0546-0057,nzd0546-0058,nzd0546-0059,nzd0546-0060,nzd0546-0061,nzd0546-0062,nzd0546-0063,nzd0546-0064,nzd0546-0065,nzd0546-0066,nzd0546-0067,nzd0546-0068,nzd0546-0069,nzd0546-0070,nzd0546-0071,nzd0546-0072,nzd0546-0073,nzd0546-0074,nzd0546-0075,nzd0546-0076,nzd0546-0077,nzd0546-0078,nzd0546-0079,nzd0546-0080,nzd0546-0081,nzd0546-0082,nzd0546-0083,nzd0546-0084,nzd0546-0085,nzd0546-0086,nzd0546-0087,nzd0546-0088,nzd0546-0090,nzd0546-0091,nzd0546-0098,nzd0546-0099,nzd0546-0100,nzd0546-0101,nzd0546-0102,nzd0546-0107,nzd0546-0108,nzd0546-0109,nzd0546-0110,nzd0546-0111,nzd0546-0112,nzd0546-0116,nzd0546-0117,nzd0546-0118,nzd0546-0119,nzd0546-0120,nzd0546-0121,nzd0546-0123,nzd0546-0124,nzd0546-0125,nzd0546-0126,nzd0546-0138,nzd0546-0139,nzd0546-0140,nzd0546-0141,nzd0546-0142,nzd0546-0143,nzd0546-0144,nzd0546-0145,nzd0546-0146,nzd0546-0147,nzd0546-0148,nzd0546-0149,nzd0546-0150,nzd0546-0163,nzd0546-0164,nzd0546-0165,nzd0546-0166,nzd0546-0167,nzd0546-0168,nzd0546-0169,nzd0546-0170,nzd0546-0171,nzd0546-0172,nzd0546-0173,nzd0546-0174,nzd0546-0175,nzd0546-0176,nzd0546-0177,nzd0546-0178,nzd0546-0179,nzd0546-0180,nzd0546-0181,nzd0546-0182,nzd0546-0183,nzd0546-0184,nzd0546-0185,nzd0546-0188,nzd0546-0189,nzd0546-0190,nzd0546-0191,nzd0546-0192,nzd0546-0193,nzd0546-0194,nzd0546-0195,nzd0546-0001,nzd0546-0002,nzd0546-0003,nzd0546-0004,nzd0546-0005,nzd0546-0006,nzd0546-0007,nzd0546-0008,nzd0546-0009,nzd0546-0010,nzd0546-0011,nzd0546-0012,nzd0546-0013,nzd0546-0014,nzd0546-0015,nzd0546-0016,nzd0546-0017,nzd0546-0018,nzd0546-0019,nzd0546-0044,nzd0546-0045,nzd0546-0046,nzd0546-0047,nzd0546-0048,nzd0546-0049,nzd0546-0050,nzd0546-0051,nzd0546-0052,nzd0546-0053,nzd0546-0054,nzd0546-0055,nzd0546-0056,nzd0546-0089,nzd0546-0092,nzd0546-0093,nzd0546-0094,nzd0546-0095,nzd0546-0096,nzd0546-0097,nzd0546-0106,nzd0546-0127,nzd0546-0128,nzd0546-0130,nzd0546-0131,nzd0546-0132,nzd0546-0136,nzd0546-0137,nzd0546-0151,nzd0546-0152,nzd0546-0153,nzd0546-0154,nzd0546-0155,nzd0546-0156,nzd0546-0157,nzd0546-0158,nzd0546-0159,nzd0546-0041,nzd0546-0042,nzd0546-0043,nzd0546-0103,nzd0546-0104,nzd0546-0105,nzd0546-0122,nzd0546-0129,nzd0546-0133,nzd0546-0134,nzd0546-0135,nzd0546-0160,nzd0546-0161,nzd0546-0162,nzd0546-0114,nzd0546-0115,nzd0546-0186,nzd0546-0187,nzd0546-0113
1999-08-08 22:19:52.507000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,236.31,293.13,342.65,449.45,382.63,323.94,262.91,393.44,363.65,259.03,387.35,423.99,442.62,467.22,278.71,387.79,244.35,300.29,350.37,406.75,459.80,481.58,467.59,413.30,481.07,421.57,389.39,,,251.86,393.27,458.81,437.59,447.05,434.17,368.61,411.83,451.22,456.37,456.83,448.20,442.45,212.51,234.87,245.24,272.07,271.95,319.35,287.21,,,,395.42,378.23,355.61,344.63,338.15,334.34,340.61,329.56,318.94,310.17,293.89,273.95,,,441.24,444.70,358.70,334.92,290.51,256.36,353.63,419.02,346.54,384.88,351.56,401.57,354.14,383.82,382.52,304.03,283.59,228.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.58,205.74,,317.71,,,,407.42,,,454.42,,,,490.55,397.57,435.14,379.11,,,,489.42,453.96,419.96,416.21,,,,,,,,,,,,,166.07,164.88,191.38,454.58,,469.66,440.78,455.59,,,,506.75,293.06,,,429.51
1999-10-27 22:19:51.122000,L7,288.21,181.96,199.92,211.12,209.39,211.15,186.88,190.59,234.63,190.36,259.55,261.39,282.28,298.22,306.82,314.93,350.35,393.21,445.06,471.64,480.73,510.56,505.38,485.54,484.17,484.60,491.86,493.23,497.31,485.10,454.50,440.02,423.18,418.92,418.04,427.04,437.68,267.12,258.97,325.26,373.28,266.71,322.39,370.76,430.07,166.59,212.68,249.10,255.12,354.01,284.82,235.89,220.23,240.65,285.27,483.70,145.95,165.45,400.39,337.90,154.06,209.61,228.68,243.62,213.52,204.28,171.37,224.14,237.61,282.32,230.58,239.68,258.42,227.61,337.84,503.37,461.26,427.12,395.30,394.76,363.11,358.40,364.19,370.02,357.29,345.36,331.06,306.73,293.53,272.72,461.42,448.01,292.57,445.64,440.98,434.31,429.98,427.72,422.81,415.12,409.17,403.84,401.13,390.06,381.49,380.70,370.57,355.34,347.84,352.69,323.14,337.75,337.33,199.90,317.91,312.95,305.57,308.90,302.63,295.95,287.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-11-05 22:13:40.966000,L7,,457.03,506.53,,498.25,509.32,476.20,462.55,478.22,469.61,500.99,481.70,504.82,524.97,429.87,431.90,424.74,490.94,463.88,,,,269.08,246.23,226.22,191.00,181.38,185.09,193.76,202.82,214.52,210.42,191.52,173.05,159.34,159.92,162.81,172.52,193.24,212.60,239.20,261.68,282.11,316.69,349.71,380.61,409.43,440.48,467.39,478.19,481.77,478.64,464.47,436.95,219.98,353.66,144.92,145.01,142.23,143.31,142.63,,,,,,,,,198.57,210.28,388.08,403.97,380.62,263.86,364.40,351.89,374.44,454.87,394.25,409.51,401.37,360.67,316.36,411.18,183.90,208.85,400.96,434.06,424.24,,,,501.24,457.91,419.45,485.64,478.36,464.11,468.72,439.35,411.24,419.32,438.91,419.45,,,,198.24,270.58,409.19,,,,,,,,,,,474.19,276.65,286.97,394.06,451.88,410.55,329.12,170.01,197.57,224.73,436.95,445.62,287.40,308.20,335.48,368.86,416.61,425.50,429.30,167.42,185.51,213.08,216.26,231.29,244.01,249.80,250.81,254.15,264.87,288.60,297.86,310.40,379.16,148.75,138.65,138.94,141.74,140.82,144.35,,509.91,376.52,,236.32,315.93,431.00,396.41,410.02,334.25,295.38,358.22,336.09,310.01,289.39,281.68,252.94,,,,,,,300.41,,,,,220.57,176.41,,,,,,
1999-12-07 22:13:41.663000,L7,369.70,436.40,515.67,,460.46,498.08,463.29,449.50,458.22,455.39,488.48,,501.67,526.61,519.26,418.49,414.63,490.50,,,,,264.71,237.38,217.69,174.98,177.50,183.55,191.27,200.77,209.48,197.86,180.29,165.29,155.71,155.73,157.02,169.21,186.95,210.80,234.66,255.15,279.89,311.97,345.48,377.40,406.72,436.14,457.61,472.78,493.31,485.82,462.77,428.41,,,318.61,177.01,381.59,455.35,506.07,482.09,466.70,353.08,403.91,499.10,397.35,,,,,,,,336.62,434.88,346.61,273.26,239.10,318.21,289.29,230.91,451.75,452.31,373.13,138.08,379.52,304.81,430.96,422.69,,,,497.48,459.49,421.96,389.37,366.17,381.21,366.36,376.36,496.83,491.57,484.15,351.05,354.37,277.96,245.45,199.91,380.41,155.53,445.70,,,487.76,437.49,253.27,300.10,232.95,354.04,359.87,434.21,270.44,278.59,298.21,342.25,347.06,316.21,165.45,188.20,218.49,242.58,258.65,287.37,294.93,328.32,360.42,401.62,411.77,413.04,153.97,185.60,208.60,217.14,232.32,244.26,251.99,242.38,249.05,261.04,284.99,300.77,286.35,361.37,137.90,139.08,143.60,150.94,144.02,290.89,497.26,363.36,404.68,440.92,505.70,429.13,431.12,310.32,411.54,400.47,286.49,354.33,331.07,302.54,283.08,172.69,159.99,,,,,,,,,,,,,,,,,,,
2000-04-20 22:19:15.385000,L7,218.44,,,,,,,,,,,,151.23,257.97,269.97,190.14,293.84,246.46,150.99,305.78,315.97,372.30,371.80,381.41,356.19,360.60,259.35,166.59,460.65,454.37,435.20,414.00,399.82,371.61,344.70,382.16,373.68,295.28,314.27,356.77,441.78,497.44,312.48,367.22,416.45,458.95,487.14,425.47,392.64,342.13,278.74,232.27,211.13,237.29,276.11,384.98,149.96,190.68,150.63,145.61,147.07,212.94,220.08,223.83,222.11,217.96,,146.16,190.90,276.66,514.05,505.91,254.10,305.12,190.75,196.19,494.06,375.58,350.00,316.63,303.25,306.01,300.33,313.00,326.68,318.22,303.74,290.10,238.00,,,413.84,439.91,391.11,376.58,260.73,233.41,240.78,210.14,348.11,410.90,402.38,394.94,,,,,326.44,347.34,345.76,,,,202.91,290.10,303.20,211.27,146.70,275.58,289.36,211.61,,,,,,,,,,,,,,,,,,,,338.68,297.82,439.73,471.82,,,,,,523.82,221.31,372.28,329.28,427.04,482.09,199.14,144.44,146.39,146.47,147.34,190.51,305.40,301.93,523.71,,150.94,398.32,366.65,,,,,,,,,,407.90,424.40,244.39,190.58,482.30,377.88,257.85,426.34,173.81,462.41,376.82,,,,,,,,
2000-09-04 22:11:34.434000,L7,388.17,,,,,,,,,,,,,,,,,,,,,,224.18,,,,,449.42,472.30,505.69,497.19,466.84,432.67,426.54,371.61,455.01,343.60,146.43,171.10,199.40,230.28,249.88,280.39,309.76,342.36,375.26,204.80,257.69,283.21,275.36,207.30,343.77,314.96,221.63,,316.02,152.71,148.31,217.42,310.12,311.93,514.40,496.88,449.05,,,,,,381.99,393.35,,,323.84,318.40,358.55,375.75,,495.59,470.75,455.37,271.01,191.74,313.47,447.62,456.10,441.03,437.14,422.23,407.44,,,,,487.49,457.40,409.79,402.56,401.96,479.80,464.14,488.31,362.53,373.65,,457.90,482.27,467.04,,,,,,,,527.34,386.19,315.89,324.51,371.19,381.54,,422.66,456.13,451.41,483.06,379.97,412.95,393.93,438.42,423.98,441.12,381.33,411.70,413.09,402.19,488.12,521.62,518.26,479.89,,,182.97,165.43,206.08,221.14,219.70,203.94,207.59,221.85,261.47,271.56,278.79,320.04,137.96,383.56,274.39,231.67,147.82,150.53,497.81,376.75,399.85,333.22,225.52,238.26,235.04,291.10,,,,212.64,202.49,253.86,162.74,,,,,,269.65,235.97,270.85,240.79,489.28,,,,,,,,,,,
2000-10-29 22:17:19.582000,L7,,,,,,,,,,,,,,,,,,344.51,410.26,430.67,369.32,354.61,,,,273.94,345.19,446.79,492.62,463.58,,,,251.25,412.37,419.12,426.31,448.78,466.30,301.75,381.14,378.09,,,,,492.69,518.39,502.17,465.53,405.12,328.60,327.33,237.67,235.07,241.72,438.97,431.79,425.86,431.37,361.48,252.74,215.04,273.43,366.54,207.16,220.41,167.25,231.48,194.73,234.39,233.71,263.85,294.50,327.26,382.53,353.95,285.43,377.49,358.55,,,344.73,343.65,331.49,323.60,307.04,287.98,271.75,,,431.08,436.46,434.93,407.86,420.70,233.58,423.57,416.81,317.80,285.01,225.17,234.61,375.08,380.01,369.60,357.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515.19,438.03,168.22,198.52,183.86,,,,,,,,237.46,391.91,227.78,169.14,273.37,151.85,338.95,356.62,407.22,466.74,491.25,276.83,356.20,317.62,154.67,,,,,,,,,,479.88,417.55,,202.95,208.18,,284.61,416.65,352.02,,280.79,,,,,489.03,,,323.06
2001-02-11 22:11:12.788000,L7,338.37,465.14,489.75,,,,498.81,461.66,461.50,477.82,,,487.54,522.58,443.16,431.17,428.50,488.50,,,,,270.11,243.00,220.77,163.04,170.53,179.21,191.85,199.52,211.69,211.85,188.64,168.02,159.01,154.12,157.34,166.72,188.33,204.85,235.90,146.91,247.26,278.05,304.59,150.62,216.93,264.75,292.55,290.42,246.07,171.91,262.68,224.92,417.05,510.32,,,,,,,,,,,,,,203.96,227.49,453.66,,,,318.70,396.32,431.26,502.80,484.82,463.29,444.28,411.01,412.71,201.41,299.71,299.33,299.79,367.93,367.82,,,,508.01,464.70,427.01,390.97,376.74,387.08,375.76,379.11,352.38,337.55,340.98,368.00,372.51,302.82,250.63,260.49,377.63,386.30,468.93,,,470.40,412.22,349.02,,299.30,336.86,339.89,446.73,392.31,421.71,303.25,341.85,355.08,328.54,325.16,200.05,232.78,434.63,519.10,301.96,316.88,335.35,367.35,411.70,424.26,435.68,156.83,180.17,197.79,202.22,224.27,240.87,248.04,243.93,252.51,261.95,284.52,293.54,291.47,493.87,438.55,137.47,139.02,140.48,,,,437.46,384.17,382.35,,176.36,497.91,450.22,372.23,400.19,275.17,296.97,329.20,291.14,245.95,188.05,148.91,,,,,,,,509.09,194.04,249.07,417.83,,,,,,,,
2001-03-22 22:17:09.568000,L7,,,,,,,,,,,,,,,185.87,168.66,282.46,280.32,282.90,295.58,334.64,342.45,,,,,,445.65,431.45,432.00,417.81,408.38,390.95,364.01,310.59,280.98,289.00,230.46,274.02,405.03,493.28,234.01,296.30,344.48,258.29,450.01,276.65,431.13,215.23,233.73,252.17,204.16,203.75,207.90,272.97,386.81,398.04,427.04,410.26,425.87,365.58,394.75,465.76,235.54,472.86,207.53,172.07,303.77,283.29,486.83,338.61,489.56,,,319.92,333.63,200.37,,,,323.72,313.91,300.44,199.66,314.84,313.27,303.11,283.69,,,,,,,,410.12,411.85,413.26,,361.17,386.10,392.99,395.04,,,,,298.91,322.05,340.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.20,278.91,275.11,406.19,381.48,438.49,454.59,378.89,522.00,446.03,456.42,381.02,,479.08,435.46,450.62,349.98,318.99,149.33,392.10,443.27,329.93,496.89,,249.90,241.17,,,,,,,,,,,,311.88,414.32,513.22,394.72,,,,434.72,459.68,,,,,,252.45,225.71,,,371.13
2001-04-16 22:10:54.636000,L7,371.63,465.92,,,,,,,,,,,,520.70,512.09,441.42,485.15,,,,,,224.66,227.05,194.18,,156.69,165.44,158.61,173.09,201.13,183.79,173.14,143.03,144.90,340.45,382.59,156.20,167.86,195.86,219.72,248.28,167.99,205.15,235.13,301.38,348.11,364.85,372.26,358.08,326.68,286.46,231.66,168.00,453.86,,146.45,144.19,144.98,224.73,225.94,,,,,,,,,193.73,202.31,343.56,209.16,245.63,252.37,339.18,370.46,414.83,464.17,438.67,412.01,400.18,263.55,435.74,449.26,451.01,170.39,202.81,421.58,409.17,,,,,481.12,445.40,405.78,401.52,399.63,403.40,398.01,471.13,486.83,488.80,462.57,385.74,309.73,435.01,433.22,445.95,447.31,,,,501.48,433.76,365.03,309.95,316.12,350.97,356.74,481.19,502.73,518.22,523.44,520.92,515.87,240.93,472.47,408.34,420.79,518.36,473.80,500.65,390.38,349.48,385.42,421.52,427.10,441.08,,158.39,173.72,184.70,190.59,195.19,199.76,189.55,205.01,217.84,232.22,214.36,214.03,346.41,146.89,141.95,141.61,142.16,143.38,144.50,195.82,393.94,371.25,,,328.25,433.15,444.21,,,,201.27,177.24,208.22,168.69,170.04,,,,,218.81,219.50,217.13,253.08,474.06,356.41,,,,,,,,,,
