dates,nzd0549-0000,nzd0549-0001,nzd0549-0002,nzd0549-0003,nzd0549-0004,nzd0549-0005,nzd0549-0006,nzd0549-0007,nzd0549-0008,nzd0549-0009,nzd0549-0010,nzd0549-0011,nzd0549-0012,nzd0549-0013,nzd0549-0014,nzd0549-0015,nzd0549-0017,nzd0549-0018,nzd0549-0019,nzd0549-0020,nzd0549-0021,nzd0549-0022,nzd0549-0023,nzd0549-0024,nzd0549-0025,nzd0549-0026,nzd0549-0027,nzd0549-0028,nzd0549-0029,nzd0549-0030,nzd0549-0031,nzd0549-0032,nzd0549-0033,nzd0549-0034,nzd0549-0035,nzd0549-0036,nzd0549-0037,nzd0549-0048,nzd0549-0049,nzd0549-0050,nzd0549-0051,nzd0549-0052,nzd0549-0053,nzd0549-0054,nzd0549-0055,nzd0549-0056,nzd0549-0057,nzd0549-0058,nzd0549-0059,nzd0549-0060,nzd0549-0061,nzd0549-0062,nzd0549-0063,nzd0549-0064,nzd0549-0069,nzd0549-0070,nzd0549-0071,nzd0549-0072,nzd0549-0073,nzd0549-0074,nzd0549-0079,nzd0549-0080,nzd0549-0081,nzd0549-0082,nzd0549-0083,nzd0549-0084,nzd0549-0085,nzd0549-0086,nzd0549-0101,nzd0549-0102,nzd0549-0103,nzd0549-0114,nzd0549-0115,nzd0549-0116,nzd0549-0118,nzd0549-0119,nzd0549-0120,nzd0549-0121,nzd0549-0122,nzd0549-0123,nzd0549-0124,nzd0549-0125,nzd0549-0126,nzd0549-0127,nzd0549-0128,nzd0549-0129,nzd0549-0130,nzd0549-0131,nzd0549-0132,nzd0549-0138,nzd0549-0139,nzd0549-0140,nzd0549-0141,nzd0549-0142,nzd0549-0144,nzd0549-0145,nzd0549-0146,nzd0549-0147,nzd0549-0148,nzd0549-0149,nzd0549-0150,nzd0549-0151,nzd0549-0152,nzd0549-0153,nzd0549-0154,nzd0549-0155,nzd0549-0156,nzd0549-0157,nzd0549-0158,nzd0549-0159,nzd0549-0160,nzd0549-0161,nzd0549-0162,nzd0549-0163,nzd0549-0164,nzd0549-0165,nzd0549-0166,nzd0549-0167,nzd0549-0168,nzd0549-0169,nzd0549-0170,nzd0549-0171,nzd0549-0172,nzd0549-0174,nzd0549-0175,nzd0549-0176,nzd0549-0177,nzd0549-0178,nzd0549-0179,nzd0549-0180,nzd0549-0181,nzd0549-0182,nzd0549-0183,nzd0549-0184,nzd0549-0185,nzd0549-0186,nzd0549-0187,nzd0549-0188,nzd0549-0189,nzd0549-0190,nzd0549-0191,nzd0549-0192,nzd0549-0193,nzd0549-0194,nzd0549-0046,nzd0549-0047,nzd0549-0065,nzd0549-0066,nzd0549-0078,nzd0549-0105,nzd0549-0106,nzd0549-0107,nzd0549-0108,nzd0549-0109,nzd0549-0113,nzd0549-0117,nzd0549-0133,nzd0549-0134,nzd0549-0135,nzd0549-0136,nzd0549-0137,nzd0549-0173,nzd0549-0016,nzd0549-0076,nzd0549-0077,nzd0549-0087,nzd0549-0088,nzd0549-0089,nzd0549-0090,nzd0549-0091,nzd0549-0092,nzd0549-0093,nzd0549-0094,nzd0549-0098,nzd0549-0099,nzd0549-0100,nzd0549-0104,nzd0549-0111,nzd0549-0112,nzd0549-0143,nzd0549-0095,nzd0549-0096,nzd0549-0097,nzd0549-0075,nzd0549-0038,nzd0549-0045,nzd0549-0067,nzd0549-0068,nzd0549-0110,nzd0549-0043,nzd0549-0044,nzd0549-0040,nzd0549-0041,nzd0549-0042,nzd0549-0039,satname
1999-08-08 22:19:52.507,,,,,,,,,432.44,,,476.92,,,,,,,,,,383.5,,298.94,,,,,,,,,,,,,,,,,,,,,,430.96,,366.12,,,,,168.77,,,,,,,,427.47,,,,,,,327.3,,,,,,,,,502.68,,,,,,269.14,,205.05,,,478.37,,,516.05,,,,,,368.12,,,,,331.21,,,,,,,,,,,,,,,,,,,,383.59,,,,282.98,,,,186.65,,,,,,,,,,,,,,,,,,399.25,,,,,,,,,,,,,,,,,,,,369.23,214.41,205.77,,,,439.94,,,,,,,,,,,,378.97,320.92,,,,,,,,,L7
1999-10-04 22:14:13.777,,,,,,,,,432.44,,,476.92,,,,,,,,,,383.5,,298.94,,,,,,,,,,,,,,,,,,,,,,430.96,,366.12,,,,,186.635,,,,,338.97,,,427.47,,,,,,,327.3,,468.82,,,,,483.33,,490.425,,,,,,250.355,,205.595,423.58,,471.78499999999997,408.18,,508.65999999999997,,424.46,,,,356.155,313.31,,,,349.775,,,,,,,421.06,,,,,,,,,,,,,383.59,,,,282.98,,,,186.65,,,,,,,227.66,253.37,,,,,,,,,,399.25,,,,,,,,,,,296.88,,,,,,,,,369.23,214.41,205.77,,,,439.94,,,,,,,,,,,,378.97,320.92,,,,,,,,,L7
1999-10-27 22:19:51.122,,,,,,,,,425.23,,,487.295,,,,,486.63,,449.14,495.6,,388.365,,300.145,,,,,,,,,,,,,,,432.04,,504.68,497.33,,,,437.595,,365.21500000000003,,,,,186.635,,,,455.73,334.285,372.8,,427.47,,,,,,,326.34000000000003,180.93,462.025,,,,,494.94,,473.3866666666667,,,,,369.46,250.355,,205.595,405.01,,471.78499999999997,411.28999999999996,450.9,508.20666666666665,,434.52,,,183.37,356.155,296.74,,,,349.775,,,313.56,,,,421.06,,,,,,,,,,,,,394.29999999999995,,,,282.98,,,,186.65,,,,,,,214.885,244.8,,,,,,,,,,401.15999999999997,,,,,,,,,,,316.7,,,297.85,310.77,,,,,369.23,214.41,199.23000000000002,,,,439.94,,,,,,,,,,,,395.925,338.655,,,,391.12,,,,,L7
1999-11-05 22:13:40.966,,,,,,,,475.36,422.7,,,487.295,,,,,486.63,,449.14,495.6,,388.365,,300.145,,,,,,,,,,,162.69,247.88,,,441.97,462.65,493.83000000000004,497.33,,,,437.595,,365.21500000000003,,,,402.53,186.635,328.09,,,455.73,334.285,372.8,,427.47,,,,,,,326.34000000000003,180.93,462.025,,,,,494.94,,473.3866666666667,,,,,369.46,250.355,,205.595,405.01,,471.78499999999997,411.28999999999996,450.9,508.20666666666665,,434.52,,,183.37,356.155,296.74,,,,349.775,,,313.56,,,,421.06,,,,,,,,,,,,,394.29999999999995,,,,282.98,,,,186.65,,,,,,,214.885,244.8,,,,,,,,,335.53,401.15999999999997,,,,,,,,,,,316.7,,,297.85,310.77,,,,,369.23,214.41,199.23000000000002,,,,439.94,,,,,,,,,,,,387.10666666666674,347.62000000000006,,,,389.76,,,,,L7
1999-11-21 22:13:35.965,,,,,,,,475.36,422.7,,,487.295,,,,,486.63,,449.14,495.6,,388.365,,300.145,,,,,,,,,,,164.33499999999998,249.24,,,441.97,462.65,493.83000000000004,497.33,,,,437.595,,365.21500000000003,,,,409.36,186.635,344.465,,403.94,448.045,334.285,374.34000000000003,,429.925,,,,,,,326.34000000000003,180.93,462.025,,,,,494.94,,473.3866666666667,490.05,,,,369.46,250.355,,205.595,405.01,,471.78499999999997,411.28999999999996,450.9,508.20666666666665,,434.52,,,183.37,356.155,296.74,,,,349.775,,,313.56,,,,421.06,,,,,,,,,,,,,394.29999999999995,,,,277.82000000000005,,,,201.25,,,,,,,198.82000000000002,231.83333333333334,,,477.29,,,,,,348.99,400.8333333333333,,,,,313.05,,,,,,316.7,,,297.85,310.77,,,,,369.23,214.41,199.23000000000002,,,,431.61,,,,,,,,,,,496.18,387.10666666666674,357.27,,,,389.76,,,,496.09,L7
1999-12-07 22:13:41.663,,,,,,,,475.36,422.7,,,487.295,,,,,486.63,,449.14,495.6,,388.365,,300.145,,,,,,,,,,158.38,176.71,250.34,,344.81,438.28999999999996,463.17499999999995,489.1466666666667,495.19,497.94,489.98,496.45,437.595,,365.21500000000003,467.76,,244.38,409.36,186.635,344.465,258.78,403.94,448.045,334.285,374.34000000000003,,429.925,,,,,,,326.34000000000003,180.93,462.025,,,,,494.94,,473.3866666666667,490.05,,,,369.46,250.355,,205.595,405.01,,471.78499999999997,411.28999999999996,450.9,508.20666666666665,,434.52,,,183.37,356.155,296.74,,,,349.775,,,313.56,,,,421.06,,,,,,,,,,,,,394.29999999999995,,,,277.82000000000005,,,,201.25,,,,,,,198.82000000000002,231.83333333333334,,,477.29,,,,271.78,379.68,348.99,400.8333333333333,,,,,313.05,,,,,,316.7,,,297.85,310.77,,,,,369.23,214.41,199.23000000000002,,,,431.61,,,,,,,,,,,496.18,334.545,357.27,,,,389.76,,,,496.09,L7
1999-12-07 22:14:05.637,,,,,,,,475.36,422.7,,,487.295,,,,,486.63,,449.14,495.6,,388.365,,300.145,,,,,,,,,,156.475,176.71,249.055,,361.135,436.69,463.09666666666664,486.0775,493.87999999999994,496.805,487.515,496.57,437.595,,365.21500000000003,486.315,,243.70499999999998,409.36,186.635,344.465,258.78,403.94,448.045,334.285,374.34000000000003,,429.925,,,,,,,326.34000000000003,180.93,462.025,,,,,494.94,,473.3866666666667,490.05,,,,369.46,250.355,,205.595,405.01,,471.78499999999997,411.28999999999996,450.9,508.20666666666665,,434.52,,,183.37,356.155,296.74,,,,349.775,,,313.56,,,,421.06,,,,,,,,,,,,,394.29999999999995,,,,277.82000000000005,,,,201.25,,,,,,,198.82000000000002,231.83333333333334,,,477.29,,,,272.525,383.875,320.0566666666667,400.8333333333333,,,,,313.05,,,,,,316.7,,,297.85,310.77,,,,,369.23,214.41,199.23000000000002,,,,431.61,,,,,,,,,,,496.18,302.78000000000003,357.27,164.76,,,389.76,,,,496.09,L7
2000-04-20 22:19:15.385,,,,,,,,475.36,417.8299999999999,,,497.67,,,,,481.55,,445.695,488.505,,393.23,411.35,301.35,,,,,,,,,,156.475,176.71,249.055,,358.01,436.69,463.09666666666664,486.0775,493.87999999999994,496.805,483.66,496.57,444.23,,374.03,486.315,,243.70499999999998,408.28999999999996,,344.465,255.07,415.91999999999996,448.045,331.1,369.0133333333333,250.26,432.03999999999996,,460.98,,,425.04,,325.38,180.84,455.23,,,,363.27,506.55,,439.31,500.03999999999996,364.91,,,369.46,,,,386.44,,,414.4,448.155,512.775,,444.58,,,198.825,,280.17,,,,367.01,,,309.78999999999996,,,,384.42,,,384.02,,,,,,,,,,405.01,,,,252.84000000000003,,,,218.89999999999998,,,,,,,184.40000000000003,221.065,459.62,,461.105,,,,272.525,379.84666666666664,290.9475,401.625,,246.94,,,313.05,,,,,,336.52,453.93,,311.375,304.2,,,,,330.12,,192.69,,,,423.28,,,,,,,,,,,496.18,269.748,369.3866666666666,164.76,,,389.76,,,,496.09,L7
2000-09-04 22:11:34.434,395.14,396.4,376.37,329.11,302.51,,439.41,473.91,,196.73,229.34,504.5,,,164.21,,458.44000000000005,,441.43,471.05,,399.25,400.59000000000003,,422.81,469.7,,,,197.35,,,287.57,322.9,319.96,338.46,,351.76,,368.65,,446.13,480.54,477.45,473.16,469.24,431.35,383.89,,171.98,199.12,406.15,182.91,,251.36,427.9,,332.6,358.36,232.475,432.46000000000004,406.07,460.745,428.45,,407.005,,,170.555,477.52,,,,363.67999999999995,,,,510.03,357.20000000000005,,,397.73,,,,,,,,445.41,518.25,,,,352.39,214.28,,,,323.02,,367.01,,,306.02,,241.76,,384.42,,,371.605,,,,,,,,,,,,,,233.02,,,,240.755,,,,,,,,,442.85,,452.165,,,215.46,,371.79,203.62,,,246.94,,,,,,,,,,453.93,,324.9,297.63,,,,,330.12,,,,,,,,,,,,,,,,,,213.81,,,,,,,,,,L7
2000-09-20 22:11:14.930,395.14,396.4,376.37,329.11,302.51,,439.41,473.91,,196.73,229.34,504.5,,,164.21,,458.44000000000005,469.83,450.25666666666666,465.3,414.97,407.90999999999997,403.59999999999997,,423.325,474.96500000000003,453.3,316.36,155.89,193.45999999999998,247.03,259.55,285.66499999999996,305.97,314.825,329.06,368.11,351.76,,377.085,469.5,461.46000000000004,486.13,482.78,484.81500000000005,480.21500000000003,442.665,395.53999999999996,403.92,187.97,206.05,406.15,199.12,,251.36,427.9,,332.6,358.36,232.475,432.46000000000004,406.07,460.745,428.45,,407.005,,,170.555,477.52,,,,363.67999999999995,,349.01,,510.03,357.20000000000005,242.33,225.55,397.73,258.36,219.06,193.72,,,,,445.41,518.25,,,,352.39,214.28,,,,323.02,,367.01,,,306.02,,241.76,,384.42,,,371.605,,,,,,,,,,,,,,233.02,,,,240.755,,,,,,,,,442.85,,452.165,,,215.46,,371.79,187.905,,,246.94,,,,,,,,,,453.93,,324.9,297.63,,,,,330.12,,,,,,,,,,,,,,,,,,213.81,,,,,,,,,,L7
