dates,satname,nzd0557-0000,nzd0557-0001,nzd0557-0002,nzd0557-0003,nzd0557-0004,nzd0557-0005,nzd0557-0006,nzd0557-0007,nzd0557-0008,nzd0557-0009,nzd0557-0010,nzd0557-0011,nzd0557-0012,nzd0557-0013,nzd0557-0014,nzd0557-0015,nzd0557-0016,nzd0557-0017,nzd0557-0018,nzd0557-0019,nzd0557-0020,nzd0557-0021,nzd0557-0022,nzd0557-0023,nzd0557-0024,nzd0557-0025,nzd0557-0026,nzd0557-0027,nzd0557-0028,nzd0557-0029,nzd0557-0030,nzd0557-0031,nzd0557-0032,nzd0557-0033,nzd0557-0034,nzd0557-0035,nzd0557-0036,nzd0557-0037,nzd0557-0038,nzd0557-0039,nzd0557-0040,nzd0557-0041,nzd0557-0042,nzd0557-0043,nzd0557-0044,nzd0557-0045,nzd0557-0046,nzd0557-0047,nzd0557-0048,nzd0557-0049
1999-11-05 22:13:40.966000,L7,318.93,297.71,288.40,282.11,279.16,276.81,427.74,404.88,481.11,468.11,250.97,254.47,255.07,250.64,248.17,255.39,263.06,261.02,247.68,235.11,222.71,210.03,212.86,216.15,195.71,225.93,234.89,242.96,239.38,219.60,210.36,200.43,193.14,187.96,165.72,161.89,,,,,,,,,,,,,,
1999-12-07 22:13:41.663000,L7,311.80,293.57,287.71,283.11,275.58,270.29,258.60,259.33,249.76,250.30,244.89,246.42,254.65,248.43,254.71,250.25,257.74,260.26,241.98,229.49,219.79,211.04,213.00,215.16,174.05,179.88,236.51,244.26,239.85,221.02,211.41,202.95,190.79,171.05,166.90,163.05,139.94,,,,,,,,,,,,,
2000-09-04 22:11:34.434000,L7,249.10,264.59,239.63,230.26,238.94,231.34,280.40,279.86,257.93,258.95,254.82,261.25,449.94,471.29,468.26,493.91,509.62,482.57,507.19,238.90,224.76,222.22,217.20,217.58,233.81,229.97,240.82,250.75,247.14,234.69,212.21,204.52,243.93,242.15,219.42,228.80,199.15,178.85,392.11,378.04,354.98,349.05,,,,,,,,
2000-09-20 22:11:14.930000,L7,323.08,320.07,322.55,331.12,312.15,321.17,396.73,409.39,406.33,261.59,267.30,287.03,269.43,264.44,268.69,261.74,266.21,268.07,283.26,265.71,228.36,219.21,219.70,222.24,224.17,228.54,239.03,248.62,239.84,222.22,208.80,200.78,224.28,217.34,213.48,216.85,201.46,170.50,,147.92,153.40,161.39,178.09,186.02,194.03,,,,,
2001-02-11 22:11:12.788000,L7,312.82,298.32,285.50,295.69,285.78,274.93,185.71,190.43,192.91,259.45,248.76,252.50,257.63,250.49,246.11,250.36,254.12,259.30,245.69,232.00,223.96,215.76,214.97,234.03,209.16,487.41,515.65,499.56,509.18,471.91,212.53,210.36,200.36,214.04,214.28,163.04,148.20,171.96,380.23,383.21,360.81,350.71,176.02,186.92,,149.30,172.52,178.25,161.57,223.04
2001-02-27 22:11:06.137000,L7,478.37,475.32,466.78,430.16,424.89,502.70,499.24,477.64,471.63,484.78,388.43,419.60,275.17,262.70,260.15,258.46,273.76,271.32,254.88,246.86,232.76,228.06,224.25,231.69,255.25,239.97,257.05,254.71,253.20,240.02,224.69,223.49,204.93,209.20,224.81,189.37,161.00,157.83,387.89,379.94,379.88,375.26,155.59,155.97,326.22,337.04,344.91,343.12,306.48,292.55
2001-04-16 22:10:54.636000,L7,225.22,202.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-11-26 22:09:21.320000,L7,410.14,393.13,361.61,334.35,311.21,321.77,343.29,333.66,310.88,302.88,314.29,321.43,300.48,289.78,294.67,265.04,326.18,328.60,305.76,287.10,285.97,285.78,286.73,264.97,254.60,239.82,285.17,257.51,290.89,282.13,273.80,254.83,243.82,228.62,226.83,228.36,188.08,158.42,181.53,203.21,209.26,213.50,214.59,211.01,194.17,226.60,244.59,247.78,225.39,223.07
2003-03-21 22:09:27.545000,L7,457.39,450.75,407.08,370.81,369.79,324.38,326.83,452.07,440.28,411.81,348.93,381.88,254.13,255.39,264.65,254.61,265.69,266.08,263.99,248.83,228.90,228.35,226.00,383.69,388.65,487.30,494.18,492.74,487.00,478.22,446.49,454.62,230.11,426.81,325.46,321.64,361.01,338.93,311.23,310.46,310.00,312.39,318.78,292.39,294.73,305.23,319.48,323.87,292.26,275.04
2003-10-07 21:58:35.519000,L5,342.99,323.52,318.19,308.76,297.98,288.99,280.27,273.54,270.54,273.44,270.85,267.77,267.35,267.82,266.72,270.46,279.26,278.08,267.05,254.83,244.33,241.93,236.10,243.13,249.91,250.24,261.75,270.81,255.50,242.69,228.06,219.53,213.58,203.40,204.44,211.45,193.39,172.06,,,151.97,152.38,163.74,170.79,181.60,190.84,206.77,221.02,205.16,226.18
