dates,nzd0559-0000,nzd0559-0001,nzd0559-0002,nzd0559-0017,nzd0559-0018,nzd0559-0019,nzd0559-0020,nzd0559-0021,nzd0559-0022,nzd0559-0023,nzd0559-0024,nzd0559-0025,nzd0559-0026,nzd0559-0029,nzd0559-0030,nzd0559-0031,nzd0559-0032,nzd0559-0033,nzd0559-0034,nzd0559-0035,nzd0559-0036,nzd0559-0037,nzd0559-0038,nzd0559-0039,nzd0559-0040,nzd0559-0041,nzd0559-0042,nzd0559-0043,nzd0559-0044,nzd0559-0045,nzd0559-0046,nzd0559-0047,nzd0559-0048,nzd0559-0049,nzd0559-0050,nzd0559-0051,nzd0559-0052,nzd0559-0053,nzd0559-0054,nzd0559-0055,nzd0559-0056,nzd0559-0057,nzd0559-0058,nzd0559-0059,nzd0559-0060,nzd0559-0061,nzd0559-0073,nzd0559-0074,nzd0559-0075,nzd0559-0076,nzd0559-0077,nzd0559-0079,nzd0559-0080,nzd0559-0081,nzd0559-0082,nzd0559-0083,nzd0559-0084,nzd0559-0085,nzd0559-0086,nzd0559-0087,nzd0559-0088,nzd0559-0089,nzd0559-0090,nzd0559-0091,nzd0559-0092,nzd0559-0093,nzd0559-0094,nzd0559-0095,nzd0559-0096,nzd0559-0097,nzd0559-0098,nzd0559-0099,nzd0559-0100,nzd0559-0101,nzd0559-0102,nzd0559-0103,nzd0559-0104,nzd0559-0105,nzd0559-0106,nzd0559-0003,nzd0559-0004,nzd0559-0005,nzd0559-0006,nzd0559-0007,nzd0559-0008,nzd0559-0009,nzd0559-0010,nzd0559-0011,nzd0559-0012,nzd0559-0013,nzd0559-0014,nzd0559-0015,nzd0559-0016,nzd0559-0027,nzd0559-0028,nzd0559-0062,nzd0559-0063,nzd0559-0064,nzd0559-0065,nzd0559-0066,nzd0559-0067,nzd0559-0068,nzd0559-0069,nzd0559-0070,nzd0559-0071,nzd0559-0072,nzd0559-0078
1999-11-05 22:13:40+00:00,,,,315.01,326.92,335.43,347.88,347.16,342.11,322.84,304.17,307.69,298.77,271.74,,260.05,297.95,301.29,293.0,304.25,326.66,,,,322.25,,,,,,268.2,258.53,240.78,,,245.88,219.94,,249.72,,,,,,303.43,,,,,,219.64,,,,,,,,,,,,,,,,,,,,,,,,,260.36,,,,223.74,234.18,223.9,269.63,265.26,,259.27,268.38,275.53,293.8,301.69,305.48,310.7,303.91,285.66,268.73,,,,,,,272.24,,,,,
2000-09-04 22:11:34+00:00,195.8,218.75,214.01,315.2,327.16,333.99,342.41,337.98,346.11,325.78,301.1,303.53,302.89,279.66,,,318.93,301.83,322.56,302.16,,335.03,,,315.61,,,,,,,,,,,,,,,,,,,332.9,295.0,234.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.43,220.79,229.76,267.22,254.52,278.65,252.39,278.85,274.23,296.55,299.63,,315.7,300.43,294.94,276.95,168.33,,,,,,,,,,,
2000-09-20 22:11:14+00:00,195.8,218.75,214.01,315.2,327.16,333.99,342.41,337.98,346.11,325.78,295.995,306.66999999999996,307.1,282.165,,,318.93,304.775,316.005,302.26,,335.53499999999997,,,315.61,,,,,,,,,,,,200.92,,257.5,,,,,332.755,295.81,231.39,,,,,,,,,,,,,,,,,,,,,,,,301.01,286.11,326.49,,,,,,,,218.02,223.225,233.07999999999998,267.22,254.52,278.65,252.39,278.85,274.23,296.55,299.63,,315.7,300.43,301.565,290.075,169.14,,241.57,,,258.57,,,,,,
2001-02-11 22:11:12+00:00,195.8,218.75,214.01,315.2,327.16,333.99,342.41,337.98,333.38,318.325,291.40333333333336,299.9866666666667,298.94666666666666,274.51,241.94,254.76,301.875,302.62666666666667,300.79333333333335,296.71333333333337,302.16,335.53499999999997,,304.3,310.32,254.46,162.58,160.27,151.77,154.13,166.87,173.59,207.5,,,,200.92,,257.5,,,,,332.755,291.6466666666667,223.48666666666668,,,,163.95,,,,,,,,,,,,,,,,,,,,301.01,286.11,326.49,,,,,,,,219.95666666666668,223.21666666666667,228.04999999999998,267.22,246.41500000000002,276.78499999999997,253.20999999999998,273.44,274.33500000000004,293.03999999999996,300.565,306.74,315.7,300.43,289.52,290.075,163.66333333333333,,241.57,,,258.57,,,,,277.5,
2003-10-07 21:58:35+00:00,,,,,,,,,,,,,317.9,315.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.2,,,,,,317.41,,343.63,,354.36,347.53,,,300.16,301.64,,,225.04,228.31,235.96,237.31,238.98,243.87,279.46,,,
2003-12-26 21:59:54+00:00,,,,,,,,,,,,,317.9,315.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.515,,,,,,317.06500000000005,331.42,343.39,,354.36,347.53,,,300.16,301.64,,,225.04,225.19,235.96,237.31,238.98,243.87,279.46,,,
2004-01-27 21:59:38+00:00,,,,,,,,,,,,,317.9,315.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.515,,,,,,317.06500000000005,331.42,347.9666666666667,,354.36,347.53,,,300.16,301.64,,235.55,224.29500000000002,225.10333333333332,239.2,239.35500000000002,242.20999999999998,247.635,280.385,,,
2004-05-02 22:01:21+00:00,,,,,,,,,,,,325.81,311.94,304.36,,,329.32,324.4,301.47,,,,,,,,,,,,,,,,,,,,,,,,,342.37,297.17,233.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.56,225.13,223.23,,256.52,285.56,311.87,328.88,341.21,,338.0,339.49,342.93,,303.18,295.47,183.76,235.55,223.55,223.49999999999997,242.44,241.4,245.44,250.70499999999998,281.31,,,
2004-05-18 22:01:26+00:00,,,,,,,,,,,,325.81,311.94,304.36,,,329.32,324.4,301.47,,,,,,,,,,,,,,,,,,,,,,,,,342.37,297.17,232.07999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.56,225.13,223.23,,256.52,285.56,311.87,328.88,341.21,,338.0,339.49,342.93,,303.18,295.47,220.255,235.965,223.53,222.16333333333333,225.39,235.07999999999998,245.44,250.70499999999998,281.31,,,
2004-07-05 22:03:15+00:00,,,,,,,,,,,,325.81,311.94,304.36,,,329.32,324.4,301.47,,,,,,,,,,,,,,,,,,,,,,,,,342.37,297.17,241.21666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.29,225.13,223.23,,256.52,285.56,307.02,326.34,340.24,,338.0,339.49,342.93,,303.18,295.47,235.56333333333336,236.1833333333333,225.81000000000003,224.15,221.82666666666668,235.07999999999998,245.44,250.70499999999998,281.31,,,
2004-07-21 22:03:39+00:00,,,,,,,,,,,,325.81,311.94,304.36,,,329.32,324.4,301.47,,,277.61,,,,,,,,,,,,,,,,,290.58,,,,,342.37,297.17,244.70999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.29,225.13,223.23,,256.52,285.56,307.02,326.34,340.24,291.98,338.0,322.015,326.095,,303.18,295.47,242.69,237.395,226.9675,225.4025,228.265,238.88,244.55,251.58666666666667,282.935,,,
2005-01-13 22:06:52+00:00,,,,,,,,,,,,,,,,,,,,,,277.61,,,,,,,,,,,,,,,,,290.58,,,,,,,255.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.75,,344.79,291.98,,304.54,309.26,,306.32,305.06,264.07,236.235,217.64,215.95999999999998,236.72500000000002,234.70499999999998,232.0,253.35,284.56,,,
2005-02-14 22:07:21+00:00,,,,362.12,,,,,370.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.71,,306.14,323.54,332.135,,337.97,,350.27,,309.375,305.06,,231.44,204.84,202.76,225.87,222.93,220.34,,,,,
2005-08-25 22:08:52+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.68,272.79,,,269.32,263.84,,250.78,,,,,,,,,,282.71,,,,,,,,,,,,,,,,,,,,,265.07,247.31,312.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-11-13 22:09:32+00:00,,,,351.7,359.71,,377.89,,373.87,,,,322.77,,,,,,,,,,,,,,,,,,,276.68,272.79,,,269.32,263.84,,250.78,,,,,,,,,,282.71,,,,,,,,,,,,,,,,,,,,,265.07,247.31,312.25,,,,,,,,249.97,,,,293.38,316.05,292.11,317.22,315.19,,334.29,,344.15,,304.93,,,,,,,,,,,,,
2006-07-27 22:13:58+00:00,,,,,,,,,362.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.55,328.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.29,211.97,219.6,225.97,253.8,,,324.19,333.36,,,,,,,,,,,,,,,,,,,
2008-10-27 22:10:37+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.63,,,,,,,,,,,,,,,,,280.66,,,,,,,,,,,
2013-09-23 22:28:51+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.27,206.53,245.46,,,,,,,,,
2013-10-02 22:22:40+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.76,,,,,,,,,,,,,,,249.27,206.53,245.46,,,,,,270.7,,,
2013-11-26 22:28:34+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.75,,,,,,,,,,,273.12,,221.41,,166.59,,,,236.98,194.32,,,,,,,,,,,,,,,240.76,,,,,,,,,,,,,,,249.27,206.53,245.46,,,,,,270.7,,,
2013-12-28 22:28:23+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.75,,,,,,,,,,,273.12,,221.41,,166.59,,,,236.98,194.32,,,,,,,,,,,,,321.43,,240.76,,,,,,,,,,,,,,,249.27,206.53,245.46,,,,,,270.7,,,
2014-05-05 22:26:35+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.24,,319.28499999999997,,,,,,,,,,,273.12,,221.41,,166.59,,,,236.98,194.32,,299.12,,,284.85,298.89,,,,276.04,,,312.33500000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-07-17 22:20:39+00:00,,,,321.97,,337.11,327.91,318.27,319.69,294.5,259.57,252.04,,275.87,260.26,260.03,289.52,296.87,,,,,,,,,,,,,,,,,,,,,236.98,,,,288.69,301.375,,330.82,,,,,,,,,,,,,,,,,,,,,,299.12,,,284.85,298.89,,,,276.04,,,303.24,232.09,199.46,214.62,216.65,239.73,284.53,263.13,289.87,261.75,296.29,303.94,313.28,321.02,288.48,255.05,263.97,,267.79,,,,256.45,251.6,256.74,,,,
2014-08-02 22:21:10+00:00,,,,321.97,,337.11,327.91,318.27,319.69,294.5,259.57,252.04,,280.17,260.26,263.05499999999995,291.7,297.90999999999997,,,,,,,,,,,,,,,,,,,,,236.98,,,,288.69,301.375,319.1,292.515,,,,,,,,,,,,,,,,,,,,,,299.12,,,284.85,298.89,,,,276.04,,,303.24,232.09,202.55,216.05,215.94,239.6,280.44,264.41499999999996,289.87,261.75,296.29,303.94,313.28,321.02,288.48,261.78,254.375,257.13,255.72000000000003,228.16,224.45,232.65,247.89499999999998,240.32999999999998,248.92000000000002,269.16,,,
