dates,nzd0564-0000,nzd0564-0001,nzd0564-0002,nzd0564-0003,nzd0564-0004,nzd0564-0005,nzd0564-0006,nzd0564-0007,nzd0564-0008,nzd0564-0009,nzd0564-0010,nzd0564-0011,nzd0564-0012,nzd0564-0013,nzd0564-0014,nzd0564-0015,nzd0564-0016,nzd0564-0017,nzd0564-0018,nzd0564-0019,nzd0564-0020,nzd0564-0021,nzd0564-0022,nzd0564-0023,nzd0564-0024,nzd0564-0025,nzd0564-0026,nzd0564-0027,nzd0564-0028,nzd0564-0029,nzd0564-0030,nzd0564-0031,nzd0564-0032,nzd0564-0033,nzd0564-0034,nzd0564-0035,nzd0564-0036,nzd0564-0037,nzd0564-0038,nzd0564-0039,nzd0564-0040,nzd0564-0041,nzd0564-0042,nzd0564-0043,nzd0564-0044,nzd0564-0045,nzd0564-0046,nzd0564-0047,nzd0564-0048,nzd0564-0049,nzd0564-0050,satname
1999-08-26 22:05:56+00:00,,,,,,,,,,,236.09,243.89,216.99,,225.15,,,,,,227.59,209.8,211.82,,,,200.04,192.62,192.33,,203.66,203.65,199.49,,,,,,,202.96,,208.12,197.44,,,200.63,,,187.08,176.95,177.62,L7
1999-09-20 22:00:08+00:00,,,,86.19,96.38,,,,,,224.18,227.65499999999997,209.01,,214.97,192.76,203.27,176.78,201.05,203.39,214.42000000000002,199.515,201.935,165.18,170.04,,182.56,176.96,177.79500000000002,,184.865,186.59,190.36,,,166.93,,,,185.41500000000002,,188.73000000000002,180.765,163.94,169.81,181.365,,,170.455,162.985,166.055,L7
1999-09-27 22:06:24+00:00,,,,86.19,96.38,,,,,230.94,227.27666666666667,231.62,215.88333333333333,,222.18666666666664,192.76,216.745,176.78,201.05,203.39,214.42000000000002,199.515,201.935,165.18,170.04,,186.54666666666665,181.81333333333336,182.92333333333332,,184.865,186.59,190.36,,,181.995,,,,194.86,,188.73000000000002,180.765,182.915,187.015,187.62333333333333,,186.19,170.455,171.10666666666665,166.055,L7
1999-10-22 22:00:04+00:00,,,,90.19,96.685,,,,,211.315,221.98000000000002,224.385,215.88333333333333,,214.4775,196.12,216.745,178.35,194.81,197.385,200.50333333333333,192.97,192.5566666666667,169.655,169.81,,186.54666666666665,175.1775,175.725,,176.56333333333336,178.0566666666667,180.23666666666668,,,174.17333333333332,166.65,164.52,,190.6475,,188.73000000000002,180.765,182.915,187.015,183.2925,,167.29500000000002,164.48000000000002,166.0675,159.82666666666668,L7
1999-12-09 22:00:09+00:00,216.8,215.92,218.09,131.01333333333332,134.59666666666666,206.67,210.88,218.02,220.88,220.70000000000002,224.606,225.25,215.88333333333333,219.1,215.446,196.12,216.745,178.35,203.34,206.83333333333334,203.9175,192.97,202.2175,189.41,185.16666666666666,,193.585,178.3,179.624,198.8,182.8975,183.34,183.96,201.48,195.89,181.0125,185.515,184.115,213.2,197.448,213.53,193.10666666666668,185.96333333333334,192.22333333333333,192.39666666666668,185.8,200.92,174.12666666666667,173.29000000000002,169.536,166.35250000000002,L7
1999-12-25 22:00:04+00:00,220.735,221.27999999999997,223.57,151.595,153.845,215.32999999999998,215.60500000000002,221.61,223.92000000000002,225.43,227.78333333333333,227.0533333333333,216.835,219.155,216.66333333333333,196.12,216.745,178.35,203.34,206.83333333333334,205.99,197.57,203.156,196.8225,185.16666666666666,,193.585,183.365,179.624,203.29000000000002,187.30599999999998,188.63400000000001,188.60999999999999,201.99,204.63,186.316,193.99,192.21666666666667,214.435,199.795,211.55,193.10666666666668,191.22750000000002,198.07,197.09,188.455,207.14499999999998,178.24,177.85399999999998,174.08666666666667,170.56400000000002,L7
2000-01-26 22:00:02+00:00,221.97,221.27999999999997,223.57,165.772,167.45999999999998,215.32999999999998,217.13666666666666,224.67,223.92000000000002,229.27399999999997,227.78333333333333,227.0533333333333,216.835,219.155,216.66333333333333,196.12,216.745,178.35,203.34,206.83333333333334,205.99,197.57,203.156,196.8225,185.16666666666666,213.1,196.898,183.365,184.55166666666665,203.29000000000002,192.045,188.63400000000001,191.81000000000003,205.80666666666664,207.09666666666666,190.6966666666667,199.0625,199.71,217.86666666666665,199.795,211.55,193.10666666666668,191.22750000000002,198.07,197.09,188.455,207.14499999999998,178.24,177.85399999999998,174.08666666666667,170.56400000000002,L7
2000-02-27 21:59:52+00:00,227.2475,228.76666666666665,229.42999999999998,165.772,177.8033333333333,221.6933333333333,221.1875,228.165,231.47333333333336,233.13666666666666,226.122,223.68599999999998,223.9375,225.13666666666666,214.96599999999998,196.12,216.745,178.35,203.34,206.83333333333334,200.59,193.49333333333334,200.99,196.8225,194.6625,218.685,200.254,188.67499999999998,188.22833333333332,208.45666666666668,195.57666666666668,194.18,195.08333333333334,209.5375,210.9375,196.74142857142857,199.0625,205.66799999999998,221.02499999999998,199.16199999999998,218.99666666666667,198.83666666666667,196.5725,202.66,205.292,192.15333333333334,207.14499999999998,178.24,175.54749999999999,173.51399999999998,168.8,L7
2000-03-21 22:06:01+00:00,226.95999999999998,224.855,226.72,193.442,197.64333333333332,221.6725,219.984,226.66799999999998,230.5275,233.71285714285713,230.202,228.57800000000003,231.04500000000002,222.51749999999998,217.51,199.48,231.19,179.92,204.48499999999999,217.09333333333333,203.63,204.79333333333332,211.5475,213.73999999999998,208.21,217.66666666666666,209.04749999999999,194.15,196.70333333333335,205.9325,201.34833333333333,202.51600000000002,199.51166666666666,208.92399999999998,209.93400000000003,205.52285714285713,203.25799999999998,206.13333333333333,218.538,208.474,216.5625,218.49666666666667,209.0175,212.33999999999997,216.82,202.23833333333334,205.97,180.638,184.125,181.426,178.3875,L7
2000-03-30 21:59:45+00:00,227.0666666666667,225.73000000000002,226.63400000000001,198.73833333333334,200.80714285714285,220.12199999999999,219.68166666666664,227.09833333333333,230.06199999999998,236.0942857142857,229.385,225.835,231.51666666666668,222.51749999999998,211.14000000000001,199.48,232.16,179.92,204.48499999999999,217.09333333333333,203.63,204.79333333333332,215.708,216.59399999999997,212.552,221.255,215.6925,198.236,198.59333333333333,208.18400000000003,201.34833333333333,202.51600000000002,204.21571428571428,212.725,212.705,207.8385714285714,206.48833333333334,208.42857142857142,220.03166666666667,210.9,216.988,218.49666666666667,211.52400000000003,215.955,218.656,205.14,206.73,184.73999999999998,189.982,188.69,187.1,L7
