dates,satname,nzd0574-0000,nzd0574-0001,nzd0574-0002,nzd0574-0003,nzd0574-0004,nzd0574-0005,nzd0574-0006,nzd0574-0007,nzd0574-0008,nzd0574-0009,nzd0574-0010,nzd0574-0011,nzd0574-0012,nzd0574-0013,nzd0574-0014,nzd0574-0015,nzd0574-0016
1999-07-25 22:05:51.165000,L7,224.20,230.86,244.74,230.75,154.92,136.26,151.06,138.94,138.22,222.62,167.47,138.65,222.07,229.52,154.19,138.34,
1999-08-26 22:05:56.841000,L7,211.47,211.93,221.25,14.67,173.69,142.09,143.37,149.18,131.19,224.12,215.30,217.73,216.02,230.83,202.59,223.45,217.51
1999-09-27 22:06:00.877000,L7,264.82,277.28,295.53,295.08,298.21,297.13,285.46,275.65,286.44,304.39,298.56,281.60,305.52,286.05,285.76,281.57,277.86
1999-11-30 22:05:47.159000,L7,207.23,73.20,115.47,122.29,,,,,207.23,197.79,169.35,137.48,166.73,69.81,,,
1999-12-16 22:05:57.846000,L7,171.60,161.82,161.61,117.72,,,,,203.31,199.48,145.87,150.16,159.83,68.26,164.81,222.45,
2000-03-05 22:05:36.285000,L7,256.14,269.88,268.30,262.02,260.05,273.64,256.31,258.44,263.38,259.46,250.99,260.06,262.25,265.22,276.08,318.89,310.91
2000-03-21 22:05:37.143000,L7,209.01,205.35,175.30,207.03,201.37,197.24,211.13,214.43,215.14,207.71,203.64,186.64,204.57,6.75,113.37,97.60,142.09
2000-05-08 22:05:09.063000,L7,,,,117.86,217.07,132.23,210.32,213.06,216.02,205.12,51.71,180.87,68.78,205.70,199.82,224.22,217.74
2000-05-24 22:04:58.537000,L7,210.56,216.88,142.35,204.98,,214.10,213.30,219.49,144.61,215.50,42.88,69.71,65.92,206.51,208.13,229.13,225.59
2000-08-12 22:04:05.961000,L7,224.32,228.00,231.71,235.14,151.41,120.04,135.84,140.35,125.08,220.03,242.03,216.59,248.97,248.41,59.79,105.91,170.75
2000-09-13 22:03:38.044000,L7,211.95,221.58,229.84,231.56,233.37,236.37,231.94,231.58,235.62,230.70,227.57,226.64,238.00,234.27,58.82,97.26,127.90
2000-10-15 22:03:08.086000,L7,196.55,193.57,184.08,224.62,47.39,89.10,123.74,122.55,96.70,231.22,227.78,226.88,228.68,229.50,217.49,229.74,224.88
2000-10-31 22:03:22.696000,L7,237.37,248.29,262.01,259.97,259.82,264.78,260.95,260.90,260.93,261.64,259.63,264.41,267.02,262.14,252.46,245.75,244.63
2001-01-03 22:03:24.303000,L7,156.19,67.86,153.00,,,,,,106.64,184.03,122.57,66.09,69.91,58.65,,,
2001-01-19 22:03:31.103000,L7,236.13,252.03,268.28,269.82,268.87,268.97,265.09,263.92,272.36,263.90,268.15,268.03,267.49,267.96,262.47,257.83,263.81
2001-02-20 22:03:24.667000,L7,208.30,193.72,177.49,209.72,5.37,52.39,100.24,109.76,82.71,211.51,208.79,211.08,203.07,5.52,122.43,177.97,195.01
2001-05-27 22:02:48.377000,L7,123.46,80.78,130.53,115.48,,,,,,208.95,87.99,175.56,146.89,46.47,,,
2001-06-28 22:02:21.050000,L7,213.46,219.73,218.77,13.96,201.40,221.34,220.64,,203.14,212.90,193.99,184.54,168.52,18.85,203.44,222.81,220.83
2001-07-14 22:02:21.695000,L7,212.02,208.07,123.84,,,,,,189.91,202.35,195.50,175.94,202.61,,,,
