dates,satname,nzd0578-0000
1999-08-26 22:06:20.800000,L7,194.77
1999-09-20 22:00:08.403000,L7,233.14
1999-09-27 22:06:00.877000,L7,214.12
1999-11-30 22:05:47.159000,L7,67.54
1999-12-09 22:00:09.551000,L7,189.64
1999-12-25 22:00:04.067000,L7,222.69
2000-01-17 22:06:11.705000,L7,228.44
2000-01-26 22:00:02.226000,L7,114.03
2000-02-11 21:59:57.866000,L7,234.74
2000-02-18 22:06:05.064000,L7,209.19
2000-02-27 21:59:52.393000,L7,210.98
2000-03-05 22:05:36.285000,L7,78.20
2000-03-21 22:05:37.143000,L7,200.93
2000-03-30 21:59:45.397000,L7,231.46
2000-05-01 21:59:30.586000,L7,121.10
2000-05-08 22:05:09.063000,L7,225.93
2000-05-17 21:59:19.400000,L7,105.17
2000-05-24 22:05:22.488000,L7,114.14
2000-06-18 21:59:03.789000,L7,225.81
2000-07-04 21:58:50.402000,L7,228.75
2000-09-13 22:03:38.044000,L7,204.60
2000-11-09 21:57:33.274000,L7,192.02
2000-12-11 21:57:36.803000,L7,133.41
2001-01-03 22:03:48.276000,L7,226.26
2001-05-27 22:02:48.377000,L7,124.17
2001-06-05 21:56:52.440000,L7,228.32
2001-06-28 22:02:45.013000,L7,214.93
2001-08-08 21:56:12.984000,L7,116.84
2001-08-15 22:02:14.505000,L7,230.54
2001-09-25 21:55:40.572000,L7,237.34
2001-10-02 22:01:40.483000,L7,198.01
2001-11-03 22:01:22.838000,L7,188.44
2001-12-21 22:02:05.831000,L7,206.27
2001-12-30 21:55:49.115000,L7,186.28
2002-01-15 21:55:59.365000,L7,218.89
2002-01-22 22:02:16.754000,L7,206.58
2002-03-04 21:56:09.860000,L7,206.78
2002-03-11 22:02:19.622000,L7,215.52
2002-03-27 22:01:49.448000,L7,189.04
2002-05-07 21:56:03.729000,L7,232.02
2002-05-30 22:02:01.786000,L7,88.02
2002-07-17 22:01:44.458000,L7,135.13
2002-08-18 22:01:09.559000,L7,199.68
2002-08-27 21:55:12.096000,L7,118.73
2002-09-12 21:55:07.575000,L7,207.77
2002-10-05 22:00:43.353000,L7,181.60
2002-10-14 21:54:55.882000,L7,230.25
2002-10-21 22:00:48.324000,L7,207.76
2002-10-30 21:55:01.471000,L7,102.16
2002-11-06 22:00:53.524000,L7,203.93
2003-01-25 22:01:54.646000,L7,54.92
2003-03-07 21:55:58.558000,L7,226.32
2003-03-14 22:01:44.544000,L7,203.22
2003-03-14 22:02:08.508000,L7,235.46
2003-03-23 21:55:52.571000,L7,214.03
2003-04-08 21:55:59.443000,L7,80.38
2003-04-15 22:02:09.929000,L7,107.47
2003-08-13 21:49:56.757000,L5,129.34
2003-08-29 21:50:14.179000,L5,135.26
2003-10-16 21:51:19.969000,L5,126.36
2004-01-04 21:51:46.048000,L5,120.11
2004-01-04 21:52:10.021000,L5,135.75
2004-04-09 21:52:31.725000,L5,117.01
2004-04-09 21:52:55.698000,L5,128.48
2004-04-18 21:47:01.335000,L5,128.38
2004-08-15 21:56:25.603000,L5,132.89
2004-08-24 21:50:29.935000,L5,126.03
2004-09-16 21:56:53.497000,L5,129.28
2004-09-25 21:51:19.231000,L5,146.31
2004-10-02 21:57:14.880000,L5,140.02
2004-11-19 21:58:07.046000,L5,109.64
2005-01-15 21:53:21.356000,L5,133.95
2005-02-23 22:00:07.370000,L5,119.51
2005-03-04 21:54:04.136000,L5,112.03
2005-03-11 22:00:19.764000,L5,118.85
2005-03-27 22:00:27.368000,L5,129.40
2005-04-05 21:54:19.058000,L5,118.26
2005-04-21 21:54:22.812000,L5,147.61
2005-04-28 22:00:11.734000,L5,132.93
2005-05-30 22:00:27.276000,L5,124.68
2005-06-08 21:54:44.925000,L5,168.79
2005-06-15 22:00:34.314000,L5,151.61
2005-08-27 21:55:20.007000,L5,125.27
2005-09-12 21:55:22.413000,L5,120.65
2005-09-28 21:55:20.450000,L5,130.11
2005-10-05 22:01:29.249000,L5,137.16
2005-10-30 21:55:15.307000,L5,118.80
2006-01-25 22:03:29.142000,L5,140.98
2006-02-19 21:57:51.685000,L5,120.67
2006-02-26 22:03:47.179000,L5,130.43
2006-05-17 22:05:09.745000,L5,135.95
2006-06-27 22:00:00.431000,L5,169.82
2006-08-21 22:06:31.405000,L5,143.12
2006-09-15 22:01:03.273000,L5,107.31
2006-09-22 22:06:54.827000,L5,123.71
2006-10-08 22:07:29.137000,L5,109.23
2006-11-02 22:01:32.743000,L5,153.30
2006-12-11 22:08:04.096000,L5,149.97
2007-01-05 22:02:04.371000,L5,124.29
2007-01-21 22:02:09.591000,L5,129.11
2007-02-13 22:08:23.117000,L5,125.92
2007-09-09 22:06:09.271000,L5,140.71
2008-03-03 22:03:15.875000,L5,142.03
2008-10-29 21:56:36.227000,L5,139.19
2008-12-09 21:51:18.382000,L5,143.70
2009-02-02 21:58:34.187000,L5,131.98
2009-02-02 21:58:58.159000,L5,138.15
2009-02-18 21:58:58.554000,L5,128.53
2010-01-29 21:58:05.346000,L5,132.93
2010-02-05 22:03:53.684000,L5,115.97
2010-02-21 22:03:56.549000,L5,133.22
2010-02-21 22:04:20.664000,L5,142.87
2010-10-03 22:03:04.727000,L5,56.43
2010-10-12 21:57:13.086000,L5,138.15
2011-01-07 22:02:56.182000,L5,128.77
2011-02-17 21:57:12.898000,L5,130.45
2011-03-12 22:02:55.330000,L5,116.73
2011-03-28 22:02:50.009000,L5,123.36
2011-09-13 21:55:45.838000,L5,146.01
2013-04-11 22:09:26.995000,L8,116.59
2013-05-29 22:09:17.297000,L8,205.51
2013-06-05 22:15:03.120000,L8,184.59
2013-07-07 22:15:00.081000,L8,101.10
2013-07-07 22:15:24.044000,L8,94.74
2013-07-23 22:14:58.777000,L8,107.86
2013-07-23 22:15:22.744000,L8,75.37
2013-09-02 22:09:16.475000,L8,115.90
2013-09-25 22:14:53.099000,L8,108.25
2013-09-25 22:15:17.057000,L8,103.34
2013-10-27 22:14:43.714000,L8,97.05
2013-11-12 22:15:08.029000,L8,110.47
2013-11-28 22:14:37.848000,L8,102.59
2013-12-14 22:14:33.459000,L8,107.32
2013-12-14 22:14:57.422000,L8,106.20
2013-12-30 22:14:25.215000,L8,115.05
2014-01-24 22:08:21.364000,L8,176.47
2014-01-31 22:14:04.661000,L8,125.03
2014-02-09 22:08:09.113000,L8,115.96
2014-02-16 22:13:50.683000,L8,173.02
2014-02-16 22:14:14.638000,L8,110.59
2014-03-13 22:07:45.256000,L8,120.52
2014-03-20 22:13:25.653000,L8,103.20
2014-03-20 22:13:49.616000,L8,106.12
2014-04-05 22:13:10.561000,L8,112.90
2014-04-05 22:13:34.516000,L8,174.24
2014-04-30 22:06:58.400000,L8,111.63
2014-05-07 22:12:37.911000,L8,111.74
2014-05-16 22:06:45.666000,L8,190.31
2014-06-01 22:06:50.694000,L8,189.80
2014-07-03 22:07:01.995000,L8,189.48
2014-08-04 22:07:14.381000,L8,183.97
2014-08-11 22:13:03.844000,L8,107.89
2014-08-27 22:13:05.288000,L8,109.94
2014-08-27 22:13:29.246000,L8,111.00
2014-09-05 22:07:21.754000,L8,111.04
2014-09-28 22:13:08.778000,L8,97.81
2014-09-28 22:13:32.732000,L8,113.09
2014-10-07 22:07:25.795000,L8,178.52
2014-10-14 22:13:14.573000,L8,103.63
2014-10-14 22:13:38.532000,L8,103.43
2014-11-08 22:07:28.004000,L8,115.95
